OBJECTID,GIS_ID,StreetName,StreetClassification,VolumeCount,TruckRoute,LastEditDate,ShapeSTLength
1103,13608,1106,Adelaide St N,Civic Boulevard,26000,24 hrs,2023/10/04 18:08:46+00,221.79750603401
1102,13607,1105,Adelaide St N,Civic Boulevard,26000,24 hrs,2023/10/04 18:08:46+00,20.3526626641332
1750,14255,1753,Adelaide St N,Civic Boulevard,6500,24 hrs,2023/10/04 18:08:46+00,712.579552962336
1130,13635,1133,Adelaide St N,Civic Boulevard,27000,24 hrs,2023/10/04 18:08:46+00,518.061881788122
1104,13609,1107,Adelaide St N,Civic Boulevard,26000,24 hrs,2023/10/04 18:08:46+00,43.2535746800192
1105,13610,1108,Adelaide St N,Civic Boulevard,26000,24 hrs,2023/10/04 18:08:46+00,344.653165663288
1370,13875,1373,Adelaide St N,Civic Boulevard,30000,24 hrs,2023/10/04 18:08:46+00,669.591305669343
1113,13618,1116,Adelaide St N,Civic Boulevard,26000,7am to 6pm,2023/10/04 18:08:46+00,293.386500984912
1114,13619,1117,Adelaide St N,Civic Boulevard,26000,7am to 6pm,2023/10/04 18:08:46+00,79.7568736153192
1115,13620,1118,Adelaide St N,Civic Boulevard,26000,7am to 6pm,2023/10/04 18:08:46+00,426.102288859119
1116,13621,1119,Adelaide St N,Civic Boulevard,26000,7am to 6pm,2023/10/04 18:08:46+00,35.8067352384372
1117,13622,1120,Adelaide St N,Civic Boulevard,26000,7am to 6pm,2023/10/04 18:08:46+00,104.893775286048
1123,13628,1126,Adelaide St N,Neighbourhood Street,26000,,2023/10/04 18:08:46+00,142.227192896042
1127,13632,1130,Adelaide St N,Civic Boulevard,27000,24 hrs,2023/10/04 18:08:46+00,81.7272574029008
1128,13633,1131,Adelaide St N,Civic Boulevard,27000,24 hrs,2023/10/04 18:08:46+00,231.348688852223
1129,13634,1132,Adelaide St N,Civic Boulevard,27000,24 hrs,2023/10/04 18:08:46+00,164.112270486652
630,13135,633,Adelaide St N,Civic Boulevard,15000,24 hrs,2023/10/04 18:08:46+00,697.711319334128
534,13039,537,Adelaide St N,Civic Boulevard,13000,24 hrs,2023/10/04 18:08:46+00,325.653731706317
1369,13874,1372,Adelaide St N,Civic Boulevard,30000,24 hrs,2023/10/04 18:08:46+00,680.85999074838
1101,13606,1104,Adelaide St N,Civic Boulevard,26000,24 hrs,2023/10/04 18:08:46+00,158.651246117939
1141,13646,1144,Adelaide St N,Civic Boulevard,28000,24 hrs,2023/10/04 18:08:46+00,699.181015467975
1050,13555,1053,Adelaide St N,Civic Boulevard,24000,24 hrs,2023/10/04 18:08:46+00,151.170845728169
935,13440,938,Adelaide St N,Civic Boulevard,20000,24 hrs,2023/10/04 18:08:46+00,372.423960728496
