Test,Predictions,difference
1.2,1.581,-0.381
1.333,1.473,-0.14
2.0,1.517,0.483
2.25,1.4,0.85
0.633,1.479,-0.846
-0.667,1.558,-2.225
-0.0,1.434,-1.434
-2.6,1.323,-3.923
1.25,0.983,0.267
-3.167,1.29,-4.457
-1.733,0.756,-2.49
-1.283,0.66,-1.943
-0.967,1.072,-2.039
-2.75,0.859,-3.609
-1.517,1.033,-2.55
-0.0,1.074,-1.074
-1.35,1.164,-2.514
0.5,1.251,-0.751
-1.433,1.009,-2.443
-0.15,1.221,-1.371
-2.533,1.286,-3.82
-0.0,-0.27,0.27
-1.5,1.117,-2.617
-5.05,1.494,-6.544
-1.4,0.841,-2.241
-2.5,1.244,-3.744
-4.067,0.973,-5.04
-0.0,0.685,-0.685
-5.017,0.817,-5.833
-5.15,0.248,-5.398
0.083,0.312,-0.229
-0.0,1.485,-1.485
-1.867,0.599,-2.465
-2.183,1.194,-3.377
-2.2,0.95,-3.15
-0.0,1.646,-1.646
-3.167,1.407,-4.574
1.467,0.415,1.052
-1.983,1.744,-3.727
0.217,0.775,-0.559
-2.6,1.344,-3.944
-0.983,0.887,-1.87
-2.35,1.28,-3.63
-2.867,0.617,-3.484
-0.0,0.478,-0.478
0.5,1.395,-0.895
-1.617,1.687,-3.304
0.067,1.432,-1.366
-2.8,1.244,-4.044
-2.683,1.588,-4.272
0.217,1.025,-0.809
-1.033,1.49,-2.523
-2.6,1.286,-3.886
-1.667,0.896,-2.563
1.0,0.897,0.103
1.55,1.194,0.356
-1.117,1.436,-2.553
-2.467,0.947,-3.414
-1.167,1.054,-2.221
-1.333,0.931,-2.264
1.25,1.357,-0.107
-0.7,0.05,-0.75
-2.583,1.333,-3.917
0.333,1.531,-1.197
-2.067,1.385,-3.452
-1.417,0.958,-2.375
0.633,0.739,-0.106
-2.183,1.377,-3.561
0.6,0.38,0.22
-0.833,1.625,-2.458
-1.117,0.925,-2.042
2.0,0.648,1.352
-2.567,1.553,-4.12
-1.5,1.333,-2.833
-3.617,1.179,-4.795
-5.1,0.758,-5.858
-2.15,0.888,-3.038
-1.133,-0.401,-0.732
-1.967,0.832,-2.799
-1.333,0.808,-2.141
-3.0,1.536,-4.536
-1.5,0.118,-1.618
-0.5,1.096,-1.596
-1.883,1.069,-2.952
-5.767,1.055,-6.821
0.75,1.035,-0.285
-1.5,0.4,-1.9
-1.667,0.923,-2.59
0.6,0.887,-0.287
-0.167,1.393,-1.559
-2.967,1.696,-4.663
-3.483,-0.41,-3.074
1.667,1.127,0.539
-3.483,1.534,-5.017
1.0,0.881,0.119
-0.2,1.468,-1.668
0.517,1.35,-0.833
-0.05,1.423,-1.473
-0.283,1.403,-1.686
-0.0,1.281,-1.281
2.25,1.255,0.995
-0.25,1.469,-1.719
0.683,1.407,-0.724
-1.6,1.538,-3.138
4.25,1.379,2.871
-0.983,1.8,-2.783
1.65,1.557,0.093
0.533,1.817,-1.284
-1.5,0.493,-1.993
0.533,1.49,-0.957
-0.0,1.537,-1.537
-2.033,1.726,-3.759
2.2,-0.491,2.691
-1.5,2.113,-3.613
1.583,0.038,1.545
-0.0,1.776,-1.776
-0.617,1.9,-2.517
1.4,1.088,0.312
-0.05,0.798,-0.848
2.7,1.61,1.09
2.467,1.899,0.568
2.367,1.935,0.432
0.383,2.134,-1.75
0.717,1.975,-1.258
0.717,1.939,-1.222
1.25,1.855,-0.605
-2.783,1.79,-4.573
-0.0,1.512,-1.512
-0.25,1.893,-2.143
-6.45,0.964,-7.414
2.367,1.704,0.663
5.3,1.851,3.449
4.55,2.133,2.417
3.55,2.41,1.14
4.5,2.477,2.023
-0.5,2.444,-2.944
-0.0,2.2,-2.2
3.217,2.252,0.964
3.717,0.379,3.337
0.75,2.424,-1.674
-1.833,2.303,-4.137
-0.833,2.125,-2.959
4.75,2.233,2.517
-1.3,3.084,-4.384
4.45,2.019,2.431
1.067,2.264,-1.197
0.6,2.301,-1.701
2.417,2.171,0.246
4.217,2.142,2.075
4.433,2.278,2.155
1.783,2.34,-0.556
2.117,2.434,-0.318
2.8,2.384,0.416
-1.467,2.423,-3.89
-1.3,1.197,-2.497
-0.75,2.133,-2.883
-0.75,1.996,-2.746
2.633,2.006,0.627
-1.917,2.077,-3.994
-0.067,2.136,-2.202
-2.233,0.319,-2.552
-0.0,1.864,-1.864
1.883,1.866,0.018
0.5,1.906,-1.406
0.467,1.912,-1.445
-0.0,1.892,-1.892
4.117,1.774,2.343
-0.467,1.414,-1.881
4.467,1.884,2.582
-0.567,1.87,-2.437
3.767,1.841,1.926
0.4,2.154,-1.754
-0.433,2.097,-2.531
3.717,2.051,1.665
4.817,1.64,3.177
-1.683,2.289,-3.972
5.0,2.164,2.836
-1.5,2.333,-3.833
2.55,2.131,0.419
2.25,2.162,0.088
0.25,4.783,-4.533
4.0,4.162,-0.162
4.0,3.881,0.119
1.717,3.717,-2.0
0.75,2.984,-2.234
0.483,2.153,-1.67
0.717,2.224,-1.507
2.133,0.484,1.65
-1.517,2.472,-3.989
-1.267,2.28,-3.547
0.7,2.105,-1.405
-3.25,2.288,-5.538
1.8,1.047,0.753
0.5,1.924,-1.424
0.617,2.022,-1.405
-0.25,2.087,-2.337
4.0,1.932,2.068
1.667,2.367,-0.7
0.617,2.279,-1.662
0.117,2.208,-2.092
-0.617,2.147,-2.764
-0.25,2.05,-2.3
2.5,1.983,0.517
1.867,2.168,-0.301
3.25,2.243,1.007
-1.1,2.404,-3.504
3.5,2.144,1.356
2.75,2.297,0.453
-1.983,2.38,-4.363
1.25,2.095,-0.845
3.583,2.154,1.43
2.033,2.57,-0.537
-2.9,1.75,-4.65
4.5,2.074,2.426
-0.0,2.285,-2.285
-2.2,2.382,-4.582
-0.0,0.323,-0.323
-2.633,1.87,-4.503
-0.183,1.75,-1.934
0.933,1.755,-0.822
0.633,1.883,-1.249
