Test,Predictions,difference
1.2,1.782,-0.582
1.333,2.001,-0.667
2.0,1.917,0.083
2.25,2.09,0.16
0.633,2.302,-1.669
-0.667,1.943,-2.609
-0.0,1.691,-1.691
-2.6,2.177,-4.777
1.25,1.222,0.028
-3.167,2.224,-5.39
-1.733,0.842,-2.576
-1.283,1.33,-2.613
-0.967,0.91,-1.877
-2.75,1.37,-4.12
-1.517,1.874,-3.39
-0.0,1.878,-1.878
-1.35,1.729,-3.079
0.5,1.937,-1.437
-1.433,0.963,-2.397
-0.15,1.897,-2.047
-2.533,0.927,-3.461
-0.0,0.954,-0.954
-1.5,1.507,-3.007
-5.05,1.115,-6.165
-1.4,0.484,-1.884
-2.5,1.744,-4.244
-4.067,0.926,-4.993
-0.0,0.922,-0.922
-5.017,1.595,-6.611
-5.15,0.044,-5.194
0.083,0.756,-0.673
-0.0,0.896,-0.896
-1.867,1.658,-3.525
-2.183,1.16,-3.344
-2.2,1.118,-3.318
-0.0,1.061,-1.061
-3.167,1.805,-4.971
1.467,0.379,1.088
-1.983,1.927,-3.91
0.217,1.245,-1.028
-2.6,1.283,-3.883
-0.983,1.097,-2.08
-2.35,0.949,-3.299
-2.867,1.853,-4.719
-0.0,1.84,-1.84
0.5,1.758,-1.258
-1.617,1.974,-3.59
0.067,0.638,-0.572
-2.8,1.902,-4.702
-2.683,1.912,-4.596
0.217,-0.099,0.315
-1.033,1.84,-2.873
-2.6,0.977,-3.577
-1.667,1.11,-2.776
1.0,0.859,0.141
1.55,1.436,0.114
-1.117,1.389,-2.506
-2.467,1.577,-4.044
-1.167,1.895,-3.061
-1.333,1.951,-3.284
1.25,0.155,1.095
-0.7,1.21,-1.91
-2.583,2.095,-4.678
0.333,0.641,-0.308
-2.067,1.293,-3.36
-1.417,1.918,-3.334
0.633,1.868,-1.234
-2.183,2.017,-4.201
0.6,0.24,0.36
-0.833,2.062,-2.895
-1.117,2.095,-3.211
2.0,1.933,0.067
-2.567,2.166,-4.733
-1.5,2.097,-3.597
-3.617,0.694,-4.311
-5.1,0.871,-5.971
-2.15,0.96,-3.11
-1.133,0.499,-1.632
-1.967,1.384,-3.351
-1.333,1.02,-2.353
-3.0,1.048,-4.048
-1.5,1.648,-3.148
-0.5,0.906,-1.406
-1.883,1.385,-3.269
-5.767,1.637,-7.403
0.75,1.712,-0.962
-1.5,1.751,-3.251
-1.667,1.786,-3.452
0.6,1.801,-1.201
-0.167,1.447,-1.614
-2.967,1.878,-4.845
-3.483,1.8,-5.283
1.667,1.776,-0.109
-3.483,1.183,-4.667
1.0,1.1,-0.1
-0.2,1.79,-1.99
0.517,1.829,-1.313
-0.05,1.811,-1.861
-0.283,1.88,-2.163
-0.0,1.838,-1.838
2.25,1.862,0.388
-0.25,2.033,-2.283
0.683,1.704,-1.021
-1.6,1.129,-2.729
4.25,1.109,3.141
-0.983,2.09,-3.073
1.65,1.13,0.52
0.533,2.079,-1.546
-1.5,1.121,-2.621
0.533,1.017,-0.483
-0.0,1.863,-1.863
-2.033,1.961,-3.995
2.2,1.894,0.306
-1.5,2.012,-3.512
1.583,2.015,-0.432
-0.0,2.123,-2.123
-0.617,2.06,-2.676
1.4,1.129,0.271
-0.05,1.836,-1.886
2.7,2.032,0.668
2.467,1.425,1.041
2.367,1.569,0.798
0.383,2.215,-1.831
0.717,1.529,-0.812
0.717,1.413,-0.697
1.25,1.701,-0.451
-2.783,2.156,-4.94
-0.0,1.964,-1.964
-0.25,1.967,-2.217
-6.45,1.342,-7.792
2.367,1.778,0.589
5.3,1.879,3.421
4.55,2.127,2.423
3.55,2.226,1.324
4.5,2.281,2.219
-0.5,2.383,-2.883
-0.0,2.299,-2.299
3.217,2.233,0.984
3.717,2.23,1.487
0.75,2.252,-1.502
-1.833,2.247,-4.081
-0.833,1.881,-2.714
4.75,2.08,2.67
-1.3,2.197,-3.497
4.45,2.15,2.3
1.067,2.208,-1.141
0.6,2.254,-1.654
2.417,2.223,0.194
4.217,2.211,2.006
4.433,1.597,2.836
1.783,2.276,-0.493
2.117,2.264,-0.147
2.8,2.251,0.549
-1.467,2.258,-3.724
-1.3,2.265,-3.565
-0.75,0.724,-1.474
-0.75,1.79,-2.54
2.633,1.947,0.687
-1.917,1.252,-3.168
-0.067,1.975,-2.041
-2.233,1.914,-4.147
-0.0,1.846,-1.846
1.883,-0.131,2.014
0.5,1.724,-1.224
0.467,1.256,-0.79
-0.0,1.086,-1.086
4.117,1.559,2.558
-0.467,2.115,-2.581
4.467,2.097,2.37
-0.567,2.207,-2.774
3.767,1.611,2.155
0.4,1.604,-1.204
-0.433,1.692,-2.126
3.717,1.536,2.181
4.817,2.154,2.663
-1.683,2.227,-3.911
5.0,2.206,2.794
-1.5,2.242,-3.742
2.55,2.259,0.291
2.25,2.222,0.028
0.25,3.87,-3.62
4.0,3.326,0.674
4.0,3.071,0.929
1.717,3.102,-1.386
0.75,2.8,-2.05
0.483,2.758,-2.274
0.717,2.442,-1.725
2.133,2.322,-0.189
-1.517,2.355,-3.872
-1.267,1.789,-3.056
0.7,1.558,-0.858
-3.25,2.192,-5.442
1.8,1.852,-0.052
0.5,1.371,-0.871
0.617,1.644,-1.027
-0.25,1.401,-1.651
4.0,1.292,2.708
1.667,2.171,-0.504
0.617,2.193,-1.577
0.117,2.199,-2.083
-0.617,2.188,-2.805
-0.25,2.132,-2.382
2.5,1.804,0.696
1.867,2.17,-0.303
3.25,2.187,1.063
-1.1,2.218,-3.318
3.5,2.201,1.299
2.75,2.216,0.534
-1.983,2.239,-4.222
1.25,2.23,-0.98
3.583,1.596,1.987
2.033,2.072,-0.039
-2.9,1.464,-4.364
4.5,1.279,3.221
-0.0,2.194,-2.194
-2.2,2.184,-4.384
-0.0,1.982,-1.982
-2.633,1.947,-4.58
-0.183,1.818,-2.002
0.933,0.947,-0.014
0.633,0.928,-0.295
-0.133,1.387,-1.521
0.683,1.43,-0.746
1.75,1.989,-0.239
-11.833,1.174,-13.007
3.25,1.025,2.225
9.733,1.181,8.553
0.25,2.159,-1.909
0.167,2.194,-2.027
-1.633,2.2,-3.833
0.533,2.101,-1.568
2.117,2.008,0.109
8.767,2.138,6.628
-2.117,2.456,-4.572
-1.867,2.329,-4.196
-1.683,1.591,-3.274
7.633,1.82,5.813
-1.75,2.205,-3.955
-0.0,1.456,-1.456
-0.0,1.843,-1.843
-0.0,2.121,-2.121
-0.0,2.119,-2.119
7.45,1.261,6.189
10.25,2.294,7.956
7.567,2.78,4.786
6.417,2.923,3.493
6.917,3.164,3.752
8.017,3.202,4.815
3.7,2.986,0.714
10.5,3.06,7.44
9.533,3.292,6.242
2.833,3.664,-0.83
1.817,3.472,-1.656
1.917,2.965,-1.048
11.75,2.716,9.034
10.0,2.76,7.24
0.8,3.016,-2.216
-0.0,2.995,-2.995
6.5,2.709,3.791
-0.933,2.713,-3.646
-0.783,2.503,-3.286
3.183,2.317,0.866
1.833,2.261,-0.428
7.967,2.259,5.707
8.45,2.563,5.887
-0.0,2.983,-2.983
4.1,2.704,1.396
8.667,2.696,5.971
4.267,2.894,1.373
8.717,2.886,5.831
0.533,2.779,-2.246
0.65,2.528,-1.878
12.9,2.336,10.564
5.45,2.873,2.577
7.133,3.006,4.127
6.8,3.156,3.644
6.3,3.256,3.044
7.25,3.423,3.827
0.133,3.368,-3.235
-1.25,2.898,-4.148
11.617,2.537,9.079
10.917,3.039,7.878
-0.5,3.163,-3.663
-0.7,2.899,-3.599
5.083,2.479,2.605
9.983,2.589,7.394
1.95,2.735,-0.785
