Test,Predictions,difference
1.2,0.315,0.885
1.333,0.31,1.023
2.0,0.327,1.673
2.25,0.316,1.934
0.633,0.322,0.311
-0.667,0.319,-0.985
-0.0,0.313,-0.313
-2.6,0.326,-2.926
1.25,0.304,0.946
-3.167,0.312,-3.478
-1.733,0.323,-2.057
-1.283,0.315,-1.598
-0.967,0.313,-1.279
-2.75,0.317,-3.067
-1.517,0.323,-1.839
-0.0,0.317,-0.317
-1.35,0.32,-1.67
0.5,0.315,0.185
-1.433,0.299,-1.732
-0.15,0.315,-0.465
-2.533,0.328,-2.862
-0.0,0.315,-0.315
-1.5,0.312,-1.812
-5.05,0.327,-5.377
-1.4,0.313,-1.713
-2.5,0.322,-2.822
-4.067,0.271,-4.337
-0.0,0.317,-0.317
-5.017,0.316,-5.333
-5.15,0.311,-5.461
0.083,0.314,-0.231
-0.0,0.323,-0.323
-1.867,0.32,-2.187
-2.183,0.329,-2.513
-2.2,0.311,-2.511
-0.0,0.321,-0.321
-3.167,0.327,-3.493
1.467,0.322,1.145
-1.983,0.321,-2.305
0.217,0.317,-0.1
-2.6,0.315,-2.915
-0.983,0.317,-1.3
-2.35,0.312,-2.662
-2.867,0.321,-3.187
-0.0,0.32,-0.32
0.5,0.325,0.175
-1.617,0.316,-1.933
0.067,0.316,-0.25
-2.8,0.315,-3.115
-2.683,0.324,-3.007
0.217,0.318,-0.101
-1.033,0.311,-1.344
-2.6,0.312,-2.912
-1.667,0.323,-1.99
1.0,0.321,0.679
1.55,0.323,1.227
-1.117,0.317,-1.434
-2.467,0.316,-2.783
-1.167,0.316,-1.483
-1.333,0.324,-1.657
1.25,0.325,0.925
-0.7,0.305,-1.005
-2.583,0.316,-2.9
0.333,0.323,0.011
-2.067,0.33,-2.396
-1.417,0.323,-1.74
0.633,0.333,0.3
-2.183,0.328,-2.512
0.6,0.322,0.278
-0.833,0.325,-1.159
-1.117,0.32,-1.437
2.0,0.323,1.677
-2.567,0.327,-2.893
-1.5,0.31,-1.81
-3.617,0.32,-3.937
-5.1,0.321,-5.421
-2.15,0.327,-2.477
-1.133,0.331,-1.464
-1.967,0.313,-2.28
-1.333,0.329,-1.662
-3.0,0.313,-3.313
-1.5,0.314,-1.814
-0.5,0.321,-0.821
-1.883,0.324,-2.207
-5.767,0.315,-6.082
0.75,0.44,0.31
-1.5,0.294,-1.794
-1.667,0.316,-1.983
0.6,0.316,0.284
-0.167,0.314,-0.48
-2.967,0.288,-3.254
-3.483,0.289,-3.772
1.667,0.321,1.346
-3.483,0.298,-3.781
1.0,0.303,0.697
-0.2,0.313,-0.513
0.517,0.289,0.227
-0.05,0.322,-0.372
-0.283,0.265,-0.548
-0.0,0.301,-0.301
2.25,0.326,1.924
-0.25,0.319,-0.569
0.683,0.316,0.367
-1.6,0.32,-1.92
4.25,0.327,3.923
-0.983,0.328,-1.312
1.65,0.326,1.324
0.533,0.327,0.207
-1.5,0.308,-1.808
0.533,0.322,0.211
-0.0,0.392,-0.392
-2.033,0.324,-2.358
2.2,0.32,1.88
-1.5,0.358,-1.858
1.583,0.326,1.258
-0.0,0.338,-0.338
-0.617,0.334,-0.951
1.4,0.326,1.074
-0.05,0.331,-0.381
2.7,0.321,2.379
2.467,0.326,2.14
2.367,0.354,2.012
0.383,0.426,-0.042
0.717,0.721,-0.004
0.717,0.32,0.396
1.25,0.333,0.917
-2.783,0.347,-3.13
-0.0,0.335,-0.335
-0.25,0.327,-0.577
-6.45,0.321,-6.771
2.367,0.32,2.046
5.3,0.323,4.977
4.55,0.399,4.151
3.55,0.412,3.138
4.5,0.412,4.088
-0.5,1.175,-1.675
-0.0,0.347,-0.347
3.217,0.339,2.878
3.717,0.551,3.166
0.75,0.469,0.281
-1.833,0.51,-2.343
-0.833,0.326,-1.159
4.75,0.321,4.429
-1.3,0.992,-2.292
4.45,0.567,3.883
1.067,1.328,-0.262
0.6,0.344,0.256
2.417,0.331,2.086
4.217,0.369,3.848
4.433,0.786,3.647
1.783,0.458,1.325
2.117,0.371,1.746
2.8,0.641,2.159
-1.467,0.697,-2.164
-1.3,0.427,-1.727
-0.75,0.333,-1.083
-0.75,0.445,-1.195
2.633,0.338,2.295
-1.917,0.332,-2.249
-0.067,0.354,-0.421
-2.233,0.328,-2.562
-0.0,0.331,-0.331
1.883,0.388,1.495
0.5,0.323,0.177
0.467,0.328,0.139
-0.0,0.328,-0.328
4.117,0.336,3.78
-0.467,0.407,-0.873
4.467,0.321,4.145
-0.567,0.443,-1.01
3.767,0.321,3.446
0.4,0.366,0.034
-0.433,0.353,-0.787
3.717,0.493,3.224
4.817,0.335,4.482
-1.683,0.336,-2.019
5.0,0.324,4.676
-1.5,0.542,-2.042
2.55,0.353,2.197
2.25,0.328,1.922
0.25,0.559,-0.309
4.0,5.512,-1.512
4.0,1.074,2.926
1.717,0.776,0.941
0.75,1.509,-0.759
0.483,3.328,-2.844
0.717,1.902,-1.185
2.133,2.275,-0.142
-1.517,0.95,-2.467
-1.267,1.088,-2.354
0.7,0.959,-0.259
-3.25,0.501,-3.751
1.8,0.325,1.475
0.5,0.331,0.169
0.617,0.332,0.284
-0.25,0.327,-0.577
4.0,0.324,3.676
1.667,0.328,1.339
0.617,0.313,0.303
0.117,0.321,-0.204
-0.617,0.348,-0.965
-0.25,0.32,-0.57
2.5,0.315,2.185
1.867,0.328,1.539
3.25,0.318,2.932
-1.1,0.332,-1.432
3.5,0.318,3.182
2.75,0.322,2.428
-1.983,0.33,-2.313
1.25,0.319,0.931
3.583,0.323,3.26
2.033,0.33,1.704
-2.9,0.356,-3.256
4.5,0.353,4.147
-0.0,0.32,-0.32
-2.2,0.323,-2.523
-0.0,0.323,-0.323
-2.633,0.313,-2.947
-0.183,0.312,-0.496
0.933,0.297,0.636
0.633,0.313,0.32
-0.133,0.306,-0.439
0.683,0.317,0.366
1.75,0.328,1.422
-11.833,0.304,-12.137
3.25,0.326,2.924
9.733,0.284,9.45
0.25,0.325,-0.075
0.167,0.317,-0.15
-1.633,0.326,-1.959
0.533,0.319,0.214
2.117,0.314,1.803
8.767,0.319,8.447
-2.117,0.337,-2.453
-1.867,0.327,-2.194
-1.683,0.326,-2.009
7.633,0.315,7.318
-1.75,0.314,-2.064
-0.0,0.296,-0.296
-0.0,0.321,-0.321
-0.0,0.325,-0.325
-0.0,0.318,-0.318
7.45,0.315,7.135
10.25,0.328,9.922
7.567,0.466,7.1
6.417,0.937,5.48
6.917,0.801,6.115
8.017,1.563,6.454
3.7,1.151,2.549
10.5,1.753,8.747
9.533,1.365,8.168
2.833,2.174,0.659
1.817,2.882,-1.065
1.917,0.339,1.578
11.75,0.35,11.4
10.0,2.787,7.213
0.8,2.623,-1.823
-0.0,2.51,-2.51
6.5,0.499,6.001
-0.933,1.285,-2.218
-0.783,0.333,-1.116
3.183,0.361,2.822
1.833,0.334,1.499
7.967,0.677,7.29
8.45,0.346,8.104
-0.0,0.366,-0.366
4.1,0.316,3.784
8.667,0.34,8.326
4.267,0.537,3.73
8.717,0.341,8.376
0.533,0.499,0.034
0.65,1.097,-0.447
12.9,0.6,12.3
5.45,1.065,4.385
7.133,2.157,4.976
6.8,3.551,3.249
6.3,3.227,3.073
7.25,2.879,4.371
0.133,0.944,-0.811
-1.25,2.462,-3.712
11.617,1.196,10.42
10.917,1.973,8.944
-0.5,0.834,-1.334
-0.7,1.015,-1.715
5.083,0.966,4.117
9.983,1.866,8.117
1.95,1.615,0.335
-2.667,1.04,-3.706
3.167,0.64,2.526
8.767,0.531,8.235
9.967,2.468,7.499
1.917,1.085,0.832
1.333,1.766,-0.433
1.217,1.805,-0.588
9.733,1.166,8.567
-1.683,0.786,-2.47
4.367,0.578,3.789
-1.0,1.178,-2.178
4.65,0.826,3.824
-2.6,0.355,-2.955
1.45,0.343,1.107
3.867,0.392,3.475
4.85,0.823,4.027
7.3,1.645,5.655
5.033,0.769,4.264
8.217,1.476,6.741
1.05,2.266,-1.216
5.783,1.972,3.811
0.417,1.044,-0.628
3.367,0.323,3.043
-0.033,0.384,-0.417
-1.2,0.34,-1.54
-1.333,0.321,-1.654
6.667,0.321,6.345
6.85,0.328,6.522
6.467,1.05,5.417
1.75,0.438,1.312
1.75,0.349,1.401
-1.1,0.333,-1.433
2.567,0.328,2.239
0.267,0.322,-0.055
1.983,0.307,1.677
0.767,0.308,0.458
-0.4,0.325,-0.725
-0.25,0.317,-0.567
-0.2,0.321,-0.521
-0.45,0.304,-0.754
-0.0,0.261,-0.261
1.383,0.258,1.125
-0.133,0.316,-0.449
-0.7,0.288,-0.988
-0.0,0.273,-0.273
-1.4,0.291,-1.691
-1.0,0.317,-1.317
-1.417,0.324,-1.741
1.367,0.283,1.084
1.233,0.323,0.91
-0.0,0.321,-0.321
0.6,0.313,0.287
-0.0,0.277,-0.277
3.033,0.291,2.743
2.833,0.296,2.538
1.683,0.306,1.377
3.5,0.315,3.185
1.967,0.325,1.642
1.817,0.318,1.499
-0.717,0.325,-1.042
1.0,0.354,0.646
-0.0,0.29,-0.29
0.183,0.326,-0.143
2.833,0.296,2.538
-1.0,0.284,-1.284
-1.7,0.318,-2.018
1.85,0.305,1.545
2.5,0.321,2.179
-1.867,0.397,-2.264
-2.25,0.277,-2.527
6.8,0.318,6.482
-2.617,0.329,-2.945
5.3,0.307,4.993
11.75,0.373,11.377
11.433,3.048,8.385
1.967,0.8,1.167
13.15,0.551,12.599
12.9,2.9,10.0
17.5,3.95,13.55
1.867,1.661,0.205
0.5,3.4,-2.9
5.733,0.781,4.952
5.25,0.716,4.534
3.0,1.422,1.578
3.567,0.403,3.164
3.4,0.328,3.072
13.3,0.348,12.952
5.117,2.061,3.056
-0.0,1.242,-1.242
12.95,0.334,12.616
3.85,1.334,2.516
4.483,1.132,3.352
3.783,0.356,3.427
10.55,0.698,9.852
12.033,0.888,11.146
9.25,1.184,8.066
10.0,1.695,8.305
8.95,3.736,5.214
16.983,1.486,15.498
16.65,1.738,14.912
12.133,3.311,8.822
12.233,3.023,9.21
5.367,0.354,5.013
12.283,0.368,11.915
12.767,3.12,9.646
15.983,0.658,15.326
7.45,3.253,4.197
9.5,0.253,9.247
8.967,0.825,8.141
8.183,4.405,3.778
11.283,0.83,10.453
23.283,0.839,22.444
27.283,0.435,26.849
6.283,1.488,4.795
16.283,2.881,13.403
28.75,1.154,27.596
26.75,2.396,24.354
25.817,1.726,24.091
28.65,1.547,27.103
12.417,3.018,9.399
11.333,1.668,9.665
-1.6,1.291,-2.891
11.117,1.824,9.293
-0.5,6.398,-6.898
9.667,1.322,8.345
0.75,0.246,0.504
-1.2,5.711,-6.911
-0.05,1.168,-1.218
3.8,3.279,0.521
20.45,0.386,20.064
25.717,1.79,23.926
2.467,1.763,0.704
1.717,3.171,-1.454
0.75,1.951,-1.201
2.233,0.535,1.698
31.783,2.488,29.295
30.2,1.333,28.867
4.317,1.171,3.146
-2.383,1.449,-3.832
0.5,5.268,-4.768
-0.05,4.069,-4.119
-0.133,0.671,-0.804
-0.75,1.83,-2.58
35.083,0.326,34.758
27.583,2.676,24.907
-1.317,3.854,-5.171
1.617,0.582,1.035
37.3,2.238,35.062
39.75,1.478,38.272
35.517,3.88,31.636
38.917,0.388,38.529
-0.0,2.493,-2.493
10.25,1.441,8.809
10.25,0.339,9.911
-0.333,3.376,-3.709
0.233,3.17,-2.937
-0.567,2.181,-2.748
-4.1,4.007,-8.107
-0.983,0.68,-1.663
-2.733,3.005,-5.738
1.633,0.315,1.318
1.8,0.365,1.435
-0.067,0.314,-0.381
0.3,0.266,0.034
1.567,0.283,1.283
2.6,0.322,2.278
2.6,0.302,2.298
1.25,0.304,0.946
0.633,0.315,0.318
-2.617,0.289,-2.906
2.5,0.32,2.18
-1.217,0.26,-1.476
0.5,0.287,0.213
-2.167,0.323,-2.489
-0.0,0.299,-0.299
1.0,0.306,0.694
0.95,0.313,0.637
1.45,0.32,1.13
-0.25,0.321,-0.571
-0.0,0.32,-0.32
0.05,0.319,-0.269
-1.0,0.262,-1.262
-1.517,0.314,-1.831
-0.017,0.321,-0.338
-0.0,0.316,-0.316
-1.25,0.298,-1.548
-0.0,0.32,-0.32
-3.467,0.301,-3.768
4.15,0.321,3.829
2.5,0.324,2.176
-0.0,0.316,-0.316
-0.0,0.318,-0.318
-0.0,0.31,-0.31
-0.0,0.32,-0.32
3.517,0.32,3.196
6.8,0.318,6.482
-0.0,0.439,-0.439
12.9,0.299,12.601
1.433,0.412,1.021
1.217,0.33,0.887
12.417,0.331,12.085
9.45,0.347,9.103
7.517,0.391,7.126
8.3,0.535,7.765
8.45,0.993,7.457
5.183,2.135,3.048
8.1,1.25,6.85
4.317,1.205,3.112
7.0,2.441,4.559
8.1,1.133,6.967
7.283,0.736,6.548
7.983,1.909,6.075
7.8,1.066,6.734
2.35,1.814,0.536
7.05,0.353,6.697
5.667,1.173,4.493
1.85,3.404,-1.554
1.85,2.199,-0.349
-0.0,1.528,-1.528
4.633,0.332,4.301
-0.633,0.382,-1.015
-1.767,0.381,-2.148
-0.883,0.36,-1.243
-1.067,0.327,-1.394
-2.067,0.304,-2.371
-1.117,0.319,-1.436
-1.467,0.325,-1.792
-1.933,0.331,-2.264
-2.633,0.324,-2.957
-3.383,0.331,-3.714
-2.367,0.328,-2.695
0.75,0.322,0.428
-3.35,0.324,-3.674
-0.567,0.319,-0.885
-1.083,0.322,-1.406
-3.067,0.323,-3.39
-0.017,0.314,-0.331
-2.033,0.325,-2.358
-1.55,0.322,-1.872
1.683,0.328,1.355
-2.05,0.35,-2.4
-1.483,0.312,-1.796
2.817,0.329,2.487
3.317,0.314,3.003
2.517,0.303,2.213
8.0,0.327,7.673
5.367,0.408,4.958
0.933,0.328,0.606
4.95,0.391,4.559
1.667,0.301,1.366
7.75,0.328,7.422
-2.567,0.339,-2.906
-0.25,0.322,-0.572
