Test,Predictions,difference
1.2,0.945,0.255
1.333,0.937,0.396
2.0,0.918,1.082
2.25,0.926,1.324
0.633,0.992,-0.358
-0.667,0.915,-1.582
0.0,0.772,-0.772
-2.6,0.733,-3.333
1.25,0.626,0.624
-3.167,0.818,-3.985
-1.733,0.618,-2.351
-1.283,0.697,-1.981
-0.967,0.715,-1.681
-2.75,0.699,-3.449
-1.517,0.649,-2.166
0.0,0.612,-0.612
-1.35,0.639,-1.989
0.5,0.541,-0.041
-1.433,0.647,-2.08
-0.15,0.539,-0.689
-2.533,0.533,-3.067
0.0,0.514,-0.514
-1.5,0.612,-2.112
-5.05,0.457,-5.507
-1.4,0.556,-1.956
-2.5,0.617,-3.117
-4.067,0.506,-4.573
0.0,0.568,-0.568
-5.017,0.699,-5.715
-5.15,0.549,-5.699
0.083,0.577,-0.494
0.0,0.486,-0.486
-1.867,0.582,-2.449
-2.183,0.497,-2.68
-2.2,0.465,-2.665
0.0,0.418,-0.418
-3.167,0.508,-3.675
1.467,0.576,0.891
-1.983,0.345,-2.328
0.217,0.541,-0.325
-2.6,0.521,-3.121
-0.983,0.504,-1.487
-2.35,0.426,-2.776
-2.867,0.285,-3.151
0.0,0.6,-0.6
0.5,0.677,-0.177
-1.617,0.648,-2.265
0.067,0.484,-0.417
-2.8,0.568,-3.368
-2.683,0.297,-2.98
0.217,0.577,-0.36
-1.033,0.54,-1.573
-2.6,0.459,-3.059
-1.667,0.583,-2.25
1.0,0.641,0.359
1.55,0.553,0.997
-1.117,0.352,-1.469
-2.467,0.514,-2.98
-1.167,0.435,-1.601
-1.333,0.499,-1.832
1.25,0.09,1.16
-0.7,0.479,-1.179
-2.583,0.522,-3.105
0.333,0.359,-0.025
-2.067,0.608,-2.674
-1.417,0.533,-1.95
0.633,0.609,0.024
-2.183,0.347,-2.53
0.6,-0.203,0.803
-0.833,-0.516,-0.317
-1.117,-0.538,-0.579
2.0,-0.174,2.174
-2.567,-0.075,-2.492
-1.5,-0.158,-1.342
-3.617,-0.17,-3.447
-5.1,-0.132,-4.968
-2.15,-0.219,-1.931
-1.133,-0.057,-1.077
-1.967,0.032,-1.999
-1.333,-0.144,-1.189
-3.0,-0.48,-2.52
-1.5,-0.313,-1.187
-0.5,-0.163,-0.337
-1.883,0.005,-1.888
-5.767,-0.03,-5.736
0.75,-0.308,1.058
-1.5,-0.036,-1.464
-1.667,-0.111,-1.555
0.6,-0.123,0.723
-0.167,-0.41,0.243
-2.967,0.404,-3.37
-3.483,0.52,-4.003
1.667,0.647,1.02
-3.483,0.434,-3.917
1.0,0.407,0.593
-0.2,0.355,-0.555
0.517,0.381,0.135
-0.05,0.363,-0.413
-0.283,0.476,-0.759
0.0,0.352,-0.352
2.25,0.391,1.859
-0.25,0.239,-0.489
0.683,0.258,0.425
-1.6,0.306,-1.906
4.25,-0.191,4.441
-0.983,0.702,-1.686
1.65,-0.105,1.755
0.533,0.67,-0.137
-1.5,0.039,-1.539
0.533,-0.125,0.659
0.0,-0.105,0.105
-2.033,0.043,-2.076
2.2,-0.096,2.296
-1.5,0.449,-1.949
1.583,-0.135,1.719
0.0,0.26,-0.26
-0.617,0.152,-0.768
1.4,0.041,1.359
-0.05,0.286,-0.336
2.7,-0.111,2.811
2.467,0.765,1.702
2.367,0.585,1.782
0.383,0.624,-0.24
0.717,0.381,0.335
0.717,0.231,0.485
1.25,-0.018,1.268
-2.783,0.148,-2.932
0.0,-0.139,0.139
-0.25,0.182,-0.432
-6.45,-0.11,-6.34
2.367,0.155,2.211
5.3,0.215,5.085
4.55,1.282,3.268
3.55,1.543,2.007
4.5,1.701,2.799
-0.5,1.955,-2.455
0.0,1.296,-1.296
3.217,1.109,2.108
3.717,1.421,2.295
0.75,1.6,-0.85
-1.833,1.174,-3.007
-0.833,-0.014,-0.819
4.75,0.042,4.708
-1.3,1.315,-2.615
4.45,-0.167,4.617
1.067,1.395,-0.329
0.6,0.859,-0.259
2.417,0.311,2.106
4.217,0.884,3.333
4.433,1.592,2.841
1.783,1.774,0.01
2.117,1.625,0.492
2.8,1.572,1.228
-1.467,1.793,-3.259
-1.3,0.997,-2.297
-0.75,0.058,-0.808
-0.75,-0.109,-0.641
2.633,0.082,2.552
-1.917,0.515,-2.431
-0.067,-0.029,-0.038
-2.233,-0.061,-2.173
0.0,-0.069,0.069
1.883,0.033,1.851
0.5,0.145,0.355
0.467,0.136,0.331
0.0,0.167,-0.167
4.117,-0.034,4.15
-0.467,1.014,-1.481
4.467,-0.139,4.606
-0.567,1.288,-1.855
3.767,0.557,3.21
0.4,1.474,-1.074
-0.433,1.196,-1.63
3.717,0.51,3.207
4.817,1.317,3.5
-1.683,1.628,-3.312
5.0,0.419,4.581
-1.5,1.702,-3.202
2.55,0.713,1.837
2.25,1.34,0.91
0.25,4.586,-4.336
4.0,2.729,1.271
4.0,2.647,1.353
1.717,2.595,-0.879
0.75,2.346,-1.596
0.483,2.061,-1.577
0.717,1.652,-0.935
2.133,1.615,0.519
-1.517,1.524,-3.041
-1.267,0.313,-1.58
0.7,0.114,0.586
-3.25,0.53,-3.78
1.8,0.033,1.767
0.5,0.239,0.261
0.617,0.599,0.018
-0.25,0.648,-0.898
4.0,0.708,3.292
1.667,0.66,1.007
0.617,0.708,-0.091
0.117,0.679,-0.562
-0.617,0.632,-1.249
-0.25,0.675,-0.925
2.5,0.674,1.826
1.867,0.618,1.249
3.25,0.663,2.587
-1.1,0.846,-1.946
3.5,0.764,2.736
2.75,0.893,1.857
-1.983,1.146,-3.13
1.25,0.848,0.402
3.583,0.792,2.791
2.033,1.223,0.81
-2.9,1.145,-4.045
4.5,0.836,3.664
0.0,1.154,-1.154
-2.2,1.112,-3.312
0.0,0.988,-0.988
-2.633,0.99,-3.623
-0.183,1.001,-1.184
0.933,0.994,-0.061
0.633,0.999,-0.366
-0.133,0.996,-1.129
0.683,0.946,-0.262
1.75,0.7,1.05
-11.833,0.641,-12.474
3.25,0.971,2.279
9.733,0.604,9.129
0.25,1.459,-1.209
0.167,1.061,-0.895
-1.633,1.028,-2.661
0.533,0.878,-0.345
2.117,0.815,1.302
8.767,0.928,7.838
-2.117,1.533,-3.649
-1.867,1.052,-2.919
-1.683,0.899,-2.582
7.633,0.749,6.884
-1.75,1.318,-3.068
0.0,0.95,-0.95
0.0,1.03,-1.03
0.0,1.051,-1.051
0.0,1.045,-1.045
7.45,0.858,6.592
10.25,1.373,8.877
7.567,1.779,5.787
6.417,1.805,4.611
6.917,1.832,5.085
8.017,1.929,6.088
3.7,2.096,1.604
10.5,1.889,8.611
9.533,2.495,7.038
2.833,2.504,0.329
1.817,2.032,-0.215
1.917,1.855,0.062
11.75,1.815,9.935
10.0,2.613,7.387
0.8,2.551,-1.751
0.0,1.909,-1.909
6.5,1.776,4.724
-0.933,2.069,-3.002
-0.783,1.667,-2.45
3.183,1.528,1.655
1.833,1.623,0.21
7.967,1.558,6.409
8.45,2.002,6.448
0.0,2.178,-2.178
4.1,1.725,2.375
8.667,1.902,6.765
4.267,2.23,2.036
8.717,2.08,6.637
0.533,2.148,-1.614
0.65,1.912,-1.262
12.9,1.761,11.139
5.45,3.883,1.567
7.133,2.724,4.41
6.8,3.047,3.753
6.3,3.053,3.247
7.25,2.971,4.279
0.133,3.07,-2.936
