Test,Predictions,difference
1.2,-0.302,1.502
1.333,-0.662,1.995
2.0,1.28,0.72
2.25,0.699,1.551
0.633,-0.069,0.702
-0.667,0.882,-1.549
-0.0,-1.558,1.558
-2.6,-0.497,-2.103
1.25,-1.638,2.888
-3.167,-0.49,-2.677
-1.733,-2.031,0.297
-1.283,-2.067,0.783
-0.967,-1.999,1.032
-2.75,-2.433,-0.317
-1.517,-1.942,0.426
-0.0,-2.203,2.203
-1.35,-1.692,0.342
0.5,-1.05,1.55
-1.433,-1.736,0.303
-0.15,-1.244,1.094
-2.533,-0.298,-2.235
-0.0,-1.563,1.563
-1.5,-1.614,0.114
-5.05,-0.229,-4.821
-1.4,-1.401,0.001
-2.5,-1.136,-1.364
-4.067,-1.558,-2.509
-0.0,-2.171,2.171
-5.017,-1.691,-3.326
-5.15,-1.867,-3.283
0.083,-2.244,2.327
-0.0,-0.512,0.512
-1.867,-2.061,0.194
-2.183,-1.921,-0.263
-2.2,-1.815,-0.385
-0.0,-1.492,1.492
-3.167,-0.971,-2.196
1.467,-1.682,3.149
-1.983,-0.195,-1.788
0.217,-1.69,1.907
-2.6,-2.151,-0.449
-0.983,-0.999,0.016
-2.35,-0.799,-1.551
-2.867,-0.68,-2.187
-0.0,-2.497,2.497
0.5,-0.566,1.066
-1.617,-2.293,0.676
0.067,-1.656,1.722
-2.8,-0.992,-1.808
-2.683,-0.028,-2.655
0.217,-1.656,1.872
-1.033,-1.177,0.144
-2.6,-1.168,-1.432
-1.667,-2.248,0.581
1.0,-1.271,2.271
1.55,-1.424,2.974
-1.117,-0.37,-0.747
-2.467,-1.641,-0.825
-1.167,-1.059,-0.107
-1.333,-1.655,0.322
1.25,-0.7,1.95
-0.7,-1.397,0.697
-2.583,-1.359,-1.224
0.333,-1.332,1.665
-2.067,-1.287,-0.779
-1.417,-1.07,-0.347
0.633,-1.128,1.761
-2.183,-0.808,-1.375
0.6,0.25,0.35
-0.833,0.993,-1.826
-1.117,0.679,-1.795
2.0,0.388,1.612
-2.567,1.132,-3.699
-1.5,0.435,-1.935
-3.617,0.785,-4.401
-5.1,0.589,-5.689
-2.15,0.194,-2.344
-1.133,0.542,-1.675
-1.967,0.273,-2.24
-1.333,0.34,-1.673
-3.0,0.045,-3.045
-1.5,0.502,-2.002
-0.5,0.234,-0.734
-1.883,1.089,-2.973
-5.767,0.441,-6.208
0.75,-0.311,1.061
-1.5,0.692,-2.192
-1.667,0.078,-1.745
0.6,0.762,-0.162
-0.167,0.695,-0.861
-2.967,1.114,-4.081
-3.483,0.243,-3.726
1.667,0.374,1.293
-3.483,0.647,-4.13
1.0,0.409,0.591
-0.2,1.067,-1.267
0.517,0.048,0.469
-0.05,0.835,-0.885
-0.283,0.14,-0.424
-0.0,0.419,-0.419
2.25,0.365,1.885
-0.25,1.315,-1.565
0.683,0.868,-0.185
-1.6,0.574,-2.174
4.25,0.068,4.182
-0.983,0.457,-1.44
1.65,0.392,1.258
0.533,0.846,-0.313
-1.5,-0.118,-1.382
0.533,-0.278,0.812
-0.0,0.927,-0.927
-2.033,1.223,-3.257
2.2,-0.624,2.824
-1.5,2.093,-3.593
1.583,0.286,1.297
-0.0,1.136,-1.136
-0.617,1.506,-2.123
1.4,1.02,0.38
-0.05,0.903,-0.953
2.7,0.92,1.78
2.467,1.819,0.648
2.367,1.581,0.785
0.383,2.317,-1.934
0.717,1.187,-0.47
0.717,1.003,-0.286
1.25,0.981,0.269
-2.783,1.229,-4.013
-0.0,0.214,-0.214
-0.25,0.799,-1.049
-6.45,0.285,-6.735
2.367,-1.212,3.578
5.3,0.139,5.161
4.55,1.158,3.392
3.55,1.996,1.554
4.5,2.819,1.681
-0.5,3.427,-3.927
-0.0,1.539,-1.539
3.217,1.07,2.146
3.717,2.339,1.377
0.75,2.198,-1.448
-1.833,2.258,-4.092
-0.833,0.554,-1.388
4.75,1.099,3.651
-1.3,2.719,-4.019
4.45,1.583,2.867
1.067,2.427,-1.361
0.6,1.683,-1.083
2.417,1.576,0.841
4.217,1.743,2.474
4.433,2.575,1.859
1.783,2.775,-0.992
2.117,1.924,0.193
2.8,2.453,0.347
-1.467,2.354,-3.821
-1.3,1.0,-2.3
-0.75,1.17,-1.92
-0.75,0.471,-1.221
2.633,0.512,2.122
-1.917,0.646,-2.563
-0.067,1.338,-1.404
-2.233,0.295,-2.529
-0.0,-0.536,0.536
1.883,0.583,1.3
0.5,0.954,-0.454
0.467,1.817,-1.351
-0.0,1.475,-1.475
4.117,1.259,2.857
-0.467,2.518,-2.985
4.467,0.322,4.145
-0.567,2.974,-3.541
3.767,2.251,1.516
0.4,3.217,-2.817
-0.433,2.188,-2.621
3.717,2.522,1.195
4.817,1.906,2.911
-1.683,3.237,-4.92
5.0,1.233,3.767
-1.5,2.716,-4.216
2.55,1.484,1.066
2.25,2.331,-0.081
0.25,3.019,-2.769
4.0,3.286,0.714
4.0,2.515,1.485
1.717,3.891,-2.174
0.75,1.306,-0.556
0.483,1.095,-0.612
0.717,-0.015,0.731
2.133,0.567,1.566
-1.517,1.484,-3.001
-1.267,0.088,-1.355
0.7,-0.993,1.693
-3.25,-0.722,-2.528
1.8,-1.381,3.181
0.5,-1.105,1.605
0.617,-0.66,1.277
-0.25,0.261,-0.511
4.0,0.34,3.66
1.667,0.77,0.897
0.617,0.98,-0.363
0.117,1.062,-0.946
-0.617,1.254,-1.871
-0.25,0.789,-1.039
2.5,0.658,1.842
1.867,1.083,0.784
3.25,1.065,2.185
-1.1,1.532,-2.632
3.5,1.184,2.316
2.75,1.972,0.778
-1.983,2.073,-4.056
1.25,1.457,-0.207
3.583,1.521,2.062
2.033,1.637,0.397
-2.9,1.537,-4.437
4.5,0.953,3.547
-0.0,1.473,-1.473
-2.2,0.961,-3.161
-0.0,1.214,-1.214
-2.633,1.049,-3.682
-0.183,0.975,-1.158
0.933,1.141,-0.207
0.633,0.73,-0.097
-0.133,1.131,-1.264
0.683,0.989,-0.306
1.75,0.927,0.823
-11.833,1.063,-12.897
3.25,0.736,2.514
9.733,0.283,9.45
0.25,1.377,-1.127
0.167,1.952,-1.786
-1.633,1.694,-3.327
0.533,0.949,-0.415
2.117,1.032,1.085
8.767,1.295,7.472
-2.117,2.994,-5.11
-1.867,1.521,-3.387
-1.683,1.312,-2.996
7.633,0.942,6.691
-1.75,1.836,-3.586
-0.0,0.789,-0.789
-0.0,1.068,-1.068
-0.0,1.299,-1.299
-0.0,1.26,-1.26
7.45,1.189,6.261
10.25,2.002,8.248
7.567,3.192,4.375
6.417,3.13,3.286
6.917,2.696,4.221
8.017,3.26,4.756
3.7,3.078,0.622
10.5,3.011,7.489
9.533,3.234,6.3
2.833,3.751,-0.918
1.817,2.837,-1.021
1.917,2.414,-0.497
11.75,2.156,9.594
10.0,3.403,6.597
0.8,4.278,-3.478
-0.0,2.466,-2.466
6.5,1.762,4.738
-0.933,2.445,-3.378
-0.783,1.396,-2.179
3.183,1.418,1.765
1.833,1.312,0.521
7.967,1.744,6.223
8.45,1.752,6.698
-0.0,2.81,-2.81
4.1,1.741,2.359
8.667,1.604,7.062
4.267,2.675,1.591
8.717,2.897,5.82
0.533,2.979,-2.446
0.65,2.48,-1.83
12.9,2.796,10.104
5.45,4.972,0.478
7.133,3.311,3.822
6.8,3.387,3.413
6.3,3.972,2.328
7.25,3.711,3.539
0.133,4.344,-4.211
-1.25,3.135,-4.385
11.617,2.64,8.976
10.917,3.998,6.919
-0.5,4.015,-4.515
-0.7,2.871,-3.571
5.083,2.754,2.329
9.983,3.018,6.965
1.95,4.139,-2.189
-2.667,2.989,-5.656
3.167,1.804,1.362
8.767,2.06,6.707
9.967,2.868,7.099
1.917,3.677,-1.76
1.333,3.269,-1.936
1.217,2.807,-1.59
9.733,2.149,7.584
-1.683,3.018,-4.702
4.367,2.725,1.642
-1.0,2.83,-3.83
4.65,2.33,2.32
-2.6,2.978,-5.578
1.45,1.562,-0.112
3.867,1.718,2.149
4.85,2.691,2.159
7.3,2.741,4.559
5.033,3.072,1.961
8.217,3.124,5.093
1.05,3.49,-2.44
5.783,3.277,2.506
0.417,2.795,-2.378
3.367,2.267,1.1
-0.033,2.101,-2.135
-1.2,1.837,-3.037
-1.333,1.262,-2.595
6.667,0.974,5.693
6.85,1.869,4.981
6.467,2.605,3.861
1.75,2.09,-0.34
1.75,1.646,0.104
-1.1,2.264,-3.364
2.567,1.824,0.743
0.267,1.388,-1.121
1.983,1.269,0.714
0.767,1.288,-0.521
-0.4,1.771,-2.171
-0.25,1.302,-1.552
-0.2,1.279,-1.479
-0.45,0.925,-1.375
-0.0,0.714,-0.714
1.383,0.44,0.943
-0.133,0.658,-0.791
-0.7,1.044,-1.744
-0.0,0.784,-0.784
-1.4,0.763,-2.163
-1.0,0.815,-1.815
-1.417,0.679,-2.096
1.367,0.817,0.55
1.233,0.852,0.381
-0.0,1.069,-1.069
0.6,0.993,-0.393
-0.0,0.861,-0.861
3.033,1.133,1.901
2.833,1.644,1.189
1.683,1.646,0.037
3.5,1.271,2.229
1.967,1.755,0.211
1.817,2.181,-0.365
-0.717,1.839,-2.555
1.0,1.717,-0.717
-0.0,1.147,-1.147
0.183,1.324,-1.14
2.833,0.883,1.95
-1.0,1.601,-2.601
-1.7,1.013,-2.713
1.85,1.242,0.608
2.5,0.869,1.631
-1.867,1.334,-3.2
-2.25,0.924,-3.174
6.8,0.4,6.4
-2.617,1.856,-4.472
5.3,0.951,4.349
11.75,2.271,9.479
11.433,2.7,8.734
1.967,3.148,-1.182
13.15,2.175,10.975
12.9,2.403,10.497
17.5,2.558,14.942
1.867,3.183,-1.317
0.5,2.118,-1.618
5.733,1.777,3.956
5.25,2.169,3.081
3.0,2.083,0.917
3.567,1.635,1.931
3.4,1.717,1.683
13.3,1.377,11.923
