Test,Predictions,difference
1.2,-0.273,1.473
1.333,0.324,1.009
2.0,0.276,1.724
2.25,0.417,1.833
0.633,0.355,0.279
-0.667,0.667,-1.333
-0.0,-0.027,0.027
-2.6,-0.063,-2.537
1.25,-0.711,1.961
-3.167,0.274,-3.441
-1.733,-1.104,-0.629
-1.283,-0.96,-0.323
-0.967,-1.095,0.128
-2.75,-0.939,-1.811
-1.517,-1.336,-0.181
-0.0,-1.156,1.156
-1.35,-1.165,-0.185
0.5,-1.211,1.711
-1.433,-1.118,-0.315
-0.15,-1.208,1.058
-2.533,-0.897,-1.636
-0.0,-1.304,1.304
-1.5,-1.429,-0.071
-5.05,-0.402,-4.648
-1.4,-1.227,-0.173
-2.5,-1.082,-1.418
-4.067,-1.202,-2.864
-0.0,-1.241,1.241
-5.017,-1.006,-4.011
-5.15,-1.283,-3.867
0.083,-1.379,1.462
-0.0,-0.743,0.743
-1.867,-1.067,-0.799
-2.183,-1.097,-1.086
-2.2,-1.205,-0.995
-0.0,-1.029,1.029
-3.167,-0.671,-2.496
1.467,-1.187,2.654
-1.983,-0.334,-1.65
0.217,-0.922,1.138
-2.6,-0.743,-1.857
-0.983,-1.041,0.058
-2.35,-0.814,-1.536
-2.867,-0.626,-2.241
-0.0,-1.397,1.397
0.5,-0.708,1.208
-1.617,-1.11,-0.507
0.067,-1.24,1.307
-2.8,-0.531,-2.269
-2.683,-0.85,-1.833
0.217,-0.984,1.201
-1.033,-0.96,-0.073
-2.6,-0.993,-1.607
-1.667,-1.323,-0.344
1.0,-1.173,2.173
1.55,-0.492,2.042
-1.117,-0.394,-0.723
-2.467,-0.755,-1.712
-1.167,-1.069,-0.098
-1.333,-1.126,-0.207
1.25,-0.616,1.866
-0.7,-0.297,-0.403
-2.583,-0.785,-1.798
0.333,-0.874,1.208
-2.067,-0.4,-1.667
-1.417,-1.227,-0.19
0.633,-1.458,2.091
-2.183,-0.066,-2.118
0.6,-1.078,1.678
-0.833,-0.359,-0.475
-1.117,-0.073,-1.044
2.0,-0.361,2.361
-2.567,0.064,-2.63
-1.5,-0.564,-0.936
-3.617,-0.557,-3.059
-5.1,-0.974,-4.126
-2.15,-0.969,-1.181
-1.133,-0.822,-0.312
-1.967,-0.956,-1.011
-1.333,-0.617,-0.716
-3.0,-0.842,-2.158
-1.5,-0.977,-0.523
-0.5,-0.952,0.452
-1.883,-0.717,-1.166
-5.767,-0.826,-4.941
0.75,-1.063,1.813
-1.5,-1.002,-0.498
-1.667,-0.831,-0.835
0.6,-0.932,1.532
-0.167,-0.854,0.687
-2.967,-0.306,-2.66
-3.483,-0.675,-2.808
1.667,-0.71,2.377
-3.483,-0.443,-3.04
1.0,-0.578,1.578
-0.2,-0.222,0.022
0.517,-0.38,0.897
-0.05,-0.295,0.245
-0.283,-0.528,0.244
-0.0,-0.2,0.2
2.25,-0.56,2.81
-0.25,0.081,-0.331
0.683,-0.038,0.721
-1.6,0.034,-1.634
4.25,-0.227,4.477
-0.983,0.449,-1.432
1.65,-0.154,1.804
0.533,0.049,0.484
-1.5,0.385,-1.885
0.533,-0.338,0.872
-0.0,-0.136,0.136
-2.033,-0.237,-1.797
2.2,-0.823,3.023
-1.5,0.709,-2.209
1.583,-0.18,1.763
-0.0,0.436,-0.436
-0.617,0.502,-1.119
1.4,0.351,1.049
-0.05,0.424,-0.474
2.7,0.061,2.639
2.467,0.507,1.959
2.367,1.232,1.135
0.383,1.429,-1.046
0.717,1.394,-0.677
0.717,0.795,-0.078
1.25,0.885,0.365
-2.783,1.016,-3.799
-0.0,-0.041,0.041
-0.25,0.263,-0.513
-6.45,-0.085,-6.365
2.367,-0.817,3.184
5.3,-0.231,5.531
4.55,1.207,3.343
3.55,1.496,2.054
4.5,1.726,2.774
-0.5,2.136,-2.636
-0.0,1.451,-1.451
3.217,0.956,2.26
3.717,1.438,2.279
0.75,1.346,-0.596
-1.833,1.462,-3.295
-0.833,0.812,-1.645
4.75,0.934,3.816
-1.3,1.101,-2.401
4.45,1.025,3.425
1.067,1.519,-0.452
0.6,1.248,-0.648
2.417,0.904,1.513
4.217,1.266,2.951
4.433,1.586,2.848
1.783,2.045,-0.262
2.117,1.703,0.413
2.8,1.58,1.22
-1.467,1.374,-2.84
-1.3,1.144,-2.444
-0.75,0.853,-1.603
-0.75,0.543,-1.293
2.633,0.681,1.952
-1.917,0.855,-2.772
-0.067,0.512,-0.579
-2.233,0.554,-2.787
-0.0,0.395,-0.395
1.883,0.232,1.651
0.5,0.839,-0.339
0.467,0.442,0.024
-0.0,0.299,-0.299
4.117,0.399,3.717
-0.467,1.475,-1.942
4.467,0.787,3.68
-0.567,1.43,-1.997
3.767,1.39,2.377
0.4,2.042,-1.642
-0.433,1.544,-1.977
3.717,1.65,2.066
