Test,Predictions,difference
1.2,-0.077,1.277
1.333,-0.101,1.434
2.0,0.084,1.916
2.25,-0.072,2.322
0.633,0.192,0.441
-0.667,-0.269,-0.398
-0.0,-0.218,0.218
-2.6,-0.456,-2.144
1.25,-0.445,1.695
-3.167,-0.355,-2.811
-1.733,-0.317,-1.416
-1.283,-0.107,-1.176
-0.967,-0.722,-0.244
-2.75,-0.455,-2.295
-1.517,-0.795,-0.722
-0.0,-0.815,0.815
-1.35,-0.535,-0.815
0.5,-0.493,0.993
-1.433,-0.589,-0.845
-0.15,-0.701,0.551
-2.533,-0.279,-2.255
-0.0,-0.409,0.409
-1.5,-0.842,-0.658
-5.05,-0.283,-4.767
-1.4,-0.831,-0.569
-2.5,0.414,-2.914
-4.067,-0.425,-3.641
-0.0,-0.509,0.509
-5.017,-0.58,-4.437
-5.15,-0.956,-4.194
0.083,-0.729,0.812
-0.0,-0.291,0.291
-1.867,-0.752,-1.115
-2.183,0.572,-2.755
-2.2,-0.392,-1.808
-0.0,-0.712,0.712
-3.167,-0.142,-3.025
1.467,-0.722,2.188
-1.983,-0.726,-1.257
0.217,-0.467,0.683
-2.6,-0.533,-2.067
-0.983,-0.667,-0.316
-2.35,-0.578,-1.772
-2.867,-0.442,-2.424
-0.0,-0.537,0.537
0.5,0.06,0.44
-1.617,-0.538,-1.079
0.067,-0.146,0.213
-2.8,0.212,-3.012
-2.683,-0.132,-2.551
0.217,-0.338,0.554
-1.033,0.06,-1.094
-2.6,-0.367,-2.233
-1.667,-0.443,-1.224
1.0,-0.379,1.379
1.55,-0.568,2.118
-1.117,-0.173,-0.943
-2.467,-0.284,-2.183
-1.167,0.118,-1.285
-1.333,-0.64,-0.693
1.25,-0.368,1.618
-0.7,-0.379,-0.321
-2.583,-0.427,-2.156
0.333,-0.319,0.652
-2.067,-0.564,-1.503
-1.417,-0.604,-0.813
0.633,0.04,0.594
-2.183,-0.372,-1.811
0.6,-0.357,0.957
-0.833,-0.429,-0.404
-1.117,0.013,-1.129
2.0,0.444,1.556
-2.567,-0.189,-2.378
-1.5,-0.099,-1.401
-3.617,0.199,-3.816
-5.1,-0.394,-4.706
-2.15,-0.586,-1.564
-1.133,-0.296,-0.837
-1.967,-0.614,-1.352
-1.333,-0.47,-0.864
-3.0,-0.222,-2.778
-1.5,-0.652,-0.848
-0.5,-0.998,0.498
-1.883,-0.111,-1.772
-5.767,-0.552,-5.214
0.75,-0.559,1.309
-1.5,-0.471,-1.029
-1.667,-0.404,-1.262
0.6,-0.508,1.108
-0.167,-0.123,-0.044
-2.967,-0.192,-2.775
-3.483,-0.525,-2.959
1.667,-0.513,2.179
-3.483,-0.345,-3.138
1.0,-0.418,1.418
-0.2,-0.618,0.418
0.517,-0.441,0.958
-0.05,-0.363,0.313
-0.283,-0.317,0.034
-0.0,-0.414,0.414
2.25,-0.045,2.295
-0.25,0.282,-0.532
0.683,-0.25,0.933
-1.6,0.184,-1.784
4.25,-0.436,4.686
-0.983,-0.03,-0.953
1.65,-0.163,1.813
0.533,0.296,0.238
-1.5,0.078,-1.578
0.533,-0.206,0.739
-0.0,0.123,-0.123
-2.033,-0.203,-1.831
2.2,-0.659,2.859
-1.5,0.322,-1.822
1.583,-0.52,2.104
-0.0,-0.042,0.042
-0.617,0.278,-0.895
1.4,0.192,1.208
-0.05,0.121,-0.171
2.7,-0.388,3.088
2.467,0.299,2.167
2.367,0.441,1.926
0.383,0.415,-0.032
0.717,1.09,-0.374
0.717,0.28,0.437
1.25,0.01,1.24
-2.783,0.298,-3.082
-0.0,-0.449,0.449
-0.25,-0.607,0.357
-6.45,-0.219,-6.231
2.367,-0.701,3.068
5.3,-0.357,5.657
4.55,0.414,4.136
3.55,1.468,2.082
4.5,1.623,2.877
-0.5,2.256,-2.756
-0.0,0.991,-0.991
3.217,0.622,2.595
3.717,0.938,2.779
0.75,1.148,-0.398
-1.833,1.08,-2.913
-0.833,0.517,-1.35
4.75,0.178,4.572
-1.3,0.962,-2.262
4.45,0.54,3.91
1.067,0.991,0.075
0.6,0.737,-0.137
2.417,0.683,1.733
4.217,0.873,3.344
4.433,1.405,3.028
1.783,1.721,0.063
2.117,1.015,1.101
2.8,0.871,1.929
-1.467,0.761,-2.228
-1.3,0.659,-1.959
-0.75,-0.173,-0.577
-0.75,0.344,-1.094
2.633,-0.226,2.859
-1.917,-0.042,-1.875
-0.067,-0.251,0.184
-2.233,-0.056,-2.177
-0.0,0.335,-0.335
1.883,-0.279,2.163
0.5,0.021,0.479
0.467,-0.209,0.676
-0.0,-0.227,0.227
4.117,-0.205,4.321
-0.467,0.727,-1.194
4.467,-0.132,4.598
-0.567,0.552,-1.119
3.767,0.893,2.874
0.4,1.51,-1.11
-0.433,0.277,-0.71
3.717,0.693,3.024
4.817,0.521,4.295
-1.683,1.096,-2.78
5.0,0.579,4.421
-1.5,1.337,-2.837
2.55,0.548,2.002
2.25,1.174,1.076
0.25,3.082,-2.832
4.0,2.916,1.084
4.0,3.047,0.953
1.717,3.312,-1.595
0.75,3.119,-2.369
0.483,3.099,-2.616
0.717,2.095,-1.378
2.133,2.472,-0.338
-1.517,1.949,-3.465
-1.267,0.905,-2.172
0.7,0.51,0.19
-3.25,0.496,-3.746
1.8,-0.132,1.932
0.5,0.21,0.29
0.617,-0.087,0.703
-0.25,-0.111,-0.139
4.0,-0.13,4.13
1.667,0.743,0.924
0.617,0.324,0.292
0.117,0.375,-0.258
-0.617,0.413,-1.03
-0.25,-0.047,-0.203
2.5,-0.273,2.773
1.867,0.397,1.47
3.25,0.128,3.122
-1.1,0.973,-2.073
3.5,0.468,3.032
2.75,0.759,1.991
-1.983,1.161,-3.144
1.25,0.316,0.934
3.583,0.678,2.905
2.033,0.927,1.106
-2.9,1.275,-4.175
4.5,1.301,3.199
-0.0,1.076,-1.076
-2.2,0.806,-3.006
-0.0,0.572,-0.572
-2.633,0.121,-2.755
-0.183,-0.409,0.226
0.933,0.065,0.869
0.633,-0.057,0.69
-0.133,-0.222,0.089
0.683,-0.083,0.767
1.75,-0.022,1.772
-11.833,0.27,-12.103
3.25,0.337,2.913
9.733,0.122,9.611
0.25,1.022,-0.772
0.167,1.275,-1.108
-1.633,0.849,-2.482
0.533,0.321,0.212
2.117,0.753,1.364
8.767,0.551,8.216
-2.117,1.627,-3.744
-1.867,1.069,-2.936
-1.683,0.017,-1.7
7.633,-0.178,7.811
-1.75,0.484,-2.234
-0.0,0.923,-0.923
-0.0,0.286,-0.286
-0.0,0.272,-0.272
-0.0,0.324,-0.324
7.45,0.246,7.204
10.25,0.587,9.663
7.567,2.09,5.477
6.417,1.957,4.46
6.917,2.158,4.758
8.017,2.3,5.717
3.7,2.003,1.697
10.5,2.339,8.161
9.533,2.767,6.766
2.833,3.233,-0.4
1.817,2.898,-1.082
1.917,2.825,-0.908
11.75,2.02,9.73
10.0,3.567,6.433
0.8,3.01,-2.21
-0.0,2.754,-2.754
6.5,2.217,4.283
-0.933,2.794,-3.728
-0.783,1.988,-2.772
3.183,2.527,0.656
1.833,2.375,-0.542
7.967,2.334,5.632
8.45,2.458,5.992
-0.0,2.873,-2.873
4.1,1.758,2.342
8.667,2.745,5.922
4.267,3.055,1.212
8.717,3.059,5.658
0.533,2.922,-2.388
0.65,2.685,-2.035
12.9,2.889,10.011
5.45,2.987,2.463
7.133,2.814,4.32
6.8,3.307,3.493
6.3,3.064,3.236
7.25,2.978,4.272
0.133,3.33,-3.197
-1.25,3.023,-4.273
11.617,2.131,9.486
10.917,3.132,7.784
-0.5,3.214,-3.714
-0.7,2.825,-3.525
5.083,2.71,2.374
9.983,3.041,6.943
1.95,2.878,-0.928
-2.667,2.854,-5.52
3.167,2.457,0.709
8.767,2.594,6.172
9.967,2.997,6.97
1.917,3.108,-1.191
1.333,3.156,-1.822
1.217,2.394,-1.177
9.733,2.27,7.464
-1.683,2.723,-4.406
4.367,2.521,1.846
-1.0,2.526,-3.526
4.65,1.924,2.726
-2.6,2.786,-5.386
1.45,0.73,0.72
3.867,1.215,2.651
4.85,2.078,2.772
7.3,2.68,4.62
5.033,3.086,1.947
8.217,2.954,5.262
1.05,3.448,-2.398
5.783,2.92,2.863
0.417,2.954,-2.538
3.367,2.818,0.549
-0.033,2.584,-2.617
-1.2,2.186,-3.386
-1.333,1.436,-2.769
6.667,1.137,5.53
6.85,2.867,3.983
6.467,3.054,3.413
1.75,2.976,-1.226
1.75,2.256,-0.506
-1.1,2.57,-3.67
2.567,2.149,0.418
0.267,1.705,-1.438
1.983,1.658,0.325
0.767,1.228,-0.461
-0.4,1.8,-2.2
-0.25,1.458,-1.708
-0.2,0.641,-0.841
-0.45,0.615,-1.065
-0.0,0.557,-0.557
1.383,0.769,0.615
-0.133,0.461,-0.595
-0.7,0.192,-0.892
-0.0,0.006,-0.006
-1.4,0.03,-1.43
-1.0,0.121,-1.121
-1.417,-0.299,-1.117
1.367,-0.206,1.573
1.233,0.424,0.81
-0.0,-0.109,0.109
0.6,0.035,0.565
-0.0,-0.131,0.131
3.033,0.331,2.703
2.833,1.223,1.611
1.683,0.853,0.83
3.5,1.307,2.193
1.967,1.592,0.375
1.817,1.708,0.108
-0.717,1.054,-1.771
1.0,0.974,0.026
-0.0,0.917,-0.917
0.183,0.723,-0.54
2.833,0.633,2.2
-1.0,1.022,-2.022
-1.7,0.073,-1.773
1.85,0.672,1.178
2.5,0.448,2.052
-1.867,0.869,-2.736
-2.25,0.367,-2.617
6.8,0.134,6.666
-2.617,1.455,-4.071
5.3,0.876,4.424
11.75,3.107,8.643
11.433,3.254,8.179
1.967,3.325,-1.358
13.15,2.559,10.591
12.9,2.955,9.945
17.5,3.211,14.289
1.867,3.396,-1.529
0.5,3.236,-2.736
5.733,3.221,2.512
5.25,2.812,2.438
3.0,2.878,0.122
3.567,2.857,0.71
3.4,2.692,0.708
13.3,2.899,10.401
5.117,3.107,2.01
-0.0,2.952,-2.952
12.95,2.509,10.441
3.85,3.307,0.543
4.483,2.92,1.563
3.783,2.963,0.82
10.55,3.084,7.466
12.033,3.212,8.822
9.25,3.078,6.172
10.0,3.295,6.705
8.95,2.981,5.969
16.983,2.954,14.029
16.65,2.763,13.887
12.133,2.821,9.312
12.233,2.778,9.455
5.367,2.89,2.477
12.283,3.036,9.247
12.767,3.175,9.592
15.983,3.509,12.474
7.45,3.025,4.425
9.5,3.232,6.268
8.967,3.089,5.878
8.183,2.882,5.301
11.283,2.905,8.378
23.283,2.842,20.441
27.283,3.104,24.179
6.283,3.423,2.861
16.283,3.627,12.656
28.75,2.893,25.857
26.75,3.204,23.546
25.817,2.857,22.96
28.65,2.784,25.866
12.417,3.113,9.304
11.333,2.758,8.576
-1.6,2.867,-4.467
11.117,2.861,8.256
-0.5,3.467,-3.967
9.667,3.552,6.114
0.75,3.185,-2.435
-1.2,3.077,-4.277
-0.05,3.085,-3.135
3.8,3.03,0.77
20.45,2.982,17.468
25.717,3.087,22.63
2.467,3.142,-0.675
1.717,3.014,-1.297
0.75,3.157,-2.407
2.233,2.454,-0.22
31.783,3.223,28.56
30.2,2.917,27.283
4.317,2.99,1.327
-2.383,2.91,-5.293
0.5,2.945,-2.445
-0.05,3.1,-3.15
-0.133,2.935,-3.069
-0.75,2.579,-3.329
35.083,1.233,33.85
27.583,3.076,24.508
-1.317,5.203,-6.519
1.617,3.159,-1.542
37.3,3.016,34.284
39.75,4.067,35.683
35.517,4.098,31.419
38.917,4.003,34.914
-0.0,3.512,-3.512
10.25,3.703,6.547
10.25,3.471,6.779
-0.333,2.715,-3.048
0.233,3.137,-2.903
-0.567,2.933,-3.5
-4.1,3.003,-7.103
-0.983,2.996,-3.98
-2.733,2.399,-5.133
1.633,1.76,-0.126
1.8,1.703,0.097
-0.067,1.976,-2.042
0.3,-0.253,0.553
1.567,-0.245,1.812
2.6,-0.008,2.608
2.6,0.39,2.21
1.25,0.351,0.899
0.633,0.13,0.504
-2.617,0.126,-2.743
2.5,-0.145,2.645
-1.217,0.266,-1.483
0.5,-0.165,0.665
-2.167,0.209,-2.376
-0.0,0.121,-0.121
1.0,-0.296,1.296
0.95,0.167,0.783
1.45,-0.093,1.543
-0.25,-0.107,-0.143
-0.0,-0.177,0.177
0.05,0.16,-0.11
-1.0,-0.325,-0.675
-1.517,-0.16,-1.357
-0.017,0.144,-0.161
-0.0,-0.384,0.384
-1.25,-0.434,-0.816
-0.0,-0.064,0.064
-3.467,-0.318,-3.148
4.15,0.902,3.248
2.5,0.214,2.286
-0.0,0.491,-0.491
-0.0,0.463,-0.463
-0.0,0.223,-0.223
-0.0,0.553,-0.553
3.517,0.104,3.413
6.8,0.328,6.472
-0.0,2.36,-2.36
12.9,0.785,12.115
1.433,2.217,-0.784
1.217,1.528,-0.311
12.417,1.058,11.358
9.45,1.799,7.651
7.517,3.353,4.164
8.3,2.771,5.529
8.45,2.606,5.844
5.183,2.685,2.498
8.1,2.758,5.342
4.317,3.152,1.165
7.0,3.154,3.846
8.1,2.882,5.218
7.283,2.359,4.924
7.983,2.913,5.071
7.8,2.877,4.923
2.35,2.672,-0.322
7.05,3.417,3.633
5.667,2.997,2.669
1.85,3.154,-1.304
1.85,3.132,-1.282
-0.0,2.401,-2.401
4.633,1.826,2.807
-0.633,1.755,-2.389
-1.767,1.653,-3.419
-0.883,1.066,-1.95
-1.067,0.414,-1.481
-2.067,0.121,-2.187
-1.117,0.099,-1.215
-1.467,0.152,-1.619
-1.933,-0.237,-1.696
-2.633,-0.252,-2.381
-3.383,0.237,-3.62
-2.367,-0.498,-1.869
0.75,-0.198,0.948
-3.35,-0.396,-2.954
-0.567,-0.129,-0.438
-1.083,0.362,-1.446
-3.067,-0.302,-2.765
-0.017,-0.234,0.217
-2.033,0.752,-2.785
-1.55,-0.194,-1.356
1.683,-0.394,2.078
-2.05,0.083,-2.133
-1.483,-0.357,-1.126
2.817,-0.218,3.035
3.317,0.154,3.162
2.517,0.381,2.136
8.0,0.043,7.957
5.367,1.612,3.754
0.933,1.239,-0.306
4.95,1.285,3.665
1.667,1.505,0.162
7.75,1.749,6.001
-2.567,2.799,-5.366
-0.25,1.706,-1.956
-1.5,-0.546,-0.954
-0.367,-0.701,0.335
-1.167,-0.531,-0.636
0.517,-0.551,1.068
-0.0,-0.359,0.359
1.633,-0.636,2.27
2.133,-0.356,2.489
0.167,-0.062,0.229
1.467,-0.011,1.478
-0.45,-0.064,-0.386
-1.0,0.227,-1.227
-0.4,0.141,-0.541
3.317,-0.316,3.632
-1.6,0.358,-1.958
0.3,0.045,0.255
0.183,-0.235,0.419
-0.0,-0.057,0.057
-3.417,0.05,-3.467
-4.35,-0.403,-3.947
-1.5,-0.484,-1.016
1.167,-0.16,1.327
-1.233,-0.474,-0.759
3.733,-0.683,4.417
-0.2,0.373,-0.573
-1.1,-0.34,-0.76
1.3,0.876,0.424
0.667,0.138,0.529
2.85,0.155,2.695
-0.25,0.365,-0.615
2.567,0.009,2.557
-1.333,0.584,-1.917
2.7,0.095,2.605
0.9,0.132,0.768
-4.683,1.414,-6.098
0.683,0.09,0.593
-2.65,-0.27,-2.38
0.417,0.165,0.252
2.5,-0.23,2.73
3.683,-0.046,3.729
1.6,1.107,0.493
3.0,0.622,2.378
1.25,0.983,0.267
2.083,0.645,1.438
5.717,0.858,4.859
5.967,1.461,4.506
0.217,2.77,-2.553
3.483,1.744,1.739
-0.767,1.472,-2.239
3.083,1.206,1.877
0.283,1.358,-1.075
-0.25,1.057,-1.307
2.5,0.986,1.514
-0.083,0.78,-0.864
3.3,0.907,2.393
1.5,1.053,0.447
-1.267,0.971,-2.238
-0.75,0.375,-1.125
-0.0,0.311,-0.311
5.817,0.508,5.309
3.967,0.904,3.063
6.817,1.512,5.305
6.533,1.591,4.943
6.383,3.178,3.206
-1.25,2.212,-3.462
2.5,1.475,1.025
-1.05,1.774,-2.824
-1.333,1.562,-2.896
2.017,0.532,1.485
-0.0,0.676,-0.676
-0.85,0.356,-1.206
3.933,0.346,3.587
-1.317,1.565,-2.881
10.083,0.643,9.44
8.95,2.161,6.789
10.2,2.818,7.382
15.0,3.305,11.695
0.483,3.037,-2.553
-0.233,3.16,-3.393
11.5,3.101,8.399
6.25,3.238,3.012
8.433,3.123,5.31
5.3,3.154,2.146
-1.217,3.359,-4.576
3.633,3.365,0.268
16.017,2.134,13.883
0.6,3.288,-2.688
3.5,2.8,0.7
1.5,3.15,-1.65
0.433,2.882,-2.449
2.75,1.941,0.809
3.517,-0.235,3.752
-3.567,-0.054,-3.512
-0.0,-0.321,0.321
0.75,-0.388,1.138
1.317,-0.099,1.416
0.517,-0.362,0.879
0.417,-0.175,0.592
0.3,-0.2,0.5
0.267,-0.127,0.394
-3.767,-0.249,-3.518
-4.25,-0.197,-4.053
-0.0,-0.237,0.237
-0.0,-0.572,0.572
5.367,-0.28,5.646
-1.25,0.376,-1.626
-2.367,-0.229,-2.138
0.583,-0.372,0.955
-0.0,-0.091,0.091
-1.883,-0.278,-1.605
-2.183,-0.477,-1.706
0.083,-0.316,0.399
0.833,-0.412,1.245
-0.0,-0.675,0.675
1.1,-0.113,1.213
-1.0,-0.363,-0.637
-0.5,0.523,-1.023
-2.017,-0.175,-1.841
-0.0,-0.298,0.298
-0.0,-0.177,0.177
-1.083,-0.582,-0.502
-1.533,-0.356,-1.178
-0.117,-0.363,0.246
0.783,-0.765,1.548
-0.0,0.787,-0.787
0.183,-0.012,0.195
-0.633,-0.435,-0.199
0.633,-0.092,0.726
1.717,-0.467,2.183
-3.1,-0.376,-2.724
0.167,-0.229,0.395
3.75,-0.347,4.097
2.5,-0.07,2.57
1.2,0.264,0.936
0.333,0.332,0.001
-0.0,0.029,-0.029
1.95,0.637,1.313
1.65,0.088,1.562
2.183,0.47,1.714
1.167,0.708,0.459
-0.417,0.321,-0.738
1.05,0.253,0.797
0.5,0.388,0.112
0.317,0.125,0.192
0.183,0.184,-0.001
-0.383,0.151,-0.535
0.267,-0.324,0.591
0.25,-0.425,0.675
0.167,-0.206,0.372
