Test,Predictions,difference
1.2,2.112,-0.912
1.333,2.106,-0.773
2.0,2.171,-0.171
2.25,2.059,0.191
0.633,2.065,-1.431
-0.667,2.123,-2.79
0.0,1.798,-1.798
-2.6,-0.111,-2.489
1.25,-0.123,1.373
-3.167,1.044,-4.211
-1.733,-0.016,-1.718
-1.283,0.663,-1.947
-0.967,-0.091,-0.876
-2.75,0.492,-3.242
-1.517,-0.897,-0.619
0.0,-1.371,1.371
-1.35,-0.972,-0.378
0.5,1.498,-0.998
-1.433,-0.901,-0.533
-0.15,1.633,-1.783
-2.533,-0.871,-1.663
0.0,-0.482,0.482
-1.5,-0.916,-0.584
-5.05,-0.126,-4.924
-1.4,0.018,-1.418
-2.5,-0.755,-1.745
-4.067,-0.355,-3.711
0.0,0.131,-0.131
-5.017,0.741,-5.757
-5.15,-0.078,-5.072
0.083,-0.24,0.323
0.0,0.69,-0.69
-1.867,-0.969,-0.897
-2.183,-1.025,-1.158
-2.2,-0.936,-1.264
0.0,0.071,-0.071
-3.167,0.734,-3.901
1.467,0.286,1.181
-1.983,1.18,-3.163
0.217,0.461,-0.244
-2.6,-1.391,-1.209
-0.983,-0.225,-0.758
-2.35,-0.036,-2.314
-2.867,0.641,-3.508
0.0,0.682,-0.682
0.5,0.827,-0.327
-1.617,1.174,-2.791
0.067,-0.654,0.72
-2.8,0.278,-3.078
-2.683,0.446,-3.13
0.217,0.242,-0.025
-1.033,0.048,-1.081
-2.6,-1.522,-1.078
-1.667,-0.301,-1.366
1.0,-0.14,1.14
1.55,-0.425,1.975
-1.117,-0.371,-0.746
-2.467,-0.997,-1.47
-1.167,0.002,-1.169
-1.333,0.416,-1.749
1.25,-0.05,1.3
-0.7,-0.894,0.194
-2.583,0.077,-2.66
0.333,-0.388,0.722
-2.067,0.257,-2.324
-1.417,0.595,-2.012
0.633,0.787,-0.153
-2.183,0.973,-3.156
0.6,-0.425,1.025
-0.833,1.128,-1.961
-1.117,0.823,-1.94
2.0,0.512,1.488
-2.567,1.191,-3.757
-1.5,-0.102,-1.398
-3.617,-0.577,-3.04
-5.1,-0.885,-4.215
-2.15,-0.847,-1.303
-1.133,-0.733,-0.4
-1.967,0.118,-2.085
-1.333,-0.797,-0.536
-3.0,-0.163,-2.837
-1.5,-1.0,-0.5
-0.5,-0.709,0.209
-1.883,0.217,-2.1
-5.767,-0.135,-5.631
0.75,-0.873,1.623
-1.5,0.987,-2.487
-1.667,0.393,-2.06
0.6,0.206,0.394
-0.167,0.381,-0.547
-2.967,0.956,-3.923
-3.483,0.007,-3.491
1.667,-0.062,1.729
-3.483,0.602,-4.085
1.0,-0.071,1.071
-0.2,1.21,-1.41
0.517,0.699,-0.182
-0.05,1.33,-1.38
-0.283,0.529,-0.812
0.0,0.828,-0.828
2.25,0.64,1.61
-0.25,1.953,-2.203
0.683,2.077,-1.393
-1.6,2.126,-3.726
4.25,1.939,2.311
-0.983,2.325,-3.309
1.65,2.174,-0.524
0.533,1.894,-1.36
-1.5,2.165,-3.665
0.533,1.939,-1.406
0.0,0.142,-0.142
-2.033,-0.167,-1.867
2.2,-0.396,2.596
-1.5,0.8,-2.3
1.583,-0.001,1.584
0.0,1.372,-1.372
-0.617,-0.132,-0.485
1.4,0.415,0.985
-0.05,1.928,-1.978
2.7,0.748,1.952
2.467,2.252,0.214
2.367,2.33,0.036
0.383,2.347,-1.964
0.717,2.322,-1.605
0.717,2.296,-1.58
1.25,2.234,-0.984
-2.783,2.173,-4.957
0.0,-0.488,0.488
-0.25,0.516,-0.766
-6.45,-0.359,-6.091
2.367,-0.486,2.852
5.3,0.104,5.196
4.55,2.353,2.197
3.55,2.492,1.058
4.5,2.506,1.994
-0.5,2.59,-3.09
0.0,2.355,-2.355
3.217,2.194,1.023
3.717,2.337,1.38
0.75,2.493,-1.743
-1.833,2.368,-4.201
-0.833,2.101,-2.934
4.75,0.343,4.407
-1.3,2.352,-3.652
4.45,2.021,2.429
1.067,2.309,-1.242
0.6,2.314,-1.714
2.417,2.27,0.147
4.217,2.324,1.892
4.433,2.454,1.979
1.783,2.613,-0.83
2.117,2.526,-0.409
2.8,2.477,0.323
-1.467,2.468,-3.935
-1.3,2.167,-3.467
-0.75,1.985,-2.735
