Test,Predictions,difference
1.2,1.699,-0.499
1.333,2.122,-0.788
2.0,1.928,0.072
2.25,1.727,0.523
0.633,1.815,-1.182
-0.667,1.966,-2.632
-0.0,1.781,-1.781
-2.6,1.357,-3.957
1.25,1.363,-0.113
-3.167,1.474,-4.641
-1.733,0.052,-1.786
-1.283,1.121,-2.404
-0.967,0.226,-1.193
-2.75,1.025,-3.775
-1.517,0.87,-2.387
-0.0,0.621,-0.621
-1.35,0.364,-1.714
0.5,1.093,-0.593
-1.433,-0.365,-1.068
-0.15,-0.773,0.623
-2.533,0.052,-2.585
-0.0,0.943,-0.943
-1.5,0.899,-2.399
-5.05,1.381,-6.431
-1.4,0.714,-2.114
-2.5,1.421,-3.921
-4.067,1.175,-5.242
-0.0,0.673,-0.673
-5.017,0.168,-5.185
-5.15,0.63,-5.78
0.083,-0.377,0.46
-0.0,1.057,-1.057
-1.867,1.16,-3.027
-2.183,1.07,-3.254
-2.2,0.996,-3.196
-0.0,0.608,-0.608
-3.167,1.222,-4.388
1.467,0.83,0.637
-1.983,1.343,-3.327
0.217,1.065,-0.848
-2.6,0.379,-2.979
-0.983,0.932,-1.915
-2.35,1.213,-3.563
-2.867,1.17,-4.036
-0.0,0.735,-0.735
0.5,1.391,-0.891
-1.617,1.282,-2.898
0.067,1.406,-1.34
-2.8,1.179,-3.979
-2.683,1.004,-3.687
0.217,-0.61,0.826
-1.033,1.012,-2.046
-2.6,0.759,-3.359
-1.667,0.861,-2.527
1.0,0.983,0.017
1.55,0.444,1.106
-1.117,1.609,-2.725
-2.467,1.052,-3.518
-1.167,0.454,-1.621
-1.333,0.921,-2.254
1.25,0.403,0.847
-0.7,1.329,-2.029
-2.583,0.835,-3.418
0.333,0.734,-0.4
-2.067,1.2,-3.266
-1.417,0.766,-2.182
0.633,1.136,-0.503
-2.183,1.341,-3.524
0.6,-1.382,1.982
-0.833,-0.354,-0.479
-1.117,-0.319,-0.798
2.0,-0.878,2.878
-2.567,1.647,-4.214
-1.5,0.492,-1.992
-3.617,0.191,-3.808
-5.1,-0.311,-4.789
-2.15,0.297,-2.447
-1.133,0.961,-2.095
-1.967,-0.328,-1.639
-1.333,-1.064,-0.269
-3.0,0.59,-3.59
-1.5,1.073,-2.573
-0.5,-0.504,0.004
-1.883,-1.111,-0.772
-5.767,-0.084,-5.683
0.75,0.739,0.011
-1.5,-0.656,-0.844
-1.667,0.615,-2.282
0.6,-0.094,0.694
-0.167,-0.324,0.157
-2.967,0.264,-3.23
-3.483,0.8,-4.284
1.667,0.613,1.053
-3.483,-0.904,-2.579
1.0,0.587,0.413
-0.2,-0.488,0.288
0.517,-0.75,1.267
-0.05,0.925,-0.975
-0.283,0.796,-1.079
-0.0,1.148,-1.148
2.25,0.582,1.668
-0.25,1.436,-1.686
0.683,1.218,-0.535
-1.6,-0.538,-1.062
4.25,0.681,3.569
-0.983,1.744,-2.727
1.65,0.919,0.731
0.533,1.155,-0.621
-1.5,1.42,-2.92
0.533,-1.002,1.535
-0.0,0.624,-0.624
-2.033,1.143,-3.177
2.2,0.444,1.756
-1.5,1.494,-2.994
1.583,1.04,0.543
-0.0,1.689,-1.689
-0.617,1.544,-2.16
1.4,1.439,-0.039
-0.05,1.255,-1.305
2.7,1.287,1.413
2.467,1.67,0.796
2.367,1.919,0.447
0.383,1.881,-1.498
0.717,1.986,-1.269
0.717,1.255,-0.538
1.25,1.708,-0.458
-2.783,1.438,-4.222
-0.0,0.523,-0.523
-0.25,0.746,-0.996
