Test,Predictions,difference
1.2,-0.015,1.215
1.333,0.061,1.272
2.0,0.103,1.897
2.25,0.196,2.054
0.633,0.354,0.28
-0.667,0.309,-0.975
-0.0,0.119,-0.119
-2.6,0.019,-2.619
1.25,-0.141,1.391
-3.167,-0.13,-3.036
-1.733,-0.192,-1.542
-1.283,-0.195,-1.088
-0.967,-0.197,-0.77
-2.75,-0.198,-2.552
-1.517,-0.199,-1.318
-0.0,-0.2,0.2
-1.35,-0.2,-1.15
0.5,-0.199,0.699
-1.433,-0.199,-1.234
-0.15,-0.199,0.049
-2.533,-0.199,-2.335
-0.0,-0.199,0.199
-1.5,-0.199,-1.301
-5.05,-0.199,-4.851
-1.4,-0.2,-1.2
-2.5,-0.2,-2.3
-4.067,-0.201,-3.866
-0.0,-0.201,0.201
-5.017,-0.201,-4.815
-5.15,-0.201,-4.949
0.083,-0.202,0.285
-0.0,-0.202,0.202
-1.867,-0.201,-1.666
-2.183,-0.201,-1.983
-2.2,-0.201,-1.999
-0.0,-0.201,0.201
-3.167,-0.2,-2.966
1.467,-0.2,1.667
-1.983,-0.199,-1.785
0.217,-0.198,0.415
-2.6,-0.197,-2.403
-0.983,-0.198,-0.785
-2.35,-0.198,-2.152
-2.867,-0.199,-2.668
-0.0,-0.2,0.2
0.5,-0.2,0.7
-1.617,-0.198,-1.418
0.067,-0.198,0.265
-2.8,-0.197,-2.603
-2.683,-0.198,-2.485
0.217,-0.199,0.416
-1.033,-0.198,-0.835
-2.6,-0.198,-2.402
-1.667,-0.199,-1.467
1.0,-0.2,1.2
1.55,-0.198,1.748
-1.117,-0.195,-0.922
-2.467,-0.194,-2.272
-1.167,-0.196,-0.971
-1.333,-0.196,-1.137
1.25,-0.196,1.446
-0.7,-0.194,-0.506
-2.583,-0.193,-2.39
0.333,-0.195,0.528
-2.067,-0.195,-1.872
-1.417,-0.196,-1.221
0.633,-0.197,0.831
-2.183,-0.195,-1.988
0.6,-0.197,0.797
-0.833,-0.196,-0.638
-1.117,-0.196,-0.921
2.0,-0.197,2.197
-2.567,-0.195,-2.372
-1.5,-0.197,-1.303
-3.617,-0.199,-3.418
-5.1,-0.2,-4.9
-2.15,-0.201,-1.949
-1.133,-0.201,-0.932
-1.967,-0.201,-1.765
-1.333,-0.201,-1.132
-3.0,-0.201,-2.799
-1.5,-0.202,-1.298
-0.5,-0.202,-0.298
-1.883,-0.202,-1.682
-5.767,-0.202,-5.565
0.75,-0.202,0.952
-1.5,-0.202,-1.298
