Test,Predictions,difference
1.2,-0.444,1.644
1.333,-0.435,1.768
2.0,-0.428,2.428
2.25,-0.415,2.665
0.633,-0.371,1.004
-0.667,-0.377,-0.289
-0.0,-0.428,0.428
-2.6,-0.447,-2.153
1.25,-0.464,1.714
-3.167,-0.463,-2.704
-1.733,-0.471,-1.262
-1.283,-0.475,-0.808
-0.967,-0.475,-0.492
-2.75,-0.476,-2.274
-1.517,-0.476,-1.04
-0.0,-0.476,0.476
-1.35,-0.475,-0.875
0.5,-0.475,0.975
-1.433,-0.474,-0.959
-0.15,-0.474,0.324
-2.533,-0.474,-2.06
-0.0,-0.475,0.475
-1.5,-0.474,-1.026
-5.05,-0.476,-4.574
-1.4,-0.478,-0.922
-2.5,-0.477,-2.023
-4.067,-0.478,-3.589
-0.0,-0.48,0.48
-5.017,-0.479,-4.537
-5.15,-0.481,-4.669
0.083,-0.481,0.565
-0.0,-0.48,0.48
-1.867,-0.475,-1.391
-2.183,-0.476,-1.707
-2.2,-0.477,-1.723
-0.0,-0.479,0.479
-3.167,-0.476,-2.691
1.467,-0.478,1.944
-1.983,-0.472,-1.511
0.217,-0.474,0.691
-2.6,-0.472,-2.128
-0.983,-0.476,-0.507
-2.35,-0.476,-1.874
-2.867,-0.478,-2.389
-0.0,-0.479,0.479
0.5,-0.478,0.978
-1.617,-0.476,-1.141
0.067,-0.476,0.543
-2.8,-0.475,-2.325
-2.683,-0.478,-2.205
0.217,-0.479,0.695
-1.033,-0.475,-0.558
-2.6,-0.475,-2.125
-1.667,-0.479,-1.188
1.0,-0.479,1.479
1.55,-0.476,2.026
-1.117,-0.468,-0.648
-2.467,-0.471,-1.996
-1.167,-0.476,-0.691
-1.333,-0.476,-0.857
1.25,-0.476,1.726
-0.7,-0.47,-0.23
-2.583,-0.472,-2.111
0.333,-0.475,0.808
-2.067,-0.473,-1.594
-1.417,-0.476,-0.94
0.633,-0.478,1.112
-2.183,-0.475,-1.709
0.6,-0.48,1.08
-0.833,-0.477,-0.356
-1.117,-0.477,-0.64
2.0,-0.478,2.478
-2.567,-0.47,-2.097
-1.5,-0.477,-1.023
-3.617,-0.479,-3.138
-5.1,-0.482,-4.618
-2.15,-0.484,-1.666
-1.133,-0.483,-0.65
-1.967,-0.483,-1.484
-1.333,-0.483,-0.851
-3.0,-0.483,-2.517
-1.5,-0.482,-1.018
-0.5,-0.483,-0.017
-1.883,-0.482,-1.401
-5.767,-0.483,-5.284
0.75,-0.485,1.235
-1.5,-0.481,-1.019
-1.667,-0.482,-1.185
0.6,-0.482,1.082
-0.167,-0.48,0.313
-2.967,-0.446,-2.521
-3.483,-0.458,-3.025
1.667,-0.475,2.142
-3.483,-0.459,-3.024
1.0,-0.462,1.462
-0.2,-0.459,0.259
0.517,-0.459,0.975
-0.05,-0.457,0.407
-0.283,-0.458,0.175
-0.0,-0.456,0.456
2.25,-0.457,2.707
-0.25,-0.444,0.194
0.683,-0.446,1.13
-1.6,-0.444,-1.156
4.25,-0.447,4.697
-0.983,-0.413,-0.571
1.65,-0.427,2.077
0.533,-0.392,0.925
-1.5,-0.382,-1.118
0.533,-0.422,0.956
-0.0,-0.434,0.434
-2.033,-0.438,-1.595
2.2,-0.448,2.648
-1.5,-0.43,-1.07
1.583,-0.441,2.025
-0.0,-0.431,0.431
-0.617,-0.425,-0.192
1.4,-0.426,1.826
-0.05,-0.409,0.359
2.7,-0.423,3.123
2.467,-0.335,2.802
2.367,0.076,2.291
