Test,Predictions,difference
1.2,-0.997,2.197
1.333,-0.951,2.284
2.0,-0.96,2.96
2.25,-0.888,3.138
0.633,-0.732,1.365
-0.667,-0.639,-0.028
-0.0,-0.652,0.652
-2.6,-1.117,-1.483
1.25,-1.327,2.577
-3.167,-1.275,-1.892
-1.733,-1.255,-0.479
-1.283,-1.055,-0.228
-0.967,-1.341,0.374
-2.75,-1.241,-1.509
-1.517,-1.023,-0.494
-0.0,-1.373,1.373
-1.35,-1.338,-0.012
0.5,-1.371,1.871
-1.433,-1.314,-0.119
-0.15,-1.186,1.036
-2.533,-1.246,-1.287
-0.0,-1.145,1.145
-1.5,-1.217,-0.283
-5.05,-1.12,-3.93
-1.4,-1.369,-0.031
-2.5,-1.167,-1.333
-4.067,-0.886,-3.181
-0.0,-1.269,1.269
-5.017,-1.09,-3.926
-5.15,-1.318,-3.832
0.083,-0.998,1.082
-0.0,-1.102,1.102
-1.867,-1.281,-0.586
-2.183,-1.152,-1.031
-2.2,-1.271,-0.929
-0.0,-1.21,1.21
-3.167,-0.988,-2.178
1.467,-1.344,2.81
-1.983,-1.141,-0.842
0.217,-1.297,1.513
-2.6,-1.211,-1.389
-0.983,-1.248,0.265
-2.35,-0.895,-1.455
-2.867,-1.223,-1.643
-0.0,-1.399,1.399
0.5,-1.223,1.723
-1.617,-1.217,-0.399
0.067,-1.219,1.286
-2.8,-0.839,-1.961
-2.683,-1.225,-1.458
0.217,-1.137,1.353
-1.033,-1.158,0.125
-2.6,-1.286,-1.314
-1.667,-1.245,-0.422
1.0,-1.343,2.343
1.55,-1.002,2.552
-1.117,-1.333,0.216
-2.467,-1.1,-1.367
-1.167,-1.147,-0.02
-1.333,-1.383,0.05
1.25,-1.245,2.495
-0.7,-1.226,0.526
-2.583,-1.271,-1.312
0.333,-1.316,1.649
-2.067,-1.215,-0.852
-1.417,-1.383,-0.034
0.633,-1.354,1.987
-2.183,-1.109,-1.074
0.6,-1.228,1.828
-0.833,-1.194,0.361
-1.117,-1.057,-0.06
2.0,-1.195,3.195
-2.567,-0.941,-1.626
-1.5,-1.153,-0.347
-3.617,-1.029,-2.588
-5.1,-1.227,-3.873
-2.15,-1.003,-1.147
-1.133,-1.403,0.27
-1.967,-1.199,-0.767
-1.333,-1.142,-0.191
-3.0,-1.073,-1.927
-1.5,-1.292,-0.208
-0.5,-1.364,0.864
-1.883,-1.16,-0.723
-5.767,-1.11,-4.657
0.75,-1.31,2.06
-1.5,-1.128,-0.372
-1.667,-1.288,-0.378
0.6,-1.284,1.884
-0.167,-1.253,1.086
-2.967,-0.95,-2.016
-3.483,-1.054,-2.429
1.667,-1.19,2.857
-3.483,-1.18,-2.304
1.0,-1.068,2.068
-0.2,-1.111,0.911
0.517,-0.827,1.344
-0.05,-1.089,1.039
-0.283,-1.23,0.946
-0.0,-1.134,1.134
2.25,-1.162,3.412
-0.25,-0.864,0.614
0.683,-1.093,1.777
-1.6,-1.08,-0.52
4.25,-0.881,5.131
-0.983,-1.0,0.017
1.65,-0.929,2.579
0.533,-0.806,1.339
-1.5,-0.872,-0.628
0.533,-0.885,1.418
-0.0,-0.908,0.908
-2.033,-0.986,-1.048
2.2,-1.052,3.252
-1.5,-0.849,-0.651
1.583,-1.113,2.696
-0.0,-0.656,0.656
-0.617,-0.402,-0.215
1.4,-0.682,2.082
-0.05,-0.44,0.39
