Test,Predictions,difference
1.2,-0.057,1.257
1.333,0.068,1.265
2.0,-0.056,2.056
2.25,0.193,2.057
0.633,0.459,0.174
-0.667,0.305,-0.971
-0.0,0.007,-0.007
-2.6,-0.059,-2.541
1.25,-0.491,1.741
-3.167,-0.079,-3.088
-1.733,-0.779,-0.954
-1.283,-0.836,-0.447
-0.967,-0.95,-0.017
-2.75,-0.913,-1.837
-1.517,-1.262,-0.255
-0.0,-1.338,1.338
-1.35,-1.163,-0.187
0.5,-1.253,1.753
-1.433,-0.93,-0.503
-0.15,-1.117,0.967
-2.533,-0.835,-1.698
-0.0,-1.242,1.242
-1.5,-1.05,-0.45
-5.05,-0.735,-4.315
-1.4,-1.453,0.053
-2.5,-1.398,-1.102
-4.067,-1.536,-2.53
-0.0,-1.681,1.681
-5.017,-1.253,-3.764
-5.15,-1.747,-3.403
0.083,-1.996,2.079
-0.0,-1.05,1.05
-1.867,-1.088,-0.779
-2.183,-1.355,-0.828
-2.2,-1.45,-0.75
-0.0,-0.992,0.992
-3.167,-0.693,-2.474
1.467,-1.176,2.643
-1.983,-0.195,-1.788
0.217,-0.79,1.007
-2.6,-0.632,-1.968
-0.983,-0.986,0.003
-2.35,-0.771,-1.579
-2.867,-0.627,-2.239
-0.0,-0.983,0.983
0.5,-0.762,1.262
-1.617,-0.579,-1.038
0.067,-0.897,0.963
-2.8,-0.686,-2.114
-2.683,-0.575,-2.109
0.217,-0.944,1.161
-1.033,-0.807,-0.226
-2.6,-0.977,-1.623
-1.667,-1.146,-0.521
1.0,-1.161,2.161
1.55,-0.816,2.366
-1.117,-0.42,-0.696
-2.467,-0.738,-1.729
-1.167,-0.796,-0.371
-1.333,-0.883,-0.451
1.25,-0.593,1.843
-0.7,-0.527,-0.173
-2.583,-0.482,-2.101
0.333,-0.765,1.098
-2.067,-0.65,-1.417
-1.417,-0.897,-0.519
0.633,-0.853,1.486
-2.183,-0.459,-1.725
0.6,-0.82,1.42
-0.833,-0.196,-0.637
-1.117,-0.313,-0.804
2.0,-0.528,2.528
-2.567,-0.176,-2.391
-1.5,-0.644,-0.856
-3.617,-0.772,-2.844
-5.1,-1.144,-3.956
-2.15,-1.259,-0.891
-1.133,-1.336,0.203
-1.967,-1.216,-0.751
-1.333,-1.281,-0.052
-3.0,-0.838,-2.162
-1.5,-1.256,-0.244
-0.5,-1.196,0.696
-1.883,-0.999,-0.885
-5.767,-1.053,-4.713
0.75,-1.225,1.975
-1.5,-0.783,-0.717
-1.667,-0.896,-0.771
0.6,-0.921,1.521
-0.167,-0.581,0.414
-2.967,0.012,-2.979
-3.483,-0.494,-2.989
1.667,-0.669,2.336
-3.483,-0.083,-3.401
1.0,-0.806,1.806
-0.2,-0.397,0.197
0.517,-0.467,0.984
-0.05,-0.199,0.149
-0.283,-0.182,-0.102
-0.0,-0.234,0.234
2.25,-0.172,2.422
-0.25,0.218,-0.468
0.683,-0.07,0.753
-1.6,-0.001,-1.599
4.25,-0.427,4.677
-0.983,0.443,-1.426
1.65,-0.115,1.765
0.533,0.473,0.06
-1.5,0.238,-1.738
0.533,-0.125,0.658
-0.0,0.078,-0.078
-2.033,0.154,-2.187
2.2,-0.348,2.548
-1.5,0.554,-2.054
1.583,-0.08,1.663
-0.0,0.312,-0.312
-0.617,0.433,-1.049
1.4,0.123,1.277
-0.05,0.278,-0.328
2.7,0.048,2.652
2.467,0.593,1.874
2.367,0.757,1.61
0.383,0.956,-0.572
0.717,0.689,0.028
0.717,0.652,0.065
1.25,0.641,0.609
-2.783,0.733,-3.516
-0.0,0.012,-0.012
-0.25,0.532,-0.782
-6.45,0.109,-6.559
2.367,-0.593,2.96
5.3,0.239,5.061
