Test,Predictions,difference
1.2,0.767,0.433
1.333,0.932,0.401
2.0,0.396,1.604
2.25,0.335,1.915
0.633,0.388,0.245
-0.667,0.372,-1.039
0.0,0.174,-0.174
-2.6,0.141,-2.741
1.25,0.039,1.211
-3.167,0.377,-3.543
-1.733,0.037,-1.77
-1.283,0.056,-1.34
-0.967,0.101,-1.067
-2.75,0.064,-2.814
-1.517,0.053,-1.57
0.0,0.233,-0.233
-1.35,0.314,-1.664
0.5,0.385,0.115
-1.433,0.132,-1.565
-0.15,0.441,-0.591
-2.533,0.371,-2.905
0.0,0.034,-0.034
-1.5,0.426,-1.926
-5.05,0.115,-5.165
-1.4,-0.007,-1.393
-2.5,0.124,-2.624
-4.067,0.018,-4.085
0.0,-0.01,0.01
-5.017,0.081,-5.097
-5.15,-0.013,-5.137
0.083,-0.017,0.101
0.0,0.372,-0.372
-1.867,0.32,-2.187
-2.183,0.075,-2.258
-2.2,0.041,-2.241
0.0,0.06,-0.06
-3.167,0.244,-3.41
1.467,0.004,1.463
-1.983,1.793,-3.776
0.217,0.119,0.098
-2.6,0.321,-2.921
-0.983,0.023,-1.006
-2.35,0.147,-2.497
-2.867,0.039,-2.905
0.0,0.003,-0.003
0.5,0.092,0.408
-1.617,0.111,-1.728
0.067,0.045,0.022
-2.8,0.076,-2.876
-2.683,0.031,-2.714
0.217,-0.0,0.217
-1.033,0.554,-1.587
-2.6,0.075,-2.675
-1.667,0.013,-1.68
1.0,0.029,0.971
1.55,0.311,1.239
-1.117,1.904,-3.021
-2.467,0.168,-2.634
-1.167,0.086,-1.253
-1.333,0.05,-1.384
1.25,0.354,0.896
-0.7,0.613,-1.313
-2.583,0.134,-2.718
0.333,0.095,0.238
-2.067,0.118,-2.185
-1.417,0.017,-1.434
0.633,0.031,0.602
-2.183,0.477,-2.66
0.6,0.039,0.561
-0.833,0.366,-1.199
-1.117,0.121,-1.238
2.0,0.067,1.933
-2.567,0.506,-3.072
-1.5,0.05,-1.55
-3.617,0.066,-3.683
-5.1,-0.003,-5.097
-2.15,-0.004,-2.146
-1.133,0.015,-1.148
-1.967,0.033,-1.999
-1.333,0.023,-1.357
-3.0,0.068,-3.068
-1.5,-0.014,-1.486
-0.5,0.026,-0.526
-1.883,0.048,-1.931
-5.767,0.014,-5.781
0.75,-0.009,0.759
-1.5,0.119,-1.619
-1.667,0.028,-1.695
0.6,0.028,0.572
-0.167,0.496,-0.663
-2.967,0.132,-3.099
-3.483,-0.044,-3.44
1.667,-0.02,1.687
-3.483,0.424,-3.908
1.0,-0.021,1.021
-0.2,0.172,-0.372
0.517,0.112,0.404
