Test,Predictions,difference
1.2,-3.783,4.983
1.333,-3.994,5.327
2.0,-3.149,5.149
2.25,-3.706,5.956
0.633,-3.348,3.981
-0.667,-3.903,3.236
-0.0,-3.627,3.627
-2.6,-3.165,0.565
1.25,-3.859,5.109
-3.167,-3.912,0.745
-1.733,-3.716,1.983
-1.283,-4.041,2.757
-0.967,-4.349,3.382
-2.75,-4.799,2.049
-1.517,-4.302,2.785
-0.0,-4.609,4.609
-1.35,-4.724,3.374
0.5,-4.051,4.551
-1.433,-4.075,2.642
-0.15,-4.67,4.52
-2.533,-3.607,1.073
-0.0,-4.659,4.659
-1.5,-4.161,2.661
-5.05,-4.593,-0.457
-1.4,-5.353,3.953
-2.5,-4.75,2.25
-4.067,-4.154,0.087
-0.0,-4.694,4.694
-5.017,-4.352,-0.665
-5.15,-5.044,-0.106
0.083,-5.02,5.104
-0.0,-4.49,4.49
-1.867,-4.304,2.437
-2.183,-4.937,2.754
-2.2,-4.57,2.37
-0.0,-4.306,4.306
-3.167,-4.293,1.127
1.467,-4.32,5.786
-1.983,-4.1,2.117
0.217,-4.588,4.805
-2.6,-4.599,1.999
-0.983,-4.224,3.241
-2.35,-3.627,1.277
-2.867,-5.007,2.14
-0.0,-4.704,4.704
0.5,-4.698,5.198
-1.617,-4.706,3.09
0.067,-4.802,4.869
-2.8,-4.6,1.8
-2.683,-4.869,2.186
0.217,-4.932,5.148
-1.033,-4.737,3.703
-2.6,-5.523,2.923
-1.667,-4.74,3.073
1.0,-4.441,5.441
1.55,-4.383,5.933
-1.117,-4.582,3.465
-2.467,-4.182,1.715
-1.167,-4.509,3.342
-1.333,-4.787,3.454
1.25,-4.341,5.591
-0.7,-4.268,3.568
-2.583,-4.403,1.82
0.333,-4.359,4.692
-2.067,-4.434,2.368
-1.417,-4.786,3.369
0.633,-4.635,5.269
-2.183,-4.264,2.081
0.6,-4.127,4.727
-0.833,-3.786,2.952
-1.117,-4.846,3.73
2.0,-3.7,5.7
-2.567,-3.174,0.607
-1.5,-5.027,3.527
-3.617,-4.035,0.419
-5.1,-4.236,-0.864
-2.15,-3.519,1.369
-1.133,-4.955,3.822
-1.967,-4.108,2.141
-1.333,-4.749,3.416
-3.0,-4.348,1.348
-1.5,-3.979,2.479
-0.5,-4.058,3.558
-1.883,-3.798,1.915
-5.767,-3.601,-2.165
0.75,-4.085,4.835
-1.5,-3.115,1.615
-1.667,-3.898,2.232
0.6,-4.0,4.6
-0.167,-3.13,2.964
-2.967,-2.812,-0.155
-3.483,-3.83,0.346
1.667,-2.974,4.641
-3.483,-3.59,0.106
1.0,-3.415,4.415
-0.2,-3.521,3.321
0.517,-3.292,3.808
-0.05,-2.602,2.552
-0.283,-3.356,3.073
-0.0,-3.601,3.601
2.25,-2.87,5.12
-0.25,-2.731,2.481
0.683,-3.218,3.901
-1.6,-3.669,2.069
4.25,-3.292,7.542
-0.983,-3.273,2.289
1.65,-3.571,5.221
0.533,-2.341,2.874
-1.5,-2.807,1.307
0.533,-3.665,4.198
-0.0,-2.81,2.81
-2.033,-3.581,1.548
2.2,-3.647,5.847
-1.5,-2.959,1.459
1.583,-3.875,5.458
-0.0,-2.996,2.996
-0.617,-2.826,2.209
1.4,-2.919,4.319
-0.05,-2.903,2.853
2.7,-3.239,5.939
2.467,-2.774,5.241
2.367,-2.516,4.883
0.383,-2.419,2.802
0.717,-2.597,3.314
0.717,-2.587,3.304
1.25,-2.811,4.061
-2.783,-2.613,-0.171
-0.0,-2.7,2.7
-0.25,-2.993,2.743
-6.45,-3.109,-3.341
2.367,-4.3,6.667
5.3,-3.16,8.46
4.55,-2.465,7.015
3.55,-2.306,5.856
4.5,-1.392,5.892
-0.5,-1.07,0.57
-0.0,-2.396,2.396
3.217,-1.83,5.047
3.717,-2.01,5.727
0.75,-1.079,1.829
-1.833,-2.375,0.542
-0.833,-2.766,1.933
4.75,-3.524,8.274
-1.3,-1.727,0.427
4.45,-2.561,7.011
1.067,-2.292,3.358
0.6,-2.228,2.828
2.417,-2.607,5.024
4.217,-2.583,6.8
4.433,-1.42,5.853
1.783,-0.916,2.7
2.117,-2.042,4.159
2.8,-1.497,4.297
-1.467,-0.825,-0.641
-1.3,-2.708,1.408
-0.75,-2.334,1.584
-0.75,-1.733,0.983
2.633,-2.865,5.499
-1.917,-2.409,0.493
-0.067,-2.725,2.659
-2.233,-3.975,1.742
-0.0,-3.144,3.144
1.883,-2.795,4.678
0.5,-3.533,4.033
0.467,-3.174,3.641
-0.0,-3.163,3.163
4.117,-2.775,6.892
-0.467,-2.027,1.56
4.467,-3.438,7.905
-0.567,-2.19,1.624
3.767,-2.524,6.291
0.4,-2.124,2.524
-0.433,-1.789,1.356
3.717,-1.764,5.48
4.817,-1.564,6.38
-1.683,-1.346,-0.337
5.0,-2.206,7.206
-1.5,-0.369,-1.131
2.55,-1.992,4.542
2.25,-1.512,3.762
0.25,4.089,-3.839
4.0,0.87,3.13
4.0,0.247,3.753
1.717,0.924,0.792
0.75,-0.726,1.476
0.483,-1.376,1.86
0.717,-2.208,2.924
2.133,-1.667,3.8
-1.517,-1.722,0.206
-1.267,-2.455,1.188
0.7,-2.407,3.107
-3.25,-2.382,-0.868
1.8,-3.373,5.173
0.5,-2.869,3.369
0.617,-2.531,3.148
-0.25,-3.292,3.042
4.0,-3.261,7.261
1.667,-1.948,3.614
0.617,-2.553,3.169
0.117,-3.222,3.339
-0.617,-2.48,1.863
-0.25,-3.39,3.14
2.5,-3.175,5.675
1.867,-3.038,4.905
3.25,-3.196,6.446
-1.1,-2.553,1.453
3.5,-2.845,6.345
2.75,-2.594,5.344
-1.983,-2.62,0.636
1.25,-3.495,4.745
3.583,-3.217,6.801
2.033,-2.694,4.727
-2.9,-2.475,-0.425
4.5,-3.24,7.74
-0.0,-2.79,2.79
-2.2,-2.803,0.603
-0.0,-2.643,2.643
-2.633,-2.459,-0.175
-0.183,-3.218,3.034
0.933,-2.588,3.521
0.633,-3.697,4.33
-0.133,-2.462,2.329
0.683,-2.376,3.059
1.75,-3.244,4.994
-11.833,-2.823,-9.011
3.25,-3.419,6.669
9.733,-2.642,12.375
0.25,-2.307,2.557
0.167,-2.982,3.149
-1.633,-2.957,1.323
0.533,-3.44,3.973
2.117,-2.973,5.09
8.767,-3.67,12.436
-2.117,-2.207,0.09
-1.867,-2.487,0.62
-1.683,-3.111,1.427
7.633,-3.207,10.84
-1.75,-2.286,0.536
-0.0,-3.018,3.018
-0.0,-2.735,2.735
-0.0,-2.412,2.412
-0.0,-2.643,2.643
7.45,-2.738,10.188
10.25,-2.05,12.3
7.567,-2.166,9.732
6.417,-1.803,8.219
6.917,-1.761,8.678
8.017,-2.102,10.119
3.7,-1.758,5.458
10.5,-2.2,12.7
9.533,-1.578,11.111
2.833,-1.724,4.558
1.817,-2.067,3.884
1.917,-3.217,5.133
11.75,-2.553,14.303
10.0,-1.475,11.475
0.8,-1.48,2.28
-0.0,-2.628,2.628
6.5,-2.434,8.934
-0.933,-2.2,1.267
-0.783,-2.853,2.07
3.183,-2.682,5.865
1.833,-2.751,4.584
7.967,-2.541,10.507
8.45,-2.049,10.499
-0.0,-2.043,2.043
4.1,-2.204,6.304
8.667,-2.197,10.864
4.267,-2.136,6.403
8.717,-1.852,10.568
0.533,-1.969,2.502
0.65,-2.552,3.202
12.9,-2.22,15.12
5.45,-0.423,5.873
7.133,-1.608,8.741
6.8,-1.108,7.908
6.3,-1.023,7.323
7.25,-0.54,7.79
0.133,-0.713,0.847
-1.25,-1.674,0.424
11.617,-2.217,13.834
10.917,0.078,10.838
-0.5,0.444,-0.944
-0.7,-1.145,0.445
5.083,-2.003,7.086
9.983,-1.105,11.088
1.95,-0.455,2.405
-2.667,0.068,-2.734
3.167,-1.491,4.658
8.767,-2.123,10.89
9.967,-0.38,10.347
1.917,-1.007,2.924
1.333,-0.551,1.884
1.217,-0.689,1.906
9.733,-1.511,11.245
-1.683,-0.908,-0.776
4.367,-2.115,6.482
-1.0,-1.33,0.33
4.65,-2.364,7.014
-2.6,-1.443,-1.157
1.45,-2.802,4.252
3.867,-2.413,6.28
4.85,-1.949,6.799
7.3,-1.639,8.939
5.033,-1.567,6.601
8.217,-1.402,9.618
1.05,-0.983,2.033
5.783,-0.884,6.668
0.417,-1.277,1.693
3.367,-1.731,5.098
-0.033,-2.831,2.798
-1.2,-1.962,0.762
-1.333,-2.223,0.89
6.667,-3.15,9.817
6.85,-1.764,8.614
6.467,-1.951,8.418
1.75,-1.592,3.342
1.75,-1.889,3.639
-1.1,-2.533,1.433
2.567,-2.359,4.926
0.267,-2.806,3.072
1.983,-2.735,4.718
0.767,-3.354,4.121
-0.4,-2.691,2.291
-0.25,-2.486,2.236
-0.2,-2.963,2.763
-0.45,-3.002,2.552
-0.0,-2.697,2.697
1.383,-3.045,4.428
-0.133,-2.956,2.823
-0.7,-2.647,1.947
-0.0,-2.995,2.995
-1.4,-2.831,1.431
-1.0,-2.491,1.491
-1.417,-3.25,1.834
1.367,-2.944,4.311
1.233,-2.35,3.583
-0.0,-2.81,2.81
0.6,-2.85,3.45
-0.0,-2.862,2.862
3.033,-3.369,6.402
2.833,-2.417,5.251
1.683,-2.195,3.878
3.5,-3.4,6.9
1.967,-2.545,4.512
1.817,-2.516,4.333
-0.717,-2.19,1.473
1.0,-3.091,4.091
-0.0,-2.639,2.639
0.183,-3.092,3.276
2.833,-2.999,5.833
-1.0,-2.584,1.584
-1.7,-3.013,1.313
1.85,-2.935,4.785
2.5,-2.653,5.153
-1.867,-2.695,0.829
-2.25,-2.828,0.578
6.8,-3.426,10.226
-2.617,-2.227,-0.39
5.3,-2.893,8.193
11.75,-1.385,13.135
11.433,-0.217,11.651
1.967,-0.846,2.812
13.15,-2.046,15.196
12.9,-1.354,14.254
17.5,-0.837,18.337
1.867,-0.182,2.048
0.5,-1.594,2.094
5.733,-2.219,7.952
5.25,-1.597,6.847
3.0,-1.686,4.686
3.567,-1.73,5.297
3.4,-2.322,5.722
13.3,-2.624,15.924
5.117,-1.216,6.332
-0.0,-1.73,1.73
12.95,-2.351,15.301
3.85,-0.685,4.535
4.483,-1.571,6.055
3.783,-2.256,6.039
10.55,-1.597,12.147
12.033,-1.886,13.92
9.25,0.359,8.891
10.0,0.649,9.351
8.95,1.132,7.818
16.983,-0.002,16.986
16.65,-0.069,16.719
12.133,1.714,10.419
12.233,0.993,11.241
5.367,4.933,0.434
12.283,1.799,10.484
12.767,2.96,9.806
15.983,2.768,13.215
7.45,3.414,4.036
9.5,0.443,9.057
8.967,1.565,7.402
8.183,0.387,7.797
11.283,1.333,9.95
23.283,0.758,22.525
27.283,1.838,25.446
6.283,3.877,2.406
16.283,1.187,15.096
28.75,0.084,28.666
26.75,2.356,24.394
25.817,11.639,14.178
28.65,24.81,3.84
12.417,20.735,-8.318
11.333,9.478,1.856
-1.6,8.062,-9.662
11.117,0.581,10.536
-0.5,3.045,-3.545
9.667,-1.459,11.126
0.75,-0.176,0.926
-1.2,-1.49,0.29
-0.05,-2.257,2.207
3.8,-2.854,6.654
20.45,-2.38,22.83
25.717,-1.18,26.897
2.467,2.662,-0.195
1.717,-0.953,2.67
0.75,-1.499,2.249
2.233,-2.272,4.506
31.783,-1.878,33.662
30.2,-0.804,31.004
4.317,3.497,0.819
-2.383,-0.214,-2.17
0.5,-1.681,2.181
-0.05,-2.535,2.485
-0.133,-2.371,2.238
-0.75,-2.715,1.965
35.083,-3.443,38.526
27.583,0.291,27.292
-1.317,-0.716,-0.601
1.617,-3.266,4.883
37.3,-2.284,39.584
39.75,2.382,37.368
35.517,13.314,22.202
38.917,8.998,29.918
-0.0,21.675,-21.675
10.25,3.141,7.109
10.25,4.431,5.819
-0.333,0.682,-1.016
0.233,0.385,-0.152
-0.567,-1.108,0.542
-4.1,-2.032,-2.068
-0.983,-2.502,1.519
-2.733,-2.181,-0.552
1.633,-2.843,4.476
1.8,-2.743,4.543
