Test,Predictions,difference
-0.0,0.225,-0.225
-1.65,0.234,-1.884
-1.35,0.213,-1.563
0.25,0.206,0.044
-1.117,0.238,-1.354
-1.5,0.233,-1.733
-0.0,0.221,-0.221
-0.75,0.214,-0.964
-1.5,0.19,-1.69
-1.4,0.155,-1.555
-1.883,0.155,-2.038
0.8,0.205,0.595
-2.183,0.211,-2.394
-4.7,0.238,-4.938
-1.533,0.243,-1.776
-1.983,0.232,-2.216
1.217,0.183,1.033
-2.35,0.204,-2.554
-1.167,0.156,-1.323
-0.0,0.215,-0.215
-1.617,0.248,-1.865
-0.0,0.259,-0.259
-4.817,0.295,-5.111
-1.5,0.209,-1.709
-0.75,0.229,-0.979
-1.7,0.256,-1.956
0.65,0.255,0.395
-0.733,0.304,-1.037
0.617,0.3,0.317
-0.7,0.327,-1.027
0.533,0.335,0.198
0.633,0.327,0.306
-0.833,0.353,-1.186
1.5,0.352,1.148
1.217,0.363,0.853
-0.7,0.43,-1.13
-2.567,0.43,-2.997
-2.183,0.38,-2.564
-0.0,0.308,-0.308
-1.5,0.323,-1.823
-1.217,0.316,-1.532
-1.317,0.314,-1.63
-2.8,0.332,-3.132
0.6,0.271,0.329
0.6,0.306,0.294
-0.0,0.347,-0.347
1.467,0.348,1.118
-1.6,0.427,-2.027
-0.1,0.415,-0.515
-0.95,0.405,-1.355
-0.0,0.451,-0.451
0.75,0.486,0.264
1.117,0.538,0.579
-0.517,0.544,-1.061
0.633,0.474,0.16
-1.867,0.491,-2.358
-0.4,0.429,-0.829
-4.7,0.465,-5.165
-0.0,0.408,-0.408
1.633,0.531,1.102
-1.1,0.632,-1.732
-1.433,0.661,-2.094
-0.0,0.543,-0.543
-1.533,0.625,-2.158
-4.183,0.522,-4.706
-0.55,0.302,-0.852
-0.333,0.488,-0.821
-0.9,0.482,-1.382
-1.083,0.399,-1.482
-2.317,0.324,-2.64
1.25,0.22,1.03
2.2,0.276,1.924
-2.833,0.209,-3.042
3.167,0.093,3.073
0.383,-0.238,0.621
-0.0,-0.442,0.442
-0.183,-0.822,0.638
-0.8,-1.133,0.333
-0.75,-1.195,0.445
1.25,-1.175,2.425
-1.333,-1.102,-0.232
0.683,-1.082,1.766
0.767,-0.858,1.625
1.5,-0.603,2.103
3.383,-0.481,3.864
-1.017,-0.276,-0.74
-0.983,-0.443,-0.54
-2.367,-0.547,-1.82
0.533,-0.598,1.131
-1.75,-0.628,-1.122
1.5,-0.119,1.619
1.617,0.039,1.578
-0.467,0.059,-0.526
4.467,0.233,4.233
0.4,0.211,0.189
0.633,0.099,0.534
0.2,0.187,0.013
0.117,0.016,0.101
4.5,-0.086,4.586
3.467,-0.229,3.695
3.283,-0.08,3.364
0.533,0.01,0.523
1.883,-0.011,1.894
-0.0,-0.187,0.187
-1.6,-0.316,-1.284
-1.2,-0.327,-0.873
1.75,-0.362,2.112
-0.25,-0.423,0.173
1.05,-0.404,1.454
13.6,-0.184,13.784
11.55,2.128,9.422
10.85,2.208,8.642
1.567,1.815,-0.248
