Test,Predictions,difference
1.2,1.442,-0.242
1.333,1.362,-0.029
2.0,1.476,0.524
2.25,1.435,0.815
0.633,1.422,-0.788
-0.667,1.433,-2.099
0.0,1.461,-1.461
-2.6,1.418,-4.018
1.25,1.446,-0.196
-3.167,1.449,-4.616
-1.733,1.455,-3.188
-1.283,1.434,-2.718
-0.967,1.457,-2.423
-2.75,1.429,-4.179
-1.517,1.415,-2.932
0.0,1.44,-1.44
-1.35,1.481,-2.831
0.5,1.271,-0.771
-1.433,1.465,-2.898
-0.15,1.211,-1.361
-2.533,1.208,-3.741
0.0,1.479,-1.479
-1.5,1.46,-2.96
-5.05,3.649,-8.699
-1.4,1.489,-2.889
-2.5,1.471,-3.971
-4.067,1.469,-5.535
0.0,1.455,-1.455
-5.017,1.443,-6.46
-5.15,1.465,-6.615
0.083,1.473,-1.39
0.0,3.927,-3.927
-1.867,1.47,-3.337
-2.183,1.478,-3.661
-2.2,1.471,-3.671
0.0,3.346,-3.346
-3.167,1.048,-4.215
1.467,1.476,-0.009
-1.983,3.593,-5.576
0.217,1.476,-1.259
-2.6,1.464,-4.064
-0.983,1.444,-2.428
-2.35,0.978,-3.328
-2.867,2.886,-5.752
0.0,1.482,-1.482
0.5,1.465,-0.965
-1.617,1.446,-3.063
0.067,1.461,-1.394
-2.8,1.43,-4.23
-2.683,3.152,-5.835
0.217,1.486,-1.269
-1.033,1.385,-2.419
-2.6,1.465,-4.065
-1.667,1.454,-3.121
1.0,1.46,-0.46
1.55,1.446,0.104
-1.117,1.038,-2.154
-2.467,1.47,-3.936
-1.167,1.259,-2.425
-1.333,1.454,-2.788
1.25,4.755,-3.505
-0.7,1.494,-2.194
-2.583,1.429,-4.012
0.333,1.155,-0.822
-2.067,1.469,-3.536
-1.417,1.442,-2.858
0.633,1.445,-0.811
-2.183,1.187,-3.371
0.6,1.469,-0.869
-0.833,1.934,-2.767
-1.117,1.415,-2.531
2.0,1.474,0.526
-2.567,1.453,-4.019
-1.5,1.452,-2.952
-3.617,1.468,-5.085
-5.1,1.466,-6.566
-2.15,1.464,-3.614
-1.133,1.47,-2.603
-1.967,1.445,-3.411
-1.333,1.471,-2.804
-3.0,2.126,-5.126
-1.5,1.491,-2.991
-0.5,1.47,-1.97
-1.883,1.463,-3.346
-5.767,1.462,-7.229
0.75,1.477,-0.727
-1.5,1.463,-2.963
-1.667,1.456,-3.123
0.6,1.453,-0.853
-0.167,1.261,-1.428
-2.967,1.453,-4.42
-3.483,1.447,-4.931
1.667,1.444,0.222
-3.483,1.479,-4.963
1.0,1.429,-0.429
-0.2,1.443,-1.643
0.517,1.453,-0.936
-0.05,1.428,-1.478
-0.283,1.452,-1.735
0.0,1.434,-1.434
2.25,1.449,0.801
-0.25,1.431,-1.681
0.683,1.48,-0.796
-1.6,1.453,-3.053
4.25,1.452,2.798
-0.983,1.434,-2.417
1.65,1.447,0.203
0.533,1.53,-0.997
-1.5,1.472,-2.972
0.533,1.45,-0.916
0.0,1.436,-1.436
-2.033,1.452,-3.485
2.2,1.434,0.766
-1.5,1.503,-3.003
1.583,1.457,0.126
0.0,1.446,-1.446
-0.617,1.505,-2.121
1.4,1.509,-0.109
-0.05,1.446,-1.496
2.7,1.443,1.257
2.467,1.475,0.992
2.367,1.454,0.913
0.383,1.434,-1.05
0.717,1.444,-0.727
0.717,1.447,-0.73
1.25,1.447,-0.197
-2.783,1.426,-4.209
0.0,1.439,-1.439
-0.25,1.488,-1.738
-6.45,1.465,-7.915
2.367,1.449,0.918
5.3,1.447,3.853
4.55,1.439,3.111
3.55,1.446,2.104
4.5,1.457,3.043
-0.5,1.446,-1.946
0.0,1.447,-1.447
3.217,1.44,1.777
3.717,1.444,2.272
0.75,1.432,-0.682
-1.833,1.435,-3.268
-0.833,1.442,-2.275
4.75,1.442,3.308
-1.3,1.429,-2.729
4.45,1.44,3.01
1.067,1.431,-0.364
0.6,1.449,-0.849
2.417,1.441,0.976
4.217,1.44,2.777
4.433,1.471,2.962
1.783,1.45,0.333
2.117,1.445,0.671
2.8,1.43,1.37
-1.467,1.429,-2.895
-1.3,1.433,-2.733
-0.75,1.44,-2.19
-0.75,1.433,-2.183
2.633,1.452,1.181
-1.917,1.446,-3.363
-0.067,1.486,-1.552
-2.233,1.421,-3.655
0.0,1.44,-1.44
1.883,1.436,0.447
0.5,1.444,-0.944
0.467,1.46,-0.994
0.0,1.441,-1.441
