Test,Predictions,difference
1.2,-2.248,3.448
1.333,-2.42,3.754
2.0,-2.202,4.202
2.25,-1.77,4.02
0.633,-1.539,2.172
-0.667,-2.214,1.548
-0.0,-2.39,2.39
-2.6,-1.931,-0.669
1.25,-2.522,3.772
-3.167,-2.4,-0.766
-1.733,-2.748,1.014
-1.283,-2.691,1.408
-0.967,-2.66,1.694
-2.75,-2.626,-0.124
-1.517,-2.773,1.256
-0.0,-2.724,2.724
-1.35,-2.639,1.289
0.5,-2.691,3.191
-1.433,-2.537,1.104
-0.15,-2.613,2.463
-2.533,-2.691,0.158
-0.0,-2.726,2.726
-1.5,-2.541,1.041
-5.05,-3.003,-2.047
-1.4,-2.982,1.582
-2.5,-2.712,0.212
-4.067,-2.798,-1.269
-0.0,-3.024,3.024
-5.017,-2.562,-2.455
-5.15,-3.043,-2.107
0.083,-3.123,3.207
-0.0,-3.087,3.087
-1.867,-2.739,0.872
-2.183,-2.747,0.563
-2.2,-2.749,0.549
-0.0,-3.098,3.098
-3.167,-2.834,-0.332
1.467,-2.9,4.366
-1.983,-2.745,0.761
0.217,-2.698,2.915
-2.6,-2.316,-0.284
-0.983,-2.775,1.792
-2.35,-2.935,0.585
-2.867,-3.2,0.333
-0.0,-3.016,3.016
0.5,-2.724,3.224
-1.617,-2.47,0.854
0.067,-2.67,2.736
-2.8,-2.276,-0.524
-2.683,-3.077,0.393
0.217,-2.978,3.195
-1.033,-2.709,1.676
-2.6,-2.715,0.115
-1.667,-2.9,1.234
1.0,-2.87,3.87
1.55,-2.413,3.963
-1.117,-2.532,1.415
-2.467,-2.793,0.327
-1.167,-3.086,1.92
-1.333,-2.73,1.397
1.25,-3.026,4.276
-0.7,-2.378,1.678
-2.583,-2.891,0.308
0.333,-3.104,3.437
-2.067,-2.575,0.509
-1.417,-2.71,1.293
0.633,-2.744,3.377
-2.183,-2.631,0.448
0.6,-2.921,3.521
-0.833,-2.857,2.023
-1.117,-2.978,1.861
2.0,-2.86,4.86
-2.567,-1.699,-0.867
-1.5,-2.718,1.218
-3.617,-2.695,-0.922
-5.1,-2.944,-2.156
-2.15,-3.254,1.104
-1.133,-2.983,1.849
-1.967,-2.763,0.797
-1.333,-2.947,1.614
-3.0,-3.214,0.214
-1.5,-3.093,1.593
-0.5,-2.995,2.495
-1.883,-2.813,0.93
-5.767,-2.896,-2.871
0.75,-3.324,4.074
-1.5,-2.583,1.083
-1.667,-2.755,1.088
0.6,-2.742,3.342
-0.167,-2.648,2.482
-2.967,-2.152,-0.815
-3.483,-2.994,-0.489
1.667,-3.532,5.198
-3.483,-2.34,-1.144
1.0,-3.381,4.381
-0.2,-2.394,2.194
0.517,-2.646,3.163
-0.05,-2.309,2.259
-0.283,-2.405,2.122
-0.0,-2.266,2.266
2.25,-2.273,4.523
-0.25,-1.27,1.02
0.683,-2.136,2.82
-1.6,-2.068,0.468
4.25,-2.434,6.684
-0.983,-0.09,-0.894
1.65,-1.627,3.277
0.533,-0.837,1.371
-1.5,-1.373,-0.127
0.533,-2.146,2.679
-0.0,-1.522,1.522
-2.033,-1.591,-0.442
2.2,-2.211,4.411
-1.5,-0.987,-0.513
1.583,-2.122,3.705
-0.0,-1.262,1.262
-0.617,-1.254,0.637
1.4,-1.719,3.119
-0.05,-1.298,1.248
2.7,-1.671,4.371
2.467,-0.968,3.435
2.367,-0.74,3.107
0.383,-0.244,0.628
0.717,-0.681,1.398
0.717,-0.682,1.398
1.25,-0.839,2.089
-2.783,-0.604,-2.179
-0.0,-2.016,2.016
-0.25,-1.429,1.179
-6.45,-1.621,-4.829
2.367,-3.197,5.563
5.3,-0.931,6.231
4.55,0.634,3.916
3.55,1.952,1.598
4.5,2.113,2.387
-0.5,3.439,-3.939
-0.0,0.457,-0.457
3.217,0.101,3.116
3.717,1.122,2.595
0.75,2.801,-2.051
-1.833,0.487,-2.321
-0.833,-0.892,0.058
4.75,-1.122,5.872
-1.3,1.809,-3.109
4.45,-0.809,5.259
1.067,0.975,0.091
0.6,0.082,0.518
2.417,-0.226,2.642
4.217,0.393,3.824
4.433,1.241,3.192
1.783,3.124,-1.34
2.117,1.932,0.185
2.8,2.096,0.704
-1.467,2.497,-3.964
-1.3,-0.307,-0.993
-0.75,-1.205,0.455
-0.75,-1.61,0.86
2.633,-1.97,4.604
-1.917,-0.711,-1.206
-0.067,-1.763,1.696
-2.233,-1.616,-0.617
-0.0,-2.72,2.72
1.883,-2.505,4.389
0.5,-1.46,1.96
0.467,-1.959,2.426
-0.0,-2.01,2.01
4.117,-2.27,6.387
-0.467,-0.005,-0.462
4.467,-1.443,5.91
-0.567,0.864,-1.43
3.767,-0.258,4.024
0.4,0.717,-0.317
-0.433,0.216,-0.65
3.717,-0.256,3.973
4.817,0.938,3.878
-1.683,3.501,-5.185
5.0,0.096,4.904
-1.5,3.169,-4.669
2.55,-0.088,2.638
2.25,0.43,1.82
0.25,5.558,-5.308
4.0,4.52,-0.52
4.0,4.677,-0.677
1.717,4.51,-2.793
0.75,4.278,-3.528
0.483,3.665,-3.182
0.717,0.324,0.393
2.133,0.296,1.838
-1.517,-0.748,-0.768
-1.267,-2.522,1.255
0.7,-3.162,3.862
-3.25,-2.242,-1.008
1.8,-3.92,5.72
0.5,-3.203,3.703
0.617,-3.429,4.046
-0.25,-3.38,3.13
4.0,-3.568,7.568
1.667,-2.083,3.75
0.617,-1.984,2.601
0.117,-2.142,2.259
-0.617,-2.289,1.672
-0.25,-2.657,2.407
2.5,-2.774,5.274
1.867,-2.085,3.952
3.25,-2.037,5.287
-1.1,-1.219,0.119
3.5,-2.013,5.513
2.75,-0.884,3.634
-1.983,-0.382,-1.602
1.25,-1.683,2.933
3.583,-1.498,5.082
2.033,-0.29,2.323
-2.9,-0.786,-2.114
4.5,-2.732,7.232
-0.0,-0.642,0.642
-2.2,-1.375,-0.825
-0.0,-2.707,2.707
-2.633,-2.642,0.009
-0.183,-3.087,2.904
0.933,-3.437,4.37
0.633,-3.316,3.949
-0.133,-3.0,2.867
0.683,-3.358,4.041
1.75,-2.815,4.565
-11.833,-2.537,-9.296
3.25,-3.576,6.826
9.733,-2.706,12.439
0.25,1.83,-1.58
0.167,-0.714,0.88
-1.633,-0.783,-0.851
0.533,-1.694,2.227
2.117,-1.72,3.836
8.767,-1.063,9.829
-2.117,3.509,-5.625
-1.867,-1.389,-0.477
-1.683,-2.224,0.541
7.633,-2.675,10.309
-1.75,1.933,-3.683
-0.0,-1.881,1.881
-0.0,-1.168,1.168
-0.0,-0.595,0.595
-0.0,-0.043,0.043
7.45,-1.563,9.013
10.25,2.333,7.917
7.567,4.923,2.643
6.417,5.087,1.329
6.917,4.919,1.997
8.017,5.046,2.971
3.7,5.171,-1.471
10.5,4.797,5.703
9.533,5.313,4.22
2.833,5.406,-2.572
1.817,4.902,-3.085
1.917,4.577,-2.66
11.75,4.559,7.191
10.0,4.94,5.06
0.8,4.854,-4.054
-0.0,3.996,-3.996
6.5,3.836,2.664
-0.933,4.476,-5.41
-0.783,3.783,-4.567
3.183,1.6,1.584
1.833,1.378,0.455
7.967,-0.115,8.082
8.45,3.964,4.486
-0.0,4.72,-4.72
4.1,3.991,0.109
8.667,4.358,4.309
4.267,4.822,-0.555
8.717,4.591,4.126
0.533,4.276,-3.742
0.65,3.355,-2.705
12.9,0.366,12.534
5.45,4.824,0.626
7.133,4.624,2.509
6.8,4.763,2.037
6.3,4.779,1.521
7.25,4.676,2.574
0.133,4.741,-4.608
-1.25,4.499,-5.749
11.617,3.073,8.544
10.917,4.974,5.942
-0.5,5.261,-5.761
-0.7,4.449,-5.149
5.083,3.369,1.714
9.983,4.226,5.758
1.95,5.054,-3.104
-2.667,4.441,-7.107
3.167,3.551,-0.384
8.767,3.294,5.473
9.967,4.7,5.267
1.917,4.975,-3.058
1.333,4.551,-3.218
1.217,3.719,-2.502
9.733,1.643,8.09
-1.683,4.347,-6.03
4.367,0.591,3.776
-1.0,2.331,-3.331
4.65,-0.343,4.993
-2.6,1.116,-3.716
1.45,-1.352,2.802
3.867,-1.139,5.006
4.85,-0.219,5.069
7.3,2.568,4.732
5.033,4.324,0.71
