Test,Predictions,difference
1.2,1.866,-0.666
1.333,0.245,1.088
2.0,0.515,1.485
2.25,1.549,0.701
0.633,1.64,-1.007
-0.667,0.876,-1.543
0.0,0.594,-0.594
-2.6,1.448,-4.048
1.25,1.388,-0.138
-3.167,1.467,-4.634
-1.733,1.378,-3.111
-1.283,1.377,-2.66
-0.967,1.401,-2.368
-2.75,1.378,-4.128
-1.517,-0.244,-1.272
0.0,0.166,-0.166
-1.35,0.295,-1.645
0.5,0.758,-0.258
-1.433,1.384,-2.818
-0.15,1.216,-1.366
-2.533,1.407,-3.94
0.0,1.34,-1.34
-1.5,0.092,-1.592
-5.05,1.412,-6.462
-1.4,1.317,-2.717
-2.5,-0.15,-2.35
-4.067,1.314,-5.381
0.0,1.313,-1.313
-5.017,1.379,-6.396
-5.15,1.302,-6.452
0.083,1.282,-1.199
0.0,1.401,-1.401
-1.867,0.295,-2.162
-2.183,1.366,-3.549
-2.2,1.337,-3.537
0.0,1.383,-1.383
-3.167,1.43,-4.596
1.467,1.358,0.108
-1.983,1.487,-3.47
0.217,1.402,-1.185
-2.6,0.519,-3.119
-0.983,1.349,-2.333
-2.35,1.381,-3.731
-2.867,1.39,-4.257
0.0,1.345,-1.345
0.5,1.389,-0.889
-1.617,1.4,-3.017
0.067,-0.424,0.491
-2.8,1.37,-4.17
-2.683,1.38,-4.064
0.217,1.336,-1.119
-1.033,1.529,-2.562
-2.6,1.363,-3.963
-1.667,1.331,-2.998
1.0,1.334,-0.334
1.55,1.392,0.158
-1.117,-0.294,-0.823
-2.467,1.396,-3.863
-1.167,1.379,-2.546
-1.333,1.365,-2.698
1.25,1.413,-0.163
-0.7,1.088,-1.788
-2.583,1.419,-4.002
0.333,1.393,-1.059
-2.067,1.391,-3.457
-1.417,1.347,-2.764
0.633,1.361,-0.728
-2.183,1.432,-3.615
0.6,1.361,-0.761
-0.833,1.438,-2.271
-1.117,1.41,-2.526
2.0,1.376,0.624
-2.567,1.453,-4.02
-1.5,1.354,-2.854
-3.617,1.362,-4.978
-5.1,1.298,-6.398
-2.15,1.309,-3.459
-1.133,1.317,-2.45
-1.967,1.329,-3.296
-1.333,1.341,-2.674
-3.0,1.36,-4.36
-1.5,1.341,-2.841
-0.5,1.323,-1.823
-1.883,1.359,-3.243
-5.767,1.343,-7.11
0.75,1.323,-0.573
-1.5,1.398,-2.898
-1.667,1.356,-3.023
0.6,1.348,-0.748
-0.167,1.423,-1.589
-2.967,1.458,-4.425
-3.483,1.385,-4.868
1.667,1.367,0.3
-3.483,1.586,-5.069
1.0,1.36,-0.36
-0.2,1.431,-1.631
0.517,1.42,-0.904
-0.05,1.442,-1.492
-0.283,1.451,-1.734
0.0,1.417,-1.417
2.25,1.432,0.818
-0.25,1.638,-1.888
0.683,0.924,-0.241
-1.6,0.067,-1.667
4.25,1.383,2.867
-0.983,0.28,-1.263
1.65,0.229,1.421
0.533,1.585,-1.051
-1.5,0.385,-1.885
0.533,1.489,-0.955
0.0,1.46,-1.46
-2.033,1.486,-3.519
2.2,1.405,0.795
-1.5,1.566,-3.066
1.583,1.462,0.121
0.0,1.536,-1.536
-0.617,1.528,-2.144
1.4,1.534,-0.134
-0.05,1.539,-1.589
2.7,1.493,1.207
2.467,2.696,-0.229
2.367,0.895,1.472
0.383,1.088,-0.705
0.717,2.071,-1.355
0.717,1.415,-0.699
1.25,-0.053,1.303
-2.783,1.025,-3.808
0.0,1.451,-1.451
-0.25,1.514,-1.764
-6.45,1.492,-7.942
2.367,1.363,1.003
5.3,1.551,3.749
4.55,1.885,2.665
3.55,0.953,2.597
4.5,3.141,1.359
-0.5,3.022,-3.522
0.0,0.829,-0.829
3.217,0.328,2.889
3.717,0.687,3.03
0.75,0.901,-0.151
-1.833,0.431,-2.264
-0.833,-0.088,-0.745
4.75,1.517,3.233
-1.3,0.86,-2.16
4.45,1.605,2.845
1.067,1.104,-0.037
0.6,0.526,0.074
2.417,0.148,2.268
4.217,0.612,3.604
4.433,3.222,1.211
1.783,1.275,0.508
2.117,1.389,0.728
2.8,0.812,1.988
-1.467,0.861,-2.327
-1.3,0.163,-1.463
-0.75,0.983,-1.733
-0.75,1.489,-2.239
2.633,1.473,1.16
-1.917,1.745,-3.662
-0.067,1.502,-1.568
-2.233,1.474,-3.707
0.0,1.427,-1.427
1.883,1.541,0.342
0.5,1.544,-1.044
0.467,1.384,-0.917
0.0,0.506,-0.506
4.117,1.564,2.553
-0.467,0.383,-0.85
4.467,1.597,2.87
-0.567,0.893,-1.46
3.767,0.969,2.797
0.4,3.124,-2.724
-0.433,2.176,-2.61
3.717,0.233,3.483
4.817,0.467,4.35
-1.683,1.165,-2.848
5.0,0.64,4.36
-1.5,1.583,-3.083
2.55,0.17,2.38
2.25,0.273,1.977
0.25,2.825,-2.575
4.0,2.152,1.848
4.0,2.198,1.802
1.717,2.166,-0.449
0.75,1.793,-1.043
0.483,0.815,-0.332
0.717,0.198,0.519
2.133,1.568,0.565
-1.517,2.53,-4.047
-1.267,1.521,-2.788
0.7,1.426,-0.726
-3.25,1.476,-4.726
1.8,1.521,0.279
0.5,1.475,-0.975
0.617,1.456,-0.839
-0.25,1.409,-1.659
4.0,1.451,2.549
1.667,1.615,0.051
0.617,1.599,-0.982
0.117,1.534,-1.417
-0.617,1.453,-2.07
-0.25,1.421,-1.671
2.5,1.414,1.086
1.867,1.61,0.256
3.25,1.524,1.726
-1.1,1.593,-2.693
3.5,1.451,2.049
