Test,Predictions,difference
1.2,1.259,-0.059
1.333,1.257,0.076
2.0,1.25,0.75
2.25,1.319,0.931
0.633,1.373,-0.74
-0.667,1.286,-1.952
0.0,1.224,-1.224
-2.6,1.224,-3.824
1.25,1.224,0.026
-3.167,1.252,-4.419
-1.733,1.224,-2.958
-1.283,1.224,-2.508
-0.967,1.224,-2.191
-2.75,1.224,-3.974
-1.517,1.224,-2.741
0.0,1.224,-1.224
-1.35,1.224,-2.574
0.5,1.224,-0.724
-1.433,1.224,-2.658
-0.15,1.224,-1.374
-2.533,1.224,-3.758
0.0,1.224,-1.224
-1.5,1.224,-2.724
-5.05,1.136,-6.186
-1.4,1.168,-2.568
-2.5,1.224,-3.724
-4.067,1.218,-5.284
0.0,1.221,-1.221
-5.017,1.224,-6.241
-5.15,1.196,-6.346
0.083,1.178,-1.095
0.0,1.143,-1.143
-1.867,1.224,-3.091
-2.183,1.224,-3.408
-2.2,1.216,-3.416
0.0,1.088,-1.088
-3.167,1.213,-4.379
1.467,1.196,0.271
-1.983,1.205,-3.188
0.217,1.221,-1.004
-2.6,1.224,-3.824
-0.983,1.224,-2.208
-2.35,1.224,-3.574
-2.867,1.073,-3.939
0.0,1.224,-1.224
0.5,1.224,-0.724
-1.617,1.224,-2.841
0.067,1.224,-1.158
-2.8,1.224,-4.024
-2.683,1.1,-3.784
0.217,1.224,-1.008
-1.033,1.224,-2.258
-2.6,1.224,-3.824
-1.667,1.224,-2.891
1.0,1.224,-0.224
1.55,1.224,0.326
-1.117,1.224,-2.341
-2.467,1.224,-3.691
-1.167,1.188,-2.355
-1.333,1.224,-2.558
1.25,1.147,0.103
-0.7,1.224,-1.924
-2.583,1.224,-3.808
0.333,1.177,-0.844
-2.067,1.224,-3.291
-1.417,1.224,-2.641
0.633,1.224,-0.591
-2.183,1.224,-3.408
0.6,0.526,0.074
-0.833,0.696,-1.53
-1.117,0.476,-1.593
2.0,0.671,1.329
-2.567,1.193,-3.76
-1.5,0.674,-2.174
-3.617,0.835,-4.452
-5.1,0.769,-5.869
-2.15,0.598,-2.748
-1.133,0.862,-1.995
-1.967,0.981,-2.948
