Test,Predictions,difference
1.2,0.94,0.26
1.333,1.238,0.095
2.0,0.872,1.128
2.25,1.119,1.131
0.633,1.284,-0.65
-0.667,1.028,-1.694
-0.0,0.723,-0.723
-2.6,0.781,-3.381
1.25,0.303,0.947
-3.167,0.817,-3.984
-1.733,0.021,-1.754
-1.283,0.182,-1.465
-0.967,0.04,-1.006
-2.75,0.196,-2.946
-1.517,-0.257,-1.26
-0.0,-0.143,0.143
-1.35,0.023,-1.373
0.5,0.008,0.492
-1.433,0.256,-1.689
-0.15,0.017,-0.167
-2.533,0.407,-2.94
-0.0,-0.284,0.284
-1.5,0.014,-1.514
-5.05,0.945,-5.995
-1.4,-0.532,-0.868
-2.5,-0.27,-2.23
-4.067,-0.431,-3.636
-0.0,-0.507,0.507
-5.017,0.144,-5.16
-5.15,-0.573,-4.577
0.083,-0.793,0.876
-0.0,0.821,-0.821
-1.867,0.032,-1.899
-2.183,-0.238,-1.946
-2.2,-0.313,-1.887
-0.0,0.731,-0.731
-3.167,0.812,-3.979
1.467,-0.136,1.603
-1.983,1.376,-3.36
0.217,0.287,-0.071
-2.6,0.357,-2.957
-0.983,-0.008,-0.975
-2.35,0.351,-2.701
-2.867,1.155,-4.022
-0.0,0.132,-0.132
0.5,0.369,0.131
-1.617,0.56,-2.176
0.067,0.108,-0.041
-2.8,0.47,-3.27
-2.683,0.955,-3.638
0.217,-0.082,0.299
-1.033,0.186,-1.219
-2.6,-0.081,-2.519
-1.667,-0.13,-1.537
1.0,-0.24,1.24
1.55,0.293,1.257
-1.117,0.826,-1.943
-2.467,0.164,-2.63
-1.167,0.241,-1.408
-1.333,0.088,-1.421
1.25,1.182,0.068
-0.7,0.57,-1.27
-2.583,0.745,-3.328
0.333,0.39,-0.057
-2.067,0.441,-2.508
-1.417,0.088,-1.505
0.633,0.187,0.447
-2.183,0.768,-2.951
0.6,0.051,0.549
-0.833,1.222,-2.056
-1.117,0.891,-2.008
2.0,0.434,1.566
-2.567,0.896,-3.463
-1.5,0.289,-1.789
-3.617,0.197,-3.814
-5.1,-0.245,-4.855
-2.15,-0.349,-1.801
-1.133,-0.335,-0.798
-1.967,-0.086,-1.881
-1.333,-0.257,-1.076
-3.0,0.796,-3.796
-1.5,-0.354,-1.146
-0.5,-0.2,-0.3
-1.883,0.143,-2.026
-5.767,0.054,-5.821
0.75,-0.268,1.018
-1.5,0.379,-1.879
-1.667,0.169,-1.835
0.6,0.137,0.463
-0.167,0.53,-0.696
-2.967,0.936,-3.903
-3.483,0.3,-3.784
1.667,0.188,1.479
-3.483,0.9,-4.384
1.0,-0.039,1.039
-0.2,0.52,-0.72
0.517,0.408,0.109
-0.05,0.616,-0.666
-0.283,0.656,-0.939
-0.0,0.558,-0.558
2.25,0.656,1.594
-0.25,1.095,-1.345
0.683,0.597,0.086
-1.6,0.598,-2.198
4.25,0.141,4.109
-0.983,1.512,-2.495
1.65,0.488,1.162
0.533,1.577,-1.044
-1.5,0.952,-2.452
0.533,0.481,0.052
-0.0,0.813,-0.813
-2.033,1.026,-3.059
2.2,0.398,1.802
-1.5,1.559,-3.059
1.583,0.531,1.052
-0.0,0.92,-0.92
-0.617,1.482,-2.099
1.4,0.977,0.423
-0.05,0.919,-0.969
2.7,0.629,2.071
2.467,1.109,1.358
2.367,1.32,1.046
0.383,1.381,-0.998
0.717,1.031,-0.315
0.717,1.045,-0.328
1.25,1.082,0.168
-2.783,1.232,-4.016
-0.0,0.597,-0.597
-0.25,1.548,-1.798
-6.45,0.799,-7.249
2.367,0.123,2.243
5.3,1.063,4.237
4.55,2.201,2.349
3.55,2.287,1.263
4.5,1.758,2.742
-0.5,2.059,-2.559
-0.0,1.186,-1.186
3.217,1.566,1.651
3.717,2.011,1.706
0.75,2.118,-1.368
-1.833,1.471,-3.304
-0.833,0.913,-1.746
4.75,1.236,3.514
-1.3,2.367,-3.667
4.45,1.013,3.437
1.067,2.25,-1.184
0.6,1.466,-0.866
2.417,1.265,1.152
4.217,1.508,2.709
4.433,1.702,2.731
1.783,2.402,-0.619
2.117,1.772,0.344
2.8,1.799,1.001
-1.467,2.218,-3.685
-1.3,1.153,-2.453
-0.75,0.784,-1.534
-0.75,0.623,-1.373
2.633,0.944,1.689
-1.917,1.388,-3.305
-0.067,1.472,-1.539
-2.233,0.848,-3.081
-0.0,0.805,-0.805
1.883,0.617,1.266
0.5,1.03,-0.53
0.467,0.694,-0.228
-0.0,0.721,-0.721
4.117,1.087,3.03
-0.467,1.994,-2.461
4.467,1.052,3.415
-0.567,2.551,-3.118
3.767,1.642,2.125
0.4,2.151,-1.751
-0.433,1.278,-1.711
3.717,1.814,1.903
4.817,2.268,2.549
-1.683,2.643,-4.327
5.0,1.476,3.524
-1.5,2.953,-4.453
2.55,1.41,1.14
2.25,2.2,0.05
0.25,4.672,-4.422
4.0,3.485,0.515
4.0,3.695,0.305
1.717,3.553,-1.836
0.75,3.655,-2.905
0.483,2.849,-2.366
0.717,1.728,-1.011
2.133,1.931,0.202
-1.517,2.087,-3.603
-1.267,0.941,-2.207
0.7,0.69,0.01
-3.25,1.501,-4.751
1.8,0.185,1.615
0.5,0.979,-0.479
0.617,1.163,-0.547
-0.25,0.832,-1.082
4.0,0.858,3.142
1.667,1.535,0.131
0.617,1.291,-0.674
0.117,1.104,-0.988
-0.617,1.017,-1.634
-0.25,0.924,-1.174
2.5,0.716,1.784
1.867,1.221,0.646
3.25,1.186,2.064
-1.1,1.52,-2.62
3.5,1.005,2.495
2.75,1.632,1.118
-1.983,1.937,-3.92
1.25,0.866,0.384
3.583,0.959,2.625
2.033,1.843,0.19
-2.9,1.363,-4.263
4.5,0.186,4.314
-0.0,1.506,-1.506
-2.2,1.348,-3.548
-0.0,0.579,-0.579
-2.633,0.763,-3.396
-0.183,0.354,-0.537
0.933,0.42,0.513
0.633,0.7,-0.066
-0.133,0.65,-0.783
0.683,0.698,-0.015
1.75,0.712,1.038
-11.833,0.957,-12.79
3.25,-0.876,4.126
9.733,0.797,8.937
0.25,2.314,-2.064
0.167,1.256,-1.089
-1.633,1.081,-2.714
0.533,0.79,-0.256
2.117,1.086,1.031
8.767,1.519,7.247
-2.117,3.211,-5.328
-1.867,0.857,-2.724
-1.683,0.655,-2.339
7.633,0.428,7.206
-1.75,2.108,-3.858
-0.0,0.597,-0.597
-0.0,1.585,-1.585
-0.0,1.835,-1.835
-0.0,2.056,-2.056
7.45,1.381,6.069
10.25,3.228,7.022
7.567,4.002,3.564
6.417,3.722,2.695
6.917,3.704,3.212
8.017,4.005,4.011
3.7,4.421,-0.721
10.5,4.034,6.466
9.533,4.538,4.996
2.833,4.551,-1.718
1.817,3.605,-1.788
1.917,2.73,-0.814
11.75,2.386,9.364
10.0,3.19,6.81
0.8,2.949,-2.149
-0.0,2.521,-2.521
6.5,2.233,4.267
-0.933,3.095,-4.029
-0.783,1.307,-2.09
3.183,1.045,2.139
1.833,1.471,0.362
7.967,1.193,6.774
8.45,2.735,5.715
-0.0,3.298,-3.298
4.1,1.407,2.693
8.667,1.886,6.781
4.267,3.278,0.989
8.717,2.54,6.176
0.533,2.136,-1.603
0.65,1.78,-1.13
12.9,1.494,11.406
5.45,3.853,1.597
7.133,2.716,4.417
6.8,2.903,3.897
6.3,3.019,3.281
7.25,3.426,3.824
0.133,3.594,-3.46
-1.25,1.915,-3.165
11.617,1.446,10.171
10.917,3.993,6.924
-0.5,4.225,-4.725
-0.7,2.481,-3.181
5.083,1.667,3.416
9.983,2.768,7.215
1.95,3.96,-2.01
-2.667,2.138,-4.804
3.167,1.833,1.333
8.767,1.908,6.858
9.967,3.12,6.847
1.917,3.78,-1.863
1.333,2.439,-1.105
1.217,1.684,-0.468
9.733,1.504,8.229
-1.683,2.756,-4.44
4.367,1.361,3.006
-1.0,2.128,-3.128
4.65,1.246,3.404
-2.6,1.915,-4.515
1.45,0.738,0.712
3.867,1.098,2.769
4.85,1.65,3.2
7.3,2.075,5.225
5.033,2.784,2.249
8.217,2.969,5.248
1.05,3.697,-2.647
5.783,2.056,3.727
0.417,3.004,-2.588
3.367,1.71,1.657
-0.033,2.268,-2.301
