Test,Predictions,difference
1.2,1.158,0.042
1.333,1.437,-0.104
2.0,1.12,0.88
2.25,1.281,0.969
0.633,1.462,-0.829
-0.667,1.404,-2.071
-0.0,0.998,-0.998
-2.6,0.962,-3.562
1.25,0.595,0.655
-3.167,0.926,-4.092
-1.733,0.341,-2.074
-1.283,0.39,-1.673
-0.967,0.259,-1.225
-2.75,0.359,-3.109
-1.517,0.013,-1.529
-0.0,0.021,-0.021
-1.35,0.21,-1.56
0.5,0.242,0.258
-1.433,0.482,-1.916
-0.15,0.382,-0.532
-2.533,0.736,-3.27
-0.0,0.104,-0.104
-1.5,0.361,-1.861
-5.05,0.782,-5.832
-1.4,-0.12,-1.28
-2.5,-0.01,-2.49
-4.067,-0.103,-3.963
-0.0,-0.12,0.12
-5.017,0.244,-5.26
-5.15,-0.201,-4.949
0.083,-0.369,0.453
-0.0,0.477,-0.477
-1.867,0.207,-2.073
-2.183,-0.04,-2.144
-2.2,-0.091,-2.109
-0.0,0.422,-0.422
-3.167,0.537,-3.703
1.467,0.089,1.378
-1.983,1.163,-3.146
0.217,0.372,-0.155
-2.6,0.523,-3.123
-0.983,0.295,-1.279
-2.35,0.424,-2.774
-2.867,0.575,-3.441
-0.0,0.168,-0.168
0.5,0.455,0.045
-1.617,0.644,-2.26
0.067,0.338,-0.271
-2.8,0.6,-3.4
-2.683,0.612,-3.295
0.217,0.174,0.043
-1.033,0.526,-1.56
-2.6,0.246,-2.846
-1.667,0.248,-1.915
1.0,0.202,0.798
1.55,0.531,1.019
-1.117,1.006,-2.122
-2.467,0.434,-2.901
-1.167,0.337,-1.504
-1.333,0.349,-1.682
1.25,1.063,0.187
-0.7,0.597,-1.297
-2.583,0.641,-3.224
0.333,0.521,-0.187
-2.067,0.526,-2.593
-1.417,0.381,-1.798
0.633,0.428,0.205
-2.183,0.709,-2.892
0.6,0.254,0.346
-0.833,1.06,-1.893
-1.117,0.753,-1.87
2.0,0.524,1.476
-2.567,0.999,-3.565
-1.5,0.539,-2.039
-3.617,0.427,-4.044
-5.1,0.115,-5.215
-2.15,-0.063,-2.087
-1.133,-0.053,-1.08
-1.967,0.132,-2.099
-1.333,0.044,-1.377
-3.0,0.678,-3.678
-1.5,-0.031,-1.469
-0.5,0.067,-0.567
-1.883,0.325,-2.208
-5.767,0.269,-6.036
0.75,-0.026,0.776
-1.5,0.432,-1.932
-1.667,0.33,-1.996
0.6,0.309,0.291
-0.167,0.723,-0.89
-2.967,1.202,-4.169
-3.483,0.563,-4.046
1.667,0.472,1.195
-3.483,1.178,-4.662
1.0,0.238,0.762
-0.2,0.712,-0.912
0.517,0.64,-0.123
-0.05,0.79,-0.84
-0.283,0.89,-1.174
-0.0,0.807,-0.807
2.25,0.945,1.305
-0.25,1.38,-1.63
0.683,1.32,-0.637
-1.6,1.326,-2.926
4.25,0.887,3.363
-0.983,2.029,-3.013
1.65,1.32,0.33
0.533,1.991,-1.458
-1.5,1.636,-3.136
0.533,1.102,-0.569
-0.0,1.243,-1.243
-2.033,1.462,-3.496
2.2,0.784,1.416
-1.5,1.86,-3.36
1.583,0.892,0.691
-0.0,1.342,-1.342
-0.617,1.677,-2.294
1.4,1.334,0.066
-0.05,1.188,-1.238
2.7,1.043,1.657
2.467,1.806,0.66
2.367,1.993,0.373
0.383,1.879,-1.496
0.717,1.825,-1.108
0.717,1.895,-1.178
1.25,1.862,-0.612
-2.783,1.781,-4.564
-0.0,1.067,-1.067
-0.25,1.8,-2.05
-6.45,1.215,-7.665
2.367,0.386,1.981
5.3,1.358,3.942
4.55,2.444,2.106
3.55,2.633,0.917
4.5,2.529,1.971
-0.5,2.896,-3.396
-0.0,1.801,-1.801
3.217,2.004,1.212
3.717,2.261,1.456
0.75,2.509,-1.759
-1.833,1.991,-3.825
-0.833,1.337,-2.17
4.75,1.612,3.138
-1.3,2.46,-3.76
4.45,1.356,3.094
1.067,2.611,-1.544
0.6,2.081,-1.481
2.417,1.819,0.598
4.217,2.157,2.06
4.433,2.585,1.848
1.783,2.897,-1.114
2.117,2.574,-0.458
2.8,2.442,0.358
-1.467,2.795,-4.261
-1.3,1.774,-3.074
-0.75,1.403,-2.153
-0.75,1.168,-1.918
2.633,1.392,1.241
-1.917,1.942,-3.858
-0.067,1.596,-1.663
-2.233,1.184,-3.418
-0.0,1.079,-1.079
1.883,1.094,0.789
0.5,1.571,-1.071
0.467,1.61,-1.144
-0.0,1.604,-1.604
4.117,1.699,2.418
-0.467,2.406,-2.873
4.467,1.667,2.8
-0.567,2.61,-3.177
3.767,2.09,1.677
0.4,2.575,-2.175
-0.433,2.121,-2.555
3.717,2.053,1.664
4.817,2.367,2.45
-1.683,2.841,-4.525
5.0,1.653,3.347
-1.5,2.838,-4.338
2.55,1.634,0.916
2.25,2.187,0.063
0.25,5.93,-5.68
4.0,4.315,-0.315
4.0,3.815,0.185
1.717,3.739,-2.022
0.75,3.362,-2.612
0.483,2.491,-2.007
0.717,1.553,-0.837
2.133,1.855,0.278
-1.517,1.717,-3.234
-1.267,0.802,-2.069
0.7,0.549,0.151
-3.25,1.275,-4.525
1.8,0.146,1.654
0.5,0.894,-0.394
0.617,0.815,-0.199
-0.25,0.859,-1.109
4.0,0.536,3.464
1.667,1.383,0.284
0.617,1.196,-0.58
0.117,1.013,-0.896
-0.617,0.891,-1.508
-0.25,0.756,-1.006
2.5,0.612,1.888
1.867,1.198,0.669
3.25,1.208,2.042
-1.1,1.598,-2.698
3.5,0.944,2.556
2.75,1.699,1.051
-1.983,1.926,-3.91
1.25,0.86,0.39
3.583,1.234,2.349
2.033,1.91,0.123
-2.9,1.567,-4.467
4.5,0.316,4.184
-0.0,1.614,-1.614
-2.2,1.223,-3.423
-0.0,0.578,-0.578
-2.633,0.706,-3.339
-0.183,0.344,-0.528
0.933,0.49,0.444
0.633,0.682,-0.049
-0.133,0.654,-0.787
0.683,0.697,-0.013
1.75,0.581,1.169
-11.833,1.045,-12.879
3.25,-0.432,3.682
9.733,0.703,9.03
0.25,2.282,-2.032
0.167,1.088,-0.921
-1.633,1.006,-2.639
0.533,0.679,-0.146
2.117,0.834,1.283
8.767,1.24,7.527
-2.117,2.261,-4.377
-1.867,0.778,-2.644
-1.683,0.657,-2.34
7.633,0.423,7.211
-1.75,1.923,-3.673
-0.0,0.793,-0.793
-0.0,1.475,-1.475
-0.0,1.53,-1.53
-0.0,1.675,-1.675
7.45,1.315,6.135
10.25,2.783,7.467
7.567,3.648,3.919
6.417,3.56,2.857
6.917,3.477,3.439
8.017,3.675,4.342
3.7,3.897,-0.197
10.5,3.118,7.382
9.533,3.989,5.544
2.833,4.108,-1.275
1.817,3.256,-1.439
1.917,2.502,-0.586
11.75,2.39,9.36
10.0,3.328,6.672
0.8,3.071,-2.271
-0.0,2.159,-2.159
6.5,1.863,4.637
-0.933,2.645,-3.579
-0.783,1.391,-2.174
3.183,1.03,2.153
1.833,1.448,0.385
7.967,1.437,6.53
8.45,2.627,5.823
-0.0,3.022,-3.022
4.1,1.787,2.313
8.667,2.138,6.529
4.267,3.016,1.251
8.717,2.479,6.238
0.533,2.251,-1.718
0.65,1.867,-1.217
12.9,1.476,11.424
5.45,3.626,1.824
7.133,2.793,4.34
6.8,3.121,3.679
6.3,3.198,3.102
7.25,3.361,3.889
0.133,3.498,-3.365
-1.25,2.143,-3.393
11.617,1.47,10.146
10.917,3.655,7.262
-0.5,4.029,-4.529
-0.7,2.439,-3.139
5.083,1.88,3.204
9.983,2.51,7.473
1.95,3.497,-1.547
-2.667,2.458,-5.125
3.167,1.8,1.367
8.767,1.834,6.932
9.967,3.003,6.964
1.917,3.393,-1.476
1.333,2.086,-0.753
1.217,1.403,-0.186
9.733,1.347,8.386
-1.683,2.965,-4.649
4.367,1.213,3.153
-1.0,1.927,-2.927
4.65,0.99,3.66
-2.6,1.679,-4.279
1.45,0.686,0.764
3.867,0.946,2.92
4.85,1.421,3.429
7.3,2.021,5.279
5.033,2.77,2.264
8.217,2.876,5.34
1.05,3.35,-2.3
5.783,2.075,3.709
0.417,2.954,-2.537
3.367,1.61,1.756
-0.033,2.296,-2.329
-1.2,1.102,-2.302
-1.333,0.757,-2.09
6.667,0.579,6.088
6.85,1.99,4.86
6.467,2.153,4.314
1.75,2.269,-0.519
1.75,1.717,0.033
-1.1,1.414,-2.514
2.567,1.1,1.467
0.267,1.321,-1.055
1.983,0.984,0.999
0.767,1.146,-0.379
-0.4,1.148,-1.548
-0.25,0.718,-0.968
-0.2,0.576,-0.776
-0.45,0.59,-1.04
-0.0,0.545,-0.545
1.383,0.448,0.935
-0.133,0.756,-0.89
-0.7,0.683,-1.383
-0.0,0.641,-0.641
-1.4,0.463,-1.863
-1.0,0.896,-1.896
-1.417,0.479,-1.895
1.367,0.304,1.063
1.233,0.732,0.501
-0.0,0.71,-0.71
0.6,0.649,-0.049
-0.0,1.082,-1.082
3.033,1.229,1.804
2.833,1.631,1.202
1.683,1.905,-0.222
3.5,1.214,2.286
1.967,1.328,0.638
1.817,1.204,0.613
-0.717,1.388,-2.104
1.0,1.373,-0.373
-0.0,1.03,-1.03
0.183,1.272,-1.088
2.833,0.793,2.04
-1.0,1.18,-2.18
-1.7,0.922,-2.622
1.85,0.538,1.312
2.5,1.352,1.148
-1.867,1.592,-3.459
-2.25,0.567,-2.817
6.8,0.283,6.517
-2.617,1.993,-4.61
5.3,0.844,4.456
11.75,2.555,9.195
11.433,3.408,8.025
1.967,3.725,-1.759
13.15,2.406,10.744
12.9,3.492,9.408
17.5,3.723,13.777
1.867,4.486,-2.62
0.5,2.903,-2.403
5.733,1.942,3.791
5.25,2.193,3.057
3.0,2.164,0.836
3.567,2.138,1.428
3.4,1.897,1.503
13.3,1.857,11.443
5.117,2.889,2.227
-0.0,2.299,-2.299
12.95,1.225,11.725
3.85,3.129,0.721
4.483,2.167,2.316
3.783,1.924,1.859
10.55,1.889,8.661
12.033,3.013,9.02
9.25,3.639,5.611
10.0,3.467,6.533
8.95,3.758,5.192
16.983,3.653,13.33
16.65,4.765,11.885
12.133,5.133,7.0
12.233,4.917,7.316
5.367,4.935,0.432
12.283,4.052,8.231
12.767,4.517,8.25
15.983,4.666,11.318
7.45,5.186,2.264
9.5,4.168,5.332
8.967,4.192,4.774
8.183,4.227,3.956
11.283,3.93,7.354
23.283,4.871,18.413
27.283,6.177,21.107
6.283,7.312,-1.029
16.283,6.189,10.094
28.75,6.578,22.172
26.75,7.444,19.306
25.817,7.868,17.948
28.65,7.991,20.659
12.417,7.998,4.419
11.333,7.191,4.142
-1.6,6.696,-8.296
11.117,4.422,6.694
-0.5,5.608,-6.108
9.667,3.324,6.343
0.75,4.366,-3.616
-1.2,2.553,-3.753
-0.05,1.724,-1.774
3.8,1.174,2.626
20.45,1.659,18.791
25.717,4.465,21.252
2.467,5.965,-3.498
1.717,4.083,-2.366
0.75,3.461,-2.711
2.233,2.248,-0.015
31.783,2.444,29.339
30.2,5.856,24.344
4.317,6.353,-2.037
-2.383,4.254,-6.637
0.5,2.325,-1.825
-0.05,1.959,-2.009
-0.133,1.285,-1.419
-0.75,1.312,-2.062
35.083,0.724,34.359
27.583,5.165,22.419
-1.317,5.815,-7.131
1.617,3.165,-1.549
37.3,2.483,34.817
39.75,6.383,33.367
35.517,7.474,28.043
38.917,7.905,31.012
-0.0,8.302,-8.302
10.25,6.347,3.903
10.25,6.248,4.002
-0.333,5.867,-6.201
0.233,4.135,-3.902
-0.567,3.23,-3.796
-4.1,2.303,-6.403
-0.983,1.242,-2.225
-2.733,0.746,-3.479
1.633,0.244,1.389
1.8,0.652,1.148
-0.067,0.92,-0.987
0.3,0.635,-0.335
1.567,0.94,0.627
2.6,1.397,1.203
2.6,1.367,1.233
1.25,1.429,-0.179
0.633,0.999,-0.365
-2.617,0.916,-3.533
2.5,0.368,2.132
-1.217,0.838,-2.055
0.5,0.528,-0.028
-2.167,0.417,-2.583
-0.0,0.153,-0.153
1.0,0.204,0.796
0.95,0.46,0.49
1.45,0.884,0.566
-0.25,1.271,-1.521
-0.0,0.409,-0.409
0.05,0.727,-0.677
-1.0,0.524,-1.524
-1.517,0.334,-1.851
-0.017,0.232,-0.249
-0.0,0.393,-0.393
-1.25,0.429,-1.679
-0.0,0.237,-0.237
-3.467,0.308,-3.775
4.15,0.095,4.055
2.5,0.897,1.603
-0.0,0.902,-0.902
-0.0,0.677,-0.677
-0.0,0.726,-0.726
-0.0,0.65,-0.65
3.517,0.679,2.837
6.8,0.988,5.812
-0.0,1.745,-1.745
12.9,1.167,11.733
1.433,2.918,-1.484
1.217,1.631,-0.414
12.417,1.272,11.145
9.45,3.107,6.343
7.517,2.822,4.695
8.3,2.659,5.641
8.45,2.769,5.681
5.183,2.745,2.438
8.1,2.621,5.479
4.317,3.099,1.218
7.0,2.537,4.463
8.1,2.803,5.297
7.283,2.995,4.288
7.983,2.827,5.157
7.8,2.977,4.823
2.35,2.88,-0.53
