Test,Predictions,difference
1.2,2.397,-1.197
1.333,2.398,-1.065
2.0,2.414,-0.414
2.25,2.448,-0.198
0.633,2.472,-1.838
-0.667,2.431,-3.098
-0.0,2.346,-2.346
-2.6,2.344,-4.944
1.25,2.002,-0.752
-3.167,2.318,-5.485
-1.733,2.094,-3.827
-1.283,2.167,-3.45
-0.967,2.149,-3.116
-2.75,2.146,-4.896
-1.517,2.095,-3.612
-0.0,2.111,-2.111
-1.35,2.163,-3.513
0.5,2.139,-1.639
-1.433,2.223,-3.656
-0.15,2.164,-2.314
-2.533,2.202,-4.735
-0.0,2.13,-2.13
-1.5,2.191,-3.691
-5.05,2.164,-7.214
-1.4,2.039,-3.439
-2.5,2.098,-4.598
-4.067,2.072,-6.139
-0.0,2.044,-2.044
-5.017,2.116,-7.132
-5.15,2.042,-7.192
0.083,1.941,-1.857
-0.0,2.088,-2.088
-1.867,2.142,-4.008
-2.183,2.106,-4.289
-2.2,2.086,-4.286
-0.0,2.087,-2.087
-3.167,2.143,-5.31
1.467,2.092,-0.626
-1.983,2.189,-4.172
0.217,2.143,-1.926
-2.6,2.182,-4.782
-0.983,2.115,-3.098
-2.35,2.134,-4.484
-2.867,2.11,-4.977
-0.0,2.099,-2.099
0.5,2.17,-1.67
-1.617,2.227,-3.843
0.067,2.154,-2.088
-2.8,2.191,-4.991
-2.683,2.121,-4.804
0.217,2.108,-1.892
-1.033,2.164,-3.197
-2.6,2.146,-4.746
-1.667,2.12,-3.786
1.0,2.117,-1.117
1.55,2.193,-0.643
-1.117,2.263,-3.379
-2.467,2.215,-4.682
-1.167,2.152,-3.318
-1.333,2.151,-3.485
1.25,2.146,-0.896
-0.7,2.238,-2.938
-2.583,2.227,-4.811
0.333,2.156,-1.822
-2.067,2.227,-4.294
-1.417,2.153,-3.569
0.633,2.161,-1.528
-2.183,2.21,-4.393
0.6,2.118,-1.518
-0.833,1.874,-2.708
-1.117,0.287,-1.404
2.0,1.596,0.404
-2.567,2.168,-4.735
-1.5,1.997,-3.497
-3.617,2.07,-5.687
-5.1,1.893,-6.993
-2.15,1.754,-3.904
-1.133,1.961,-3.095
-1.967,2.012,-3.979
-1.333,2.013,-3.347
-3.0,2.029,-5.029
-1.5,1.956,-3.456
-0.5,2.024,-2.524
-1.883,2.058,-3.942
-5.767,2.04,-7.807
0.75,1.773,-1.023
-1.5,2.068,-3.568
-1.667,2.043,-3.71
0.6,2.037,-1.437
-0.167,2.078,-2.245
-2.967,2.217,-5.184
-3.483,2.095,-5.579
1.667,2.068,-0.401
-3.483,2.154,-5.638
1.0,1.987,-0.987
-0.2,2.132,-2.332
0.517,2.111,-1.595
-0.05,2.161,-2.211
-0.283,2.161,-2.444
-0.0,2.146,-2.146
2.25,2.158,0.092
-0.25,2.228,-2.478
0.683,2.175,-1.492
-1.6,2.196,-3.796
4.25,2.181,2.069
-0.983,2.445,-3.429
1.65,2.303,-0.653
0.533,2.364,-1.831
-1.5,2.384,-3.884
0.533,1.324,-0.79
-0.0,1.288,-1.288
-2.033,0.851,-2.884
2.2,-0.221,2.421
-1.5,1.144,-2.644
1.583,-0.185,1.769
-0.0,1.819,-1.819
-0.617,0.595,-1.212
1.4,0.068,1.332
-0.05,1.866,-1.916
2.7,1.313,1.387
2.467,2.394,0.072
2.367,2.454,-0.087
0.383,2.535,-2.151
0.717,1.904,-1.187
0.717,1.343,-0.627
1.25,1.048,0.202
-2.783,1.219,-4.003
-0.0,-0.376,0.376
-0.25,0.322,-0.572
-6.45,0.282,-6.732
2.367,-0.536,2.903
5.3,2.286,3.014
4.55,2.482,2.068
3.55,2.577,0.973
4.5,2.675,1.825
-0.5,2.835,-3.335
-0.0,2.507,-2.507
3.217,2.345,0.871
3.717,2.691,1.026
0.75,2.782,-2.032
-1.833,2.668,-4.501
-0.833,1.77,-2.603
4.75,0.933,3.817
-1.3,2.614,-3.914
4.45,0.904,3.546
1.067,2.613,-1.546
0.6,2.481,-1.881
2.417,2.392,0.025
4.217,2.552,1.665
4.433,2.795,1.639
1.783,2.974,-1.191
2.117,2.882,-0.765
2.8,2.84,-0.04
-1.467,2.783,-4.25
-1.3,1.944,-3.244
-0.75,1.334,-2.084
-0.75,0.665,-1.415
2.633,0.425,2.208
-1.917,1.75,-3.667
-0.067,0.357,-0.424
-2.233,-0.229,-2.005
-0.0,-0.435,0.435
1.883,-0.203,2.087
0.5,1.465,-0.965
0.467,1.082,-0.616
-0.0,0.89,-0.89
4.117,0.139,3.978
-0.467,2.49,-2.956
4.467,0.589,3.878
-0.567,2.604,-3.171
3.767,1.407,2.36
0.4,2.631,-2.231
-0.433,2.032,-2.466
3.717,1.691,2.026
4.817,2.682,2.134
-1.683,2.9,-4.584
5.0,1.665,3.335
-1.5,2.811,-4.311
2.55,1.619,0.931
2.25,2.352,-0.102
0.25,3.62,-3.37
4.0,2.992,1.008
4.0,3.004,0.996
1.717,2.935,-1.218
0.75,2.817,-2.067
0.483,2.756,-2.273
0.717,2.564,-1.848
2.133,2.361,-0.227
-1.517,2.556,-4.072
-1.267,1.596,-2.863
0.7,1.674,-0.974
-3.25,2.306,-5.556
1.8,2.217,-0.417
0.5,2.312,-1.812
0.617,2.218,-1.601
-0.25,1.867,-2.117
4.0,1.717,2.283
1.667,2.317,-0.651
0.617,2.288,-1.671
0.117,2.249,-2.132
-0.617,2.231,-2.848
-0.25,2.174,-2.424
2.5,2.167,0.333
1.867,2.297,-0.43
3.25,2.324,0.926
-1.1,2.448,-3.548
3.5,2.267,1.233
2.75,2.449,0.301
-1.983,2.473,-4.457
1.25,2.258,-1.008
3.583,2.28,1.303
2.033,2.4,-0.366
-2.9,2.419,-5.319
4.5,2.178,2.322
-0.0,2.489,-2.489
-2.2,2.257,-4.457
-0.0,1.89,-1.89
-2.633,2.097,-4.731
-0.183,1.246,-1.429
0.933,1.478,-0.545
0.633,1.939,-1.306
-0.133,2.008,-2.141
0.683,1.697,-1.013
1.75,2.055,-0.305
-11.833,2.217,-14.051
3.25,0.482,2.768
9.733,2.171,7.562
0.25,2.809,-2.559
0.167,2.323,-2.156
-1.633,2.273,-3.906
0.533,1.974,-1.441
2.117,2.217,-0.1
8.767,2.304,6.462
-2.117,2.76,-4.876
-1.867,2.276,-4.142
-1.683,2.005,-3.689
7.633,1.517,6.116
-1.75,2.721,-4.471
-0.0,2.22,-2.22
-0.0,2.222,-2.222
-0.0,2.207,-2.207
-0.0,2.172,-2.172
7.45,2.111,5.339
10.25,2.682,7.568
7.567,3.229,4.337
6.417,3.023,3.394
6.917,2.836,4.08
8.017,2.914,5.103
3.7,3.003,0.697
10.5,2.585,7.915
9.533,3.462,6.071
2.833,3.426,-0.593
1.817,2.721,-0.904
1.917,2.603,-0.686
11.75,2.513,9.237
10.0,3.416,6.584
0.8,3.3,-2.5
-0.0,2.551,-2.551
6.5,2.423,4.077
-0.933,2.845,-3.778
-0.783,2.373,-3.157
3.183,2.301,0.883
1.833,2.499,-0.666
7.967,2.408,5.559
8.45,3.025,5.425
-0.0,3.149,-3.149
4.1,2.452,1.648
8.667,2.56,6.107
4.267,3.16,1.106
8.717,2.694,6.023
0.533,2.72,-2.186
0.65,2.586,-1.936
12.9,2.494,10.406
5.45,3.921,1.529
7.133,3.452,3.681
6.8,3.609,3.191
6.3,3.617,2.683
7.25,3.478,3.772
0.133,3.65,-3.517
-1.25,2.878,-4.128
11.617,2.634,8.983
10.917,3.97,6.947
-0.5,4.29,-4.79
-0.7,2.974,-3.674
5.083,2.618,2.465
9.983,3.087,6.896
1.95,3.897,-1.947
-2.667,3.063,-5.73
3.167,2.542,0.625
8.767,2.813,5.954
9.967,3.363,6.604
1.917,3.56,-1.643
1.333,3.031,-1.698
1.217,2.904,-1.687
9.733,2.906,6.828
-1.683,3.477,-5.16
4.367,2.853,1.514
-1.0,2.919,-3.919
4.65,2.642,2.008
-2.6,3.041,-5.641
1.45,2.427,-0.977
3.867,2.521,1.346
4.85,2.821,2.029
7.3,3.109,4.191
5.033,3.482,1.551
8.217,3.181,5.036
1.05,3.6,-2.55
5.783,3.044,2.74
0.417,2.927,-2.51
3.367,2.52,0.846
-0.033,2.517,-2.55
-1.2,2.388,-3.588
-1.333,2.302,-3.635
6.667,2.203,4.464
6.85,2.529,4.321
6.467,2.659,3.808
1.75,2.818,-1.068
1.75,2.515,-0.765
-1.1,2.491,-3.591
2.567,2.341,0.225
0.267,2.422,-2.156
1.983,2.349,-0.366
0.767,2.391,-1.625
-0.4,2.357,-2.757
-0.25,2.288,-2.538
-0.2,2.242,-2.442
-0.45,2.245,-2.695
-0.0,2.211,-2.211
1.383,2.194,-0.81
-0.133,2.25,-2.383
-0.7,2.239,-2.939
-0.0,2.179,-2.179
-1.4,2.178,-3.578
-1.0,2.159,-3.159
-1.417,2.119,-3.536
1.367,2.057,-0.69
1.233,2.164,-0.93
-0.0,2.203,-2.203
0.6,2.191,-1.591
-0.0,2.199,-2.199
3.033,2.208,0.825
2.833,2.349,0.485
1.683,2.385,-0.702
3.5,2.396,1.104
1.967,2.429,-0.462
1.817,2.469,-0.652
-0.717,2.506,-3.222
1.0,2.32,-1.32
-0.0,2.352,-2.352
0.183,2.294,-2.111
2.833,2.299,0.534
-1.0,2.418,-3.418
-1.7,2.329,-4.029
1.85,2.179,-0.329
2.5,2.342,0.158
-1.867,2.428,-4.294
-2.25,2.379,-4.629
6.8,2.221,4.579
-2.617,2.578,-5.194
5.3,2.3,3.0
11.75,2.844,8.906
11.433,3.362,8.072
1.967,3.239,-1.272
13.15,2.59,10.56
12.9,3.378,9.522
17.5,3.368,14.132
1.867,3.921,-2.054
0.5,2.696,-2.196
5.733,2.516,3.217
5.25,2.783,2.467
3.0,2.829,0.171
3.567,2.602,0.965
3.4,2.54,0.86
13.3,2.497,10.803
5.117,3.299,1.817
-0.0,2.717,-2.717
12.95,2.406,10.544
3.85,3.374,0.476
4.483,2.689,1.795
3.783,2.701,1.082
10.55,2.673,7.877
12.033,3.334,8.699
9.25,3.77,5.48
10.0,3.5,6.5
8.95,3.652,5.298
16.983,3.681,13.302
16.65,4.222,12.428
12.133,4.397,7.736
12.233,3.971,8.262
5.367,3.947,1.42
12.283,3.288,8.996
12.767,3.67,9.097
15.983,4.059,11.925
7.45,4.299,3.151
9.5,3.593,5.907
8.967,3.773,5.194
8.183,3.723,4.46
11.283,3.733,7.551
23.283,3.468,19.815
27.283,5.114,22.169
6.283,6.007,0.277
16.283,3.294,12.989
28.75,4.121,24.629
26.75,6.413,20.337
25.817,6.775,19.042
28.65,6.866,21.784
12.417,7.501,4.915
11.333,4.51,6.823
-1.6,3.99,-5.59
11.117,2.715,8.401
-0.5,3.489,-3.989
9.667,2.534,7.133
0.75,3.208,-2.458
-1.2,2.549,-3.749
-0.05,2.375,-2.425
3.8,2.267,1.533
20.45,2.487,17.963
25.717,4.603,21.113
2.467,6.198,-3.732
1.717,2.826,-1.109
0.75,2.532,-1.782
2.233,2.421,-0.188
31.783,2.409,29.374
30.2,6.162,24.038
4.317,6.151,-1.834
-2.383,3.188,-5.571
0.5,2.406,-1.906
-0.05,2.389,-2.439
-0.133,2.306,-2.439
-0.75,2.241,-2.991
35.083,2.182,32.902
27.583,5.972,21.611
-1.317,5.378,-6.695
1.617,2.625,-1.008
37.3,2.474,34.826
39.75,6.844,32.906
35.517,8.261,27.255
38.917,7.752,31.165
-0.0,8.461,-8.461
10.25,3.078,7.172
10.25,3.4,6.85
-0.333,3.345,-3.678
0.233,2.495,-2.261
-0.567,2.374,-2.94
-4.1,2.29,-6.39
-0.983,2.03,-3.014
-2.733,2.103,-4.836
1.633,1.975,-0.342
1.8,2.149,-0.349
-0.067,2.17,-2.236
0.3,2.16,-1.86
1.567,2.124,-0.558
2.6,2.169,0.431
2.6,2.257,0.343
1.25,2.32,-1.07
0.633,2.291,-1.658
-2.617,2.285,-4.902
2.5,2.138,0.362
-1.217,2.263,-3.48
0.5,2.149,-1.649
-2.167,2.155,-4.322
-0.0,2.069,-2.069
1.0,2.127,-1.127
0.95,2.181,-1.231
1.45,2.187,-0.737
-0.25,2.221,-2.471
-0.0,2.193,-2.193
0.05,2.182,-2.132
-1.0,2.174,-3.174
-1.517,2.125,-3.642
-0.017,2.091,-2.107
-0.0,2.118,-2.118
-1.25,2.11,-3.36
-0.0,2.071,-2.071
-3.467,2.09,-5.557
4.15,1.975,2.175
2.5,2.191,0.309
-0.0,2.255,-2.255
-0.0,2.176,-2.176
-0.0,2.194,-2.194
-0.0,2.212,-2.212
3.517,2.195,1.321
6.8,2.291,4.509
-0.0,2.7,-2.7
12.9,2.386,10.514
1.433,3.165,-1.732
1.217,2.438,-1.221
12.417,2.372,10.045
9.45,3.112,6.338
7.517,2.955,4.562
8.3,2.82,5.48
8.45,2.868,5.582
5.183,2.882,2.301
8.1,2.719,5.381
4.317,2.901,1.416
7.0,2.601,4.399
8.1,2.791,5.309
7.283,2.855,4.429
7.983,2.848,5.136
7.8,2.895,4.905
2.35,2.982,-0.632
7.05,2.528,4.522
5.667,2.977,2.69
1.85,2.952,-1.102
1.85,2.57,-0.72
-0.0,2.58,-2.58
4.633,2.427,2.206
-0.633,2.598,-3.232
-1.767,2.382,-4.149
-0.883,2.237,-3.121
-1.067,2.218,-3.284
-2.067,2.187,-4.254
-1.117,2.136,-3.253
-1.467,2.073,-3.54
-1.933,2.089,-4.023
-2.633,2.065,-4.699
-3.383,2.034,-5.417
-2.367,2.033,-4.4
0.75,2.097,-1.347
-3.35,2.148,-5.498
-0.567,1.977,-2.544
-1.083,2.095,-3.178
-3.067,2.152,-5.219
-0.017,2.107,-2.123
-2.033,2.162,-4.195
-1.55,2.138,-3.688
1.683,2.084,-0.401
-2.05,2.157,-4.207
-1.483,2.052,-3.535
2.817,2.088,0.728
3.317,2.156,1.161
2.517,2.341,0.176
8.0,2.316,5.684
5.367,2.783,2.583
0.933,2.744,-1.811
4.95,2.523,2.427
1.667,2.908,-1.241
7.75,2.696,5.054
-2.567,2.983,-5.55
-0.25,2.366,-2.616
-1.5,1.995,-3.495
-0.367,2.033,-2.399
-1.167,2.05,-3.217
0.517,2.042,-1.526
-0.0,2.085,-2.085
1.633,2.097,-0.464
2.133,2.154,-0.021
0.167,2.211,-2.044
1.467,2.188,-0.721
-0.45,2.216,-2.666
-1.0,2.173,-3.173
-0.4,2.151,-2.551
3.317,2.145,1.172
-1.6,2.294,-3.894
0.3,2.178,-1.878
0.183,2.185,-2.002
-0.0,2.189,-2.189
-3.417,2.192,-5.609
-4.35,2.08,-6.43
-1.5,1.944,-3.444
1.167,2.042,-0.875
-1.233,2.088,-3.322
3.733,2.06,1.673
-0.2,2.226,-2.426
-1.1,2.172,-3.272
1.3,2.127,-0.827
0.667,2.19,-1.524
2.85,2.199,0.651
-0.25,2.31,-2.56
2.567,2.243,0.324
