Test,Predictions,difference
1.2,1.784,-0.584
1.333,-0.195,1.528
2.0,0.991,1.009
2.25,1.158,1.092
0.633,1.375,-0.742
-0.667,1.161,-1.828
-0.0,-0.801,0.801
-2.6,1.085,-3.685
1.25,0.737,0.513
-3.167,0.632,-3.798
-1.733,0.444,-2.178
-1.283,0.774,-2.058
-0.967,0.321,-1.288
-2.75,0.666,-3.416
-1.517,-1.612,0.095
-0.0,0.314,-0.314
-1.35,-1.977,0.627
0.5,1.206,-0.706
-1.433,0.807,-2.24
-0.15,1.339,-1.489
-2.533,0.162,-2.695
-0.0,0.569,-0.569
-1.5,-1.367,-0.133
-5.05,2.646,-7.696
-1.4,0.334,-1.734
-2.5,-1.079,-1.421
-4.067,-0.022,-4.045
-0.0,0.765,-0.765
-5.017,0.933,-5.95
-5.15,0.42,-5.57
0.083,0.328,-0.244
-0.0,2.669,-2.669
-1.867,-1.12,-0.747
-2.183,-1.406,-0.777
-2.2,-1.594,-0.606
-0.0,2.485,-2.485
-3.167,1.947,-5.114
1.467,0.525,0.942
-1.983,3.198,-5.182
0.217,0.753,-0.537
-2.6,0.21,-2.81
-0.983,0.748,-1.732
-2.35,0.294,-2.644
-2.867,3.119,-5.986
-0.0,0.698,-0.698
0.5,0.794,-0.294
-1.617,0.975,-2.592
0.067,-0.985,1.052
-2.8,0.961,-3.761
-2.683,2.764,-5.448
0.217,0.477,-0.26
-1.033,1.65,-2.684
-2.6,-1.154,-1.446
-1.667,0.929,-2.595
1.0,0.52,0.48
1.55,0.681,0.869
-1.117,2.151,-3.267
-2.467,0.739,-3.205
-1.167,-0.451,-0.716
-1.333,0.58,-1.913
1.25,2.922,-1.672
-0.7,-0.071,-0.629
-2.583,0.562,-3.145
0.333,-0.332,0.666
-2.067,0.825,-2.891
-1.417,0.77,-2.186
0.633,0.894,-0.261
-2.183,2.08,-4.264
0.6,0.648,-0.048
-0.833,2.734,-3.568
-1.117,2.052,-3.169
2.0,0.986,1.014
-2.567,1.277,-3.844
-1.5,0.931,-2.431
-3.617,0.722,-4.339
-5.1,0.581,-5.681
-2.15,0.089,-2.239
-1.133,0.363,-1.496
-1.967,0.632,-2.598
-1.333,0.367,-1.7
-3.0,2.519,-5.519
-1.5,-0.459,-1.041
-0.5,0.654,-1.154
-1.883,0.939,-2.823
-5.767,0.851,-6.617
0.75,0.093,0.657
-1.5,0.894,-2.394
-1.667,0.806,-2.472
0.6,0.79,-0.19
-0.167,1.887,-2.053
-2.967,0.742,-3.709
-3.483,1.339,-4.822
1.667,1.229,0.438
-3.483,1.582,-5.065
1.0,0.853,0.147
-0.2,1.531,-1.731
0.517,2.181,-1.665
-0.05,2.173,-2.223
-0.283,2.478,-2.761
-0.0,2.109,-2.109
2.25,2.018,0.232
-0.25,2.31,-2.56
0.683,2.083,-1.4
-1.6,2.182,-3.782
4.25,2.001,2.249
-0.983,2.572,-3.555
1.65,2.233,-0.583
0.533,2.81,-2.277
-1.5,2.31,-3.81
0.533,2.104,-1.571
-0.0,2.249,-2.249
-2.033,1.109,-3.143
2.2,1.979,0.221
-1.5,2.784,-4.284
1.583,0.099,1.484
-0.0,0.935,-0.935
-0.617,2.536,-3.152
1.4,0.019,1.381
-0.05,0.394,-0.444
2.7,2.132,0.568
2.467,2.403,0.064
2.367,2.476,-0.11
0.383,3.021,-2.638
0.717,2.412,-1.695
0.717,2.347,-1.63
1.25,2.432,-1.182
-2.783,2.579,-5.362
-0.0,2.106,-2.106
-0.25,2.494,-2.744
-6.45,2.184,-8.634
2.367,1.57,0.797
5.3,2.26,3.04
4.55,2.431,2.119
3.55,2.441,1.109
4.5,2.882,1.618
-0.5,3.39,-3.89
-0.0,2.946,-2.946
3.217,2.146,1.071
3.717,3.448,0.269
0.75,1.806,-1.056
-1.833,4.473,-6.307
-0.833,3.64,-4.473
4.75,2.593,2.157
-1.3,3.125,-4.425
4.45,0.572,3.878
1.067,1.483,-0.416
0.6,1.591,-0.991
2.417,1.42,0.997
4.217,1.266,2.95
4.433,3.622,0.811
1.783,4.604,-2.821
2.117,4.552,-2.435
2.8,1.15,1.65
-1.467,3.813,-5.28
-1.3,1.904,-3.204
-0.75,1.26,-2.01
-0.75,1.532,-2.282
2.633,2.785,-0.152
-1.917,0.903,-2.82
-0.067,2.769,-2.836
-2.233,0.237,-2.47
-0.0,2.999,-2.999
1.883,0.577,1.306
0.5,2.444,-1.944
0.467,2.49,-2.024
-0.0,2.649,-2.649
4.117,1.955,2.161
-0.467,0.868,-1.334
4.467,2.782,1.685
-0.567,3.957,-4.524
3.767,3.526,0.241
0.4,4.073,-3.673
-0.433,3.936,-4.369
